2013 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance",,,,Member Experience with Drug Plan,,,Patient Safety and Accuracy of Drug Pricing ,,,,,
H5010,Local CCP,ASURIS NORTHWEST HEALTH,Asuris Northwest Health,"Cambia Health Solutions, Inc.",0:01,95%,10.7,Not enough data available,88%,0.5,60,13%,Medicare shows only a star rating for this topic,Not enough data available,81%,95%,99,9.40%,87.50%,77.80%,77.90%,75.50%
H5016,Local CCP,PROVIDENCE HEALTH PLANS,Providence Health Plans,Providence Health & Services,0:18,94%,Not enough data available,Not enough data available,91%,0,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,7.40%,80.70%,Not enough data available,77.50%,74.90%
H5041,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,0,Not enough data available,95%,0.58,67,7%,Medicare shows only a star rating for this topic,82%,86%,92%,98,9.10%,85.80%,77.70%,76.40%,72.20%
H5042,Local CCP,"CDPHP UNIVERSAL BENEFITS, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",0:17,95%,0,Not enough data available,80%,0.2,100,24%,Medicare shows only a star rating for this topic,81%,83%,88%,99,5.10%,84.30%,79.10%,81.50%,74.60%
H5050,Local CCP,GROUP HEALTH COOPERATIVE,Group Health Cooperative,Group Health Cooperative,0:03,91%,1.7,55%,95%,0.16,80,1%,Medicare shows only a star rating for this topic,94%,90%,96%,99,4.70%,89.80%,84.70%,85.90%,84.10%
H5087,Local CCP,EASY CHOICE HEALTH PLAN INC.,Easy Choice Health Plan,Easy Choice Health Plan Inc.,0:05,86%,0,57%,97%,0.27,80,17%,Medicare shows only a star rating for this topic,Not enough data available,87%,Not enough data available,99,8.30%,90.50%,67.20%,66.80%,58.10%
H5096,Local CCP,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.","Universal Health Care Insurance Company, Inc.","Universal Health Care Group, Inc.",0:08,48%,Not enough data available,Not enough data available,85%,1.84,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5106,Local CCP,HIGHMARK HEALTH INSURANCE COMPANY,Highmark Health Insurance Company,Highmark Inc.,0:11,89%,1.7,Not enough data available,97%,0.31,100,6%,Medicare shows only a star rating for this topic,88%,83%,94%,99,8.30%,80.40%,77.10%,76.50%,71.00%
H5141,Local CCP,CAREPOINT INSURANCE COMPANY,CarePoint Insurance Company,IJKG Opco LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5151,Local CCP,HEALTH PLAN OF THE UPPER OHIO VALLEY,The Health Plan,Health Plan of the Upper Ohio Valley,0:11,91%,0,Not enough data available,96%,0.02,80,2%,Medicare shows only a star rating for this topic,85%,87%,94%,99,7.10%,78.90%,77.70%,78.80%,72.10%
H5190,Local CCP,"SUNSHINE STATE HEALTH PLAN, INC.","Advantage by Sunshine State Health Plan, Inc.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5206,Local CCP,"PARTNERSHIP HEALTH PLAN, INC.",Community Health Partnership,"Community Health Partnership, Inc.",0:09,86%,0,Not enough data available,Not enough data available,0.12,100,5%,Medicare shows only a star rating for this topic,84%,90%,94%,98,13.70%,67.20%,88.30%,82.90%,84.10%
H5207,Local CCP,"COMMUNITY CARE HEALTH PLAN, INC",Community Care,"Community Care, Inc.",0:02,66%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,8.00%,80.10%,75.20%,82.80%,83.30%
H5209,Local CCP,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",0:02,72%,0,Not enough data available,Not enough data available,0,100,1%,Medicare shows only a star rating for this topic,Not enough data available,91%,91%,98,12.20%,78.10%,86.90%,87.90%,88.70%
H5211,Local CCP,"SECURITY HEALTH PLAN OF WISCONSIN, INC","Security Health Plan of Wisconsin, Inc.",Marshfield Clinic.,0:24,88%,0,Not enough data available,98%,0.04,80,2%,Medicare shows only a star rating for this topic,Not enough data available,89%,95%,98,4.60%,81.70%,85.30%,84.40%,80.70%
H5214,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,0.5,Not enough data available,96%,0.39,67,11%,Medicare shows only a star rating for this topic,85%,87%,92%,98,9.10%,84.60%,72.30%,72.50%,68.90%
H5215,Local CCP,NETWORK HEALTH INSURANCE CORPORATION,Network Health Medicare Advantage Plans,Affinity Health System,0:12,95%,11.5,Not enough data available,93%,0.03,100,4%,Medicare shows only a star rating for this topic,Not enough data available,86%,93%,96,3.70%,82.00%,83.50%,83.40%,78.30%
H5216,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0.7,Not enough data available,94%,0.22,67,13%,Medicare shows only a star rating for this topic,82%,86%,90%,97,4.50%,83.30%,83.30%,83.70%,79.30%
H5253,Local CCP,"UNITEDHEALTHCARE OF WISCONSIN, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,90%,0.9,83%,91%,0.14,0,7%,Medicare shows only a star rating for this topic,82%,85%,93%,99,4.50%,83.60%,79.50%,80.50%,75.30%
H5262,Local CCP,GUNDERSEN LUTHERAN HEALTH PLAN,"Gundersen Lutheran Health Plan, Inc.",Gundersen Lutheran Health System Inc.,0:09,94%,0,Not enough data available,97%,0.03,100,1%,Medicare shows only a star rating for this topic,Not enough data available,88%,95%,99,4.70%,83.80%,86.30%,86.00%,80.50%
H5291,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:08,97%,0,Not enough data available,98%,0.53,47,11%,Medicare shows only a star rating for this topic,82%,84%,89%,97,7.70%,86.70%,75.30%,76.40%,71.00%
H5294,Local CCP,"SUPERIOR HEALTH PLAN, INC.",Advantage by Superior HealthPlan,Centene Corporation,0:16,42%,0,Not enough data available,Not enough data available,0.68,100,25%,Medicare shows only a star rating for this topic,82%,84%,86%,Not enough data available,10.50%,87.50%,61.80%,64.40%,57.00%
H5302,Local CCP,"COVENTRY HEALTH CARE OF GEORGIA, INC.",Coventry Health Care,Coventry Health Care Inc.,0:11,89%,9.7,Not enough data available,98%,0.43,40,17%,Medicare shows only a star rating for this topic,Not enough data available,86%,92%,99,9.10%,83.70%,67.80%,68.00%,64.60%
H5378,Local CCP,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Universal American Corp.,0:25,91%,2.2,Not enough data available,97%,0.26,100,37%,Medicare shows only a star rating for this topic,Not enough data available,83%,90%,Not enough data available,9.00%,83.60%,68.70%,69.60%,65.90%
H5404,Local CCP,"UNIVERSAL HEALTH CARE, INC.","Universal Health Care, Inc.","Universal Health Care Group, Inc.",0:11,48%,CMS identified issues with plan’s data,17%,83%,0.44,0,18%,Medicare shows only a star rating for this topic,80%,86%,93%,99,7.30%,83.60%,74.70%,71.70%,67.50%
H5410,Local CCP,"HEALTHSPRING OF FLORIDA, INC.","HealthSpring of Florida, Inc.",CIGNA,0:36,87%,0,Not enough data available,100%,0.15,80,7%,Medicare shows only a star rating for this topic,92%,94%,Not enough data available,100,11.90%,89.20%,75.80%,74.50%,54.50%
H5414,Local CCP,"AETNA HEALTH, INC. (FL)",Aetna Medicare,Aetna Inc.,0:47,89%,4.1,Not enough data available,96%,0.53,40,14%,Medicare shows only a star rating for this topic,86%,81%,90%,98,3.50%,83.40%,67.00%,72.90%,66.60%
H5415,Local CCP,"HUMANA HEALTH INSURANCE COMPANY OF FL, INC.","Humana Health Insurance Company of FL, Inc.",Humana Inc.,0:11,97%,0,Not enough data available,94%,0.18,67,17%,Medicare shows only a star rating for this topic,80%,82%,90%,98,6.40%,82.50%,72.50%,77.00%,66.90%
H5416,Local CCP,"ARCADIAN HEALTH PLAN, INC.","Arcadian Health Plan, Inc.",Humana Inc.,0:19,59%,5.6,Not enough data available,95%,0.29,80,18%,Medicare shows only a star rating for this topic,82%,85%,91%,Not enough data available,8.70%,86.00%,71.40%,71.30%,64.80%
H5417,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,87%,0,Not enough data available,Not enough data available,0.46,12,6%,Medicare shows only a star rating for this topic,Not enough data available,Not enough data available,Not enough data available,99,14.70%,70.40%,85.30%,82.80%,77.00%
H5420,Local CCP,"MEDICA HEALTHCARE PLANS, INC.","Medica HealthCare Plans, Inc.","UnitedHealth Group, Inc.",0:13,91%,0,42%,97%,0.25,100,20%,Medicare shows only a star rating for this topic,Not enough data available,91%,94%,98,9.40%,85.20%,76.40%,75.50%,61.20%
H5421,PFFS,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Universal American Corp.,0:23,91%,4.7,Not enough data available,90%,0.69,100,23%,Medicare shows only a star rating for this topic,Not enough data available,84%,93%,Not enough data available,10.10%,82.60%,70.40%,71.90%,66.70%
H5422,Local CCP,"BCBS HEALTHCARE PLAN OF GEORGIA, INC.",Blue Cross Blue Shield Healthcare Plan of Georgia,"WellPoint, Inc.",0:07,69%,0,Not enough data available,94%,0.94,47,21%,Medicare shows only a star rating for this topic,80%,84%,92%,97,7.30%,83.50%,69.50%,71.20%,66.80%
H5424,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:09,89%,0,Not enough data available,96%,0.17,0,12%,Medicare shows only a star rating for this topic,Not enough data available,84%,89%,99,6.70%,86.40%,73.20%,70.20%,67.70%
H5425,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,0:10,57%,CMS identified issues with plan’s data,67%,96%,0.16,12,8%,Medicare shows only a star rating for this topic,89%,86%,92%,96,7.20%,86.70%,71.30%,73.90%,69.00%
H5426,Local CCP,"HUMANA ADVANTAGECARE PLAN, INC.","Humana AdvantageCare Plan, Inc.",Humana Inc.,0:11,97%,1.9,Not enough data available,97%,0.44,67,20%,Medicare shows only a star rating for this topic,78%,81%,90%,97,6.50%,84.80%,74.30%,74.60%,69.90%
H5427,Local CCP,"FREEDOM HEALTH PLAN, INC.","Freedom Health, Inc.","America's 1st Choice Holdings of Florida, LLC",0:12,98%,CMS identified issues with plan’s data,Not enough data available,98%,0.27,42,17%,Medicare shows only a star rating for this topic,86%,88%,93%,99,6.90%,84.20%,76.60%,73.90%,71.70%
H5428,Local CCP,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,Health Plan of San Mateo,0:43,72%,0,Not enough data available,Not enough data available,0.08,80,1%,Medicare shows only a star rating for this topic,81%,85%,87%,98,8.50%,84.10%,80.30%,77.80%,75.60%
H5430,Local CCP,CARE1ST HEALTH PLAN OF ARIZONA,"ONECare by Care1st Health Plan Arizona, Inc.",Care1st Health Plan,0:08,88%,0,Not enough data available,Not enough data available,0.21,80,10%,Medicare shows only a star rating for this topic,Not enough data available,85%,88%,99,11.40%,88.90%,61.70%,60.40%,62.10%
H5431,Local CCP,"HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc.","HealthSun Health Plans, Inc",0:29,88%,0,Not enough data available,89%,0.45,60,20%,Medicare shows only a star rating for this topic,Not enough data available,88%,Not enough data available,99,12.20%,87.80%,79.10%,77.40%,63.20%
H5433,Local CCP,ORANGE COUNTY HEALTH AUTHORITY,OneCare,Orange County Health Authority,0:19,94%,0,Not enough data available,Not enough data available,0.12,100,8%,Medicare shows only a star rating for this topic,80%,83%,87%,96,1.90%,88.60%,75.20%,74.60%,69.00%
H5434,Local CCP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Florida Blue,Blue Cross and Blue Shield of Florida,0:23,93%,8.6,Not enough data available,Not enough data available,0.53,60,18%,Medicare shows only a star rating for this topic,79%,84%,90%,98,7.60%,84.20%,80.20%,77.80%,75.00%
H5435,PFFS,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,1.5,Not enough data available,95%,0.45,12,11%,Medicare shows only a star rating for this topic,Not enough data available,84%,92%,99,7.00%,83.80%,72.30%,72.60%,67.80%
H5439,Local CCP,HEALTH NET LIFE INSURANCE COMPANY,Health Net Life Insurance Company,"Health Net, Inc.",0:19,90%,0,Not enough data available,97%,0.97,100,16%,Medicare shows only a star rating for this topic,84%,82%,90%,Not enough data available,7.30%,88.90%,76.90%,75.20%,66.90%
H5440,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,12,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,13.40%,83.60%,73.50%,71.20%,60.00%
H5470,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,0,Not enough data available,95%,0.38,67,8%,Medicare shows only a star rating for this topic,81%,85%,90%,97,6.30%,83.70%,79.60%,80.30%,75.70%
H5471,Local CCP,"SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Plans, Inc.","Simply Healthcare Holdings, Inc.",0:49,62%,Not enough data available,Not enough data available,99%,2,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5475,Local CCP,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Meridian Advantage Plan of Michigan,"Caidan Enterprises, Inc.",0:44,94%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5507,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,0,Not enough data available,94%,0.28,12,15%,Medicare shows only a star rating for this topic,Not enough data available,81%,92%,99,6.90%,82.50%,75.80%,78.70%,70.10%
H5508,Local CCP,"ADVANTAGE HEALTH SOLUTIONS, INC.","ADVANTAGE Health Solutions, Inc.",Advantage Health Solutions,0:22,93%,0,Not enough data available,93%,0.2,100,3%,Medicare shows only a star rating for this topic,85%,87%,94%,99,7.80%,80.80%,72.40%,76.50%,68.10%
H5509,Local CCP,COVENTRY HEALTH AND LIFE INS. COMPANY,COVENTRY HEALTH CARE,Coventry Health Care Inc.,0:08,89%,3.1,Not enough data available,97%,0.29,40,8%,Medicare shows only a star rating for this topic,86%,83%,92%,99,7.30%,84.00%,73.90%,74.90%,69.00%
H5516,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,0,Not enough data available,Not enough data available,0.28,12,12%,Medicare shows only a star rating for this topic,Not enough data available,84%,92%,99,8.80%,82.90%,77.30%,77.70%,67.70%
H5520,Local CCP,HEALTH NET LIFE INSURANCE COMPANY,Health Net Life Insurance Company,"Health Net, Inc.",0:19,90%,3.3,33%,97%,0.14,100,6%,Medicare shows only a star rating for this topic,81%,83%,93%,Not enough data available,7.80%,85.60%,77.60%,78.30%,74.30%
H5521,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,0:47,89%,5.9,82%,87%,0.1,20,1%,Medicare shows only a star rating for this topic,Not enough data available,80%,88%,98,4.10%,82.70%,78.90%,80.10%,75.30%
H5522,Local CCP,"HEALTHASSURANCE PENNSYLVANIA, INC.",HealthAmerica,Coventry Health Care Inc.,0:11,89%,21,Not enough data available,96%,0.23,40,9%,Medicare shows only a star rating for this topic,88%,86%,93%,99,5.10%,78.90%,78.30%,77.30%,74.20%
H5525,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,0:09,97%,0.9,Not enough data available,97%,0.16,67,10%,Medicare shows only a star rating for this topic,84%,85%,91%,97,7.20%,84.70%,82.30%,81.90%,78.60%
H5526,Local CCP,HEALTHNOW NEW YORK INC.,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HealthNow New York Inc.,0:11,83%,CMS identified issues with plan’s data,Not enough data available,93%,0.03,80,9%,Medicare shows only a star rating for this topic,Not enough data available,85%,93%,99,5.50%,81.40%,82.60%,82.80%,76.70%
H5528,Local CCP,GROUP HEALTH INCORPORATED,EmblemHealth Medicare PPO,"EmblemHealth, Inc.",0:19,71%,1,Not enough data available,94%,0.67,80,12%,Medicare shows only a star rating for this topic,Not enough data available,81%,89%,99,4.90%,85.00%,71.20%,72.70%,65.20%
H5529,Local CCP,COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:07,74%,10.7,Not enough data available,74%,0.26,47,5%,Medicare shows only a star rating for this topic,Not enough data available,84%,93%,97,7.60%,82.20%,77.30%,78.20%,72.70%
H5530,Local CCP,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:07,74%,6.7,Not enough data available,96%,0.57,47,9%,Medicare shows only a star rating for this topic,79%,81%,88%,97,8.60%,82.60%,73.50%,72.50%,68.80%
H5532,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,0,Not enough data available,94%,0.19,12,18%,Medicare shows only a star rating for this topic,Not enough data available,84%,93%,99,7.40%,84.10%,66.40%,72.70%,66.50%
H5533,Local CCP,UPMC HEALTH NETWORK,UPMC Health Plan,University of Pittsburgh Medical Center,0:13,94%,0,Not enough data available,96%,0.18,100,9%,Medicare shows only a star rating for this topic,83%,84%,94%,98,4.50%,77.30%,72.40%,73.50%,71.30%
H5549,Local CCP,VNS CHOICE,VNSNY CHOICE Medicare,Visiting Nurse Service of New York,0:28,62%,1.5,Not enough data available,99%,0.53,100,25%,Medicare shows only a star rating for this topic,Not enough data available,81%,85%,99,5.90%,87.90%,69.70%,66.40%,60.00%
H5575,Local CCP,FIDELIS SECURECARE OF NORTH CAROLINA,Fidelis SecureCare of North Carolina,"Fidelis SeniorCare, Inc.",0:30,76%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,12.10%,72.10%,Not enough data available,81.30%,85.80%
H5576,Local CCP,"VANTAGE  HEALTH PLAN, INC.","Vantage Health Plan, Inc.","Vantage Health Plan, Inc.",0:23,86%,0,Not enough data available,97%,0.39,100,5%,Medicare shows only a star rating for this topic,93%,90%,93%,99,14.70%,81.90%,72.60%,71.90%,67.50%
H5577,Local CCP,MCS ADVANTAGE INC.,MCS Classicare,"Medical Card System, Inc.",0:09,76%,CMS identified issues with plan’s data,83%,87%,0.12,27,32%,Medicare shows only a star rating for this topic,Not enough data available,95%,91%,98,16.60%,89.60%,64.60%,63.20%,47.10%
H5580,Local CCP,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,Mercy Care Advantage,Southwest Catholic Health Network,0:19,81%,6.3,Not enough data available,Not enough data available,0.08,80,6%,Medicare shows only a star rating for this topic,Not enough data available,86%,91%,98,14.40%,86.10%,69.90%,67.80%,65.20%
H5587,Local CCP,"HEALTH CHOICE ARIZONA, INC.",Health Choice Generations HMO SNP,IASIS Healthcare,0:26,81%,0,Not enough data available,Not enough data available,0.08,100,13%,Medicare shows only a star rating for this topic,Not enough data available,82%,86%,99,6.70%,85.30%,68.50%,68.30%,63.20%
H5590,Local CCP,BRIDGEWAY HEALTH SOLUTIONS,Advantage by Bridgeway Health Solutions HMO SNP,Centene Corporation,0:17,72%,16.2,Not enough data available,Not enough data available,0,80,13%,Medicare shows only a star rating for this topic,Not enough data available,85%,Not enough data available,Not enough data available,15.00%,81.10%,79.30%,80.50%,75.00%
H5591,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",0:24,89%,6.4,91%,98%,0.08,80,6%,Medicare shows only a star rating for this topic,87%,88%,93%,99,4.00%,81.90%,79.60%,80.70%,75.00%
H5594,Local CCP,"OPTIMUM HEALTHCARE, INC.","Optimum HealthCare, Inc.","America's 1st Choice Holdings of Florida, LLC",0:12,98%,0,Not enough data available,100%,0.32,42,12%,Medicare shows only a star rating for this topic,Not enough data available,89%,92%,99,6.30%,81.90%,78.60%,75.20%,73.50%
H5608,Local CCP,"DENVER HEALTH MEDICAL PLAN, INC.",Denver Health Medical Plan,Denver Health Hospital Authority,0:05,66%,0,Not enough data available,96%,0.15,80,6%,Medicare shows only a star rating for this topic,78%,82%,87%,94,11.40%,90.90%,64.20%,65.80%,65.30%
H5609,Local CCP,GEMCARE HEALTH PLAN INC.,GEMCARE Health Plan,"GEMCare Mercy Memorial Health Systems, LLC",0:10,95%,1.4,Not enough data available,95%,0.14,100,3%,Medicare shows only a star rating for this topic,Not enough data available,89%,95%,99,10.10%,84.90%,72.40%,70.60%,68.20%
H5619,Local CCP,"ARCADIAN HEALTH PLAN, INC.","Arcadian Health Plan, Inc.",Humana Inc.,0:24,59%,6.4,Not enough data available,97%,0.05,80,6%,Medicare shows only a star rating for this topic,86%,87%,92%,Not enough data available,5.90%,82.50%,81.40%,80.60%,79.60%
H5628,Local CCP,"MOLINA HEALTHCARE OF UTAH, INC.",Molina Healthcare of Utah,"Molina Healthcare, Inc.,",0:20,55%,2.8,32%,Not enough data available,0.24,80,10%,Medicare shows only a star rating for this topic,80%,86%,88%,98,11.80%,86.40%,71.80%,71.50%,74.00%
H5640,Local CCP,IEHP HEALTH ACCESS,IEHP Medicare DualChoice,INLAND EMPIRE HEALTH PLAN,0:01,80%,0,Not enough data available,Not enough data available,0.12,100,7%,Medicare shows only a star rating for this topic,84%,83%,89%,97,8.90%,90.60%,65.10%,64.70%,60.70%
H5649,Local CCP,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Medicare Plan,Central Health Plan of California,0:10,92%,0,Not enough data available,98%,0.14,100,14%,Medicare shows only a star rating for this topic,81%,87%,88%,99,4.80%,90.00%,71.90%,68.30%,61.00%
H5652,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,Erickson Advantage,"UnitedHealth Group, Inc.",0:10,69%,2.2,Not enough data available,96%,0.23,12,2%,Medicare shows only a star rating for this topic,88%,85%,93%,Not enough data available,5.30%,79.80%,88.60%,84.30%,79.70%
H5656,Local CCP,"SELECTCARE HEALTH PLANS, INC.",Universal American Corp.,Universal American Corp.,0:25,91%,1.7,Not enough data available,90%,0.61,100,24%,Medicare shows only a star rating for this topic,83%,86%,90%,Not enough data available,9.60%,88.30%,67.30%,66.20%,63.70%
H5679,Local CCP,"HMO COLORADO, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:06,64%,0,Not enough data available,Not enough data available,1.08,47,19%,Medicare shows only a star rating for this topic,Not enough data available,82%,90%,97,6.80%,85.20%,76.20%,73.40%,67.10%
H5685,Local CCP,"MIDWEST HEALTH PLAN, INC.",Midwest Advantage,Henry Ford Health System,2:37,83%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,19.60%,86.50%,69.70%,70.90%,62.40%
H5696,Local CCP,"PHYSICIANS UNITED PLAN, INC.",Physicians United Plan,"IDJB Investments, LLC",0:24,82%,0,Not enough data available,95%,0.68,100,18%,Medicare shows only a star rating for this topic,86%,86%,93%,99,7.70%,86.80%,73.20%,69.60%,66.20%
H5698,Local CCP,"WINDSOR HEALTH PLAN, INC.",Windsor Medicare Extra,Munich American Holding Corporation,0:20,96%,0,33%,95%,0.44,100,14%,Medicare shows only a star rating for this topic,81%,85%,90%,99,12.50%,84.20%,63.60%,62.50%,56.50%
H5703,Local CCP,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,0:20,38%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,Not enough data available,78.10%,84.00%,78.90%,86.00%
H5732,Local CCP,"TRIPLE-S SALUD, INC.","Triple-S Salud, INC.",Triple-S Management Corporation,0:49,64%,0,57%,Not enough data available,0.31,80,9%,Medicare shows only a star rating for this topic,Not enough data available,84%,87%,98,5.90%,87.10%,60.30%,60.80%,40.10%
H5746,Local CCP,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC.",Amerigroup Community Care of New Mexico,AMERIGROUP Corporation,0:18,75%,5.3,Not enough data available,92%,0.61,80,8%,Medicare shows only a star rating for this topic,77%,84%,88%,99,11.60%,85.10%,63.50%,66.50%,64.50%
H5749,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,1.7,Not enough data available,96%,0.42,0,20%,Medicare shows only a star rating for this topic,89%,82%,91%,99,7.20%,86.30%,72.30%,73.60%,68.20%
H5750,Local CCP,METROPOLITAN HEALTH PLAN,Cornerstone Solutions,Metropolitan Health Plan,0:25,84%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,Not enough data available,83.60%,Not enough data available,54.10%,53.30%
H5774,Local CCP,"AMERICAN HEALTH, INC.",American Health Medicare,Triple-S Management Corporation,1:03,87%,0,Not enough data available,97%,0.36,60,23%,Medicare shows only a star rating for this topic,Not enough data available,94%,91%,99,16.70%,89.40%,57.50%,57.80%,43.10%
H5779,Local CCP,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.",Meridian Advantage Plan of Illinois,"Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5782,Local CCP,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,Partnership HealthPlan of California,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,0:08,89%,0,Not enough data available,Not enough data available,0.05,80,3%,Medicare shows only a star rating for this topic,Not enough data available,89%,93%,99,9.00%,86.70%,76.30%,72.80%,70.80%
H5783,Local CCP,"ARCADIAN HEALTH PLAN, INC.","Arcadian Health Plan, Inc.",Humana Inc.,0:24,59%,7.9,Not enough data available,98%,0.21,80,21%,Medicare shows only a star rating for this topic,Not enough data available,86%,91%,Not enough data available,10.20%,83.80%,62.80%,63.40%,59.50%
