Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,Part D,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy- DMC10,Access,,,Call Center,,,Drug Pricing and Patient Safety,,,Plan Finder
H5421,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,PFFS,38%,94%,55%,84%,89%,67%,28%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,100.00%,Not measured,Not measured,Not measured,8.5%,1.7%,98.70%,100.00%
H5422,BLUE CROSS BLUE SHIELD OF GEORGIA,"WellPoint, Inc.",Local CCP,Not enough data available to calculate measure,96%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,74%,Not enough data available to calculate measure,90%,0:23,86%,100.00%,Not measured,100.00%,0.00%,0:23,68.00%,5.1%,2.0%,100.00%,100.00%
H5424,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,62%,90%,39%,72%,89%,62%,26%,90%,0:30,95%,100.00%,Not measured,Not measured,2.05%,0:30,86.00%,5.3%,1.0%,99.80%,100.00%
H5425,SCAN HEALTH PLAN,SCAN Health Plan,Local CCP,45%,86%,53%,78%,91%,70%,31%,90%,0:29,93%,75.00%,33.33%,97.67%,0.53%,0:29,90.00%,6.9%,1.1%,98.60%,100.00%
H5426,"HUMANA ADVANTAGECARE PLAN, INC.",Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,43%,82%,93%,79%,28%,91%,0:47,96%,Not measured,Not measured,93.94%,3.49%,0:47,96.00%,7.0%,1.1%,99.50%,92.31%
H5427,"FREEDOM HEALTH PLAN, INC.","America's 1st Choice Holdings of Florida, LLC",Local CCP,18%,87%,53%,88%,93%,74%,48%,87%,0:09,98%,60.00%,100.00%,100.00%,0.00%,0:09,88.00%,6.9%,1.7%,99.90%,100.00%
H5428,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,Local CCP,77%,96%,42%,Not enough data available to calculate measure,91%,61%,27%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,8.3%,2.2%,99.40%,92.31%
H5429,"UNIVERSAL HEALTH CARE, INC.","Universal Health Care Group, Inc.",Local CCP,Not enough data available to calculate measure,85%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,80%,Not enough data available to calculate measure,88%,0:37,94%,100.00%,Not measured,Not measured,0.00%,0:30,82.00%,7.4%,0.0%,99.30%,100.00%
H5430,CARE1ST HEALTH PLAN OF ARIZONA,Care1st Health Plan,Local CCP,33%,99%,Not enough data available to calculate measure,Not enough data available to calculate measure,88%,71%,49%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.2%,1.7%,99.80%,100.00%
H5431,"HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc",Local CCP,0%,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,95%,60%,6%,95%,0:11,92%,Not measured,Not measured,Not measured,0.81%,0:11,85.00%,6.7%,0.9%,96.80%,100.00%
H5433,ORANGE COUNTY HEALTH AUTHORITY,CalOptima,Local CCP,52%,83%,50%,Not enough data available to calculate measure,90%,53%,17%,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,Not measured,0.00%,Not measured,Not measured,Not measured,6.5%,0.0%,99.80%,100.00%
H5434,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Blue Cross and Blue Shield of Florida,Local CCP,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,62%,88%,93%,82%,32%,89%,1:35,90%,100.00%,100.00%,100.00%,0.81%,1:35,80.00%,8.3%,1.6%,96.40%,100.00%
H5435,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",PFFS,48%,88%,55%,79%,90%,67%,28%,88%,0:17,95%,100.00%,75.00%,100.00%,1.33%,0:17,86.00%,7.9%,1.7%,99.50%,100.00%
H5439,HEALTH NET LIFE INSURANCE COMPANY,"Health Net, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,84%,Plan too small to be measured,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.0%,1.1%,99.50%,100.00%
H5440,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,57%,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,8.6%,3.0%,99.70%,100.00%
H5470,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,0:47,96%,100.00%,100.00%,98.00%,3.49%,0:47,96.00%,6.2%,1.2%,99.70%,92.31%
H5475,"HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,97.50%,100.00%
H5480,EDUCATORS MUTUAL INSURANCE ASSOCIATION,Educators Mutual Insurance Association,PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%,100.00%
H5507,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,62%,Not enough data available to calculate measure,90%,81%,37%,91%,0:26,95%,50.00%,Not measured,100.00%,1.45%,0:26,86.00%,7.9%,1.3%,98.30%,100.00%
H5508,"ADVANTAGE HEALTH SOLUTIONS, INC.",Advantage Health Solutions,Local CCP,Not enough data available to calculate measure,63%,Not enough data available to calculate measure,Not enough data available to calculate measure,86%,81%,41%,91%,0:21,91%,Not measured,Not measured,100.00%,3.25%,0:18,91.00%,7.6%,1.1%,99.80%,100.00%
H5509,COVENTRY HEALTH AND LIFE INS. COMPANY,Coventry Health Care Inc.,Local CCP,92%,99%,71%,80%,90%,78%,45%,91%,0:12,94%,75.00%,Not measured,97.56%,0.33%,0:33,84.00%,6.5%,1.2%,98.70%,100.00%
H5516,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,78%,28%,91%,0:26,95%,Not measured,Not measured,Not measured,1.36%,0:26,86.00%,5.2%,0.4%,97.80%,100.00%
H5520,HEALTH NET LIFE INSURANCE COMPANY,"Health Net, Inc.",Local CCP,82%,80%,49%,80%,92%,77%,39%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,100.00%,Not measured,Not measured,Not measured,6.1%,1.5%,99.80%,100.00%
H5521,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,Local CCP,61%,78%,59%,87%,91%,80%,42%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,95.00%,100.00%,100.00%,Not measured,Not measured,Not measured,7.4%,1.5%,99.60%,100.00%
H5522,"HEALTHASSURANCE PENNSYLVANIA, INC.",Coventry Health Care Inc.,Local CCP,86%,82%,63%,81%,92%,73%,61%,91%,0:21,94%,100.00%,100.00%,100.00%,0.50%,0:30,84.00%,6.6%,1.1%,99.10%,100.00%
H5525,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,67%,85%,91%,73%,36%,90%,0:49,96%,100.00%,Not measured,95.83%,3.77%,0:49,96.00%,8.7%,1.2%,99.60%,92.31%
H5526,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,Local CCP,79%,50%,43%,95%,90%,82%,43%,90%,1:02,97%,0.00%,Not measured,Not measured,0.00%,1:02,87.00%,8.2%,1.0%,92.80%,92.31%
H5528,GROUP HEALTH INCORPORATED,"EmblemHealth, Inc.",Local CCP,44%,78%,81%,93%,93%,76%,52%,N/A,0:49,97%,Not measured,Not measured,100.00%,0.00%,0:56,94.00%,6.6%,1.5%,99.70%,100.00%
H5529,COMMUNITY INSURANCE COMPANY,"WellPoint, Inc.",Local CCP,81%,86%,63%,Not enough data available to calculate measure,90%,75%,36%,91%,0:13,86%,100.00%,Not measured,98.73%,0.58%,0:13,68.00%,7.0%,1.0%,99.60%,100.00%
H5530,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.","WellPoint, Inc.",Local CCP,Not enough data available to calculate measure,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,78%,Not enough data available to calculate measure,91%,0:13,86%,Not measured,Not measured,100.00%,0.62%,0:13,68.00%,7.9%,0.5%,99.50%,100.00%
H5532,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,79%,Plan too small to be measured,91%,0:26,95%,Not measured,Not measured,100.00%,1.36%,0:26,86.00%,11.5%,1.4%,99.40%,100.00%
H5533,UPMC HEALTH NETWORK,University of Pittsburgh Medical Center,Local CCP,Not enough data available to calculate measure,83%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,76%,Not enough data available to calculate measure,91%,0:11,97%,Not measured,Not measured,100.00%,0.41%,0:11,96.00%,8.3%,1.1%,99.20%,100.00%
H5549,VNS CHOICE,Visiting Nurse Service of New York,Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,83%,90%,56%,30%,N/A,0:58,93%,100.00%,100.00%,100.00%,1.01%,0:58,79.00%,5.5%,0.7%,99.70%,100.00%
H5575,FIDELIS SECURECARE OF NORTH CAROLINA,Fidelis SecureCare,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,10.1%,5.8%,99.40%,100.00%
H5576,"VANTAGE  HEALTH PLAN, INC.","Vantage Health Plan, Inc.",Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,68%,Not enough data available to calculate measure,93%,0:18,95%,Not measured,Not measured,Not measured,0.00%,0:18,90.00%,11.7%,2.4%,99.70%,100.00%
H5577,MCS ADVANTAGE INC.,"Medical Card System, Inc.",Local CCP,77%,82%,57%,86%,89%,63%,33%,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,50.00%,Not measured,100.00%,Not measured,Not measured,Not measured,5.8%,1.1%,Not measured,100.00%
H5578,"ARCADIAN HEALTH PLAN OF GEORGIA, INC.",Arcadian Management Services Inc.,Local CCP,30%,80%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,51%,19%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.9%,1.3%,99.90%,100.00%
H5580,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,Southwest Catholic Health Network,Local CCP,44%,83%,52%,89%,94%,66%,35%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,75.00%,33.33%,Not measured,Not measured,Not measured,Not measured,7.9%,0.9%,50.10%,100.00%
H5587,"HEALTH CHOICE ARIZONA, INC.",IASIS Healthcare,Local CCP,66%,88%,50%,Not enough data available to calculate measure,90%,59%,25%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,85.71%,Not measured,Not measured,Not measured,8.4%,0.7%,99.90%,100.00%
H5590,BRIDGEWAY HEALTH SOLUTIONS,Centene Corporation,Local CCP,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,71%,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,8.4%,1.0%,91.20%,100.00%
H5591,"MARTIN'S POINT GENERATIONS, LLC","Martin's Point Health Care, Inc.",Local CCP,Not enough data available to calculate measure,66%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,81%,Not enough data available to calculate measure,92%,0:26,93%,100.00%,100.00%,26.09%,0.81%,0:26,89.00%,3.1%,1.0%,99.20%,100.00%
H5594,"OPTIMUM HEALTHCARE, INC.","America's 1st Choice Holdings of Florida, LLC",Local CCP,Not enough data available to calculate measure,87%,43%,78%,93%,79%,37%,86%,0:09,98%,Not measured,Not measured,100.00%,0.00%,0:09,88.00%,6.8%,1.3%,99.90%,100.00%
H5608,"DENVER HEALTH MEDICAL PLAN, INC.",Denver Health Hospital Authority,Local CCP,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,68%,Not enough data available to calculate measure,89%,55%,33%,91%,0:24,88%,Not measured,Not measured,Not measured,0.00%,0:24,72.00%,4.1%,0.5%,99.10%,100.00%
H5609,GEMCARE HEALTH PLAN INC.,Golden Empire Managed Care,Local CCP,Not enough data available to calculate measure,77%,57%,87%,93%,64%,24%,92%,1:24,91%,66.67%,100.00%,100.00%,0.00%,1:24,76.00%,11.0%,2.8%,98.70%,100.00%
H5619,"ARCADIAN HEALTH PLAN, INC.",Arcadian Management Services Inc.,Local CCP,Not enough data available to calculate measure,80%,63%,92%,92%,79%,31%,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.7%,1.3%,100.00%,100.00%
H5628,"MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare, Inc.,",Local CCP,57%,86%,80%,Not enough data available to calculate measure,86%,67%,31%,90%,0:24,96%,80.00%,100.00%,87.50%,0.41%,0:24,76.00%,8.0%,1.9%,99.50%,100.00%
H5640,IEHP HEALTH ACCESS,INLAND EMPIRE HEALTH PLAN,Local CCP,26%,93%,70%,Not enough data available to calculate measure,87%,38%,20%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.9%,1.7%,100.00%,100.00%
H5649,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Plan of California,Local CCP,Not enough data available to calculate measure,86%,33%,Not enough data available to calculate measure,74%,55%,8%,N/A,0:12,87%,Not measured,Not measured,66.67%,0.81%,0:12,81.00%,5.8%,1.7%,99.70%,100.00%
H5652,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,63%,Not enough data available to calculate measure,98%,Not enough data available to calculate measure,39%,92%,0:30,95%,Not measured,Not measured,100.00%,0.00%,0:30,86.00%,9.8%,2.7%,100.00%,100.00%
H5656,"SELECTCARE HEALTH PLANS, INC.",Universal American Corp.,Local CCP,38%,97%,49%,Not enough data available to calculate measure,94%,66%,36%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,100.00%,Not measured,Not measured,Not measured,5.3%,1.8%,99.70%,100.00%
H5665,"CARE IMPROVEMENT PLUS  OF MARYLAND, INC.",XLHealth Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,50%,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.6%,1.1%,99.80%,100.00%
H5679,"HMO COLORADO, INC.","WellPoint, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:54,86%,Not measured,Not measured,100.00%,0.83%,0:54,68.00%,7.4%,0.0%,99.90%,100.00%
H5685,"MIDWEST HEALTH PLAN, INC.","Midwest Health Plan, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.3%,0.0%,99.70%,100.00%
H5696,"PHYSICIANS UNITED PLAN, INC.","IDJB Investments, LLC",Local CCP,35%,94%,60%,83%,94%,81%,25%,86%,1:36,92%,100.00%,Not measured,85.71%,0.00%,1:36,85.00%,6.9%,1.1%,98.50%,100.00%
H5698,"WINDSOR HEALTH PLAN, INC.",Munich American Holding Corporation,Local CCP,46%,90%,42%,80%,90%,55%,33%,89%,0:59,97%,100.00%,100.00%,86.67%,0.00%,0:59,85.00%,9.0%,0.4%,89.30%,100.00%
H5700,"ARKANSAS COMMUNITY CARE, INC.",Arcadian Management Services Inc.,Local CCP,13%,80%,45%,76%,88%,61%,27%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,8.3%,1.2%,99.90%,100.00%
H5703,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.1%,3.2%,97.50%,100.00%
H5732,"TRIPLE-S SALUD, INC.",Triple-S Management Corporation,Local CCP,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,93%,79%,Not enough data available to calculate measure,95%,0:49,86%,Not measured,Not measured,100.00%,2.85%,0:49,75.00%,6.2%,0.0%,Not measured,100.00%
H5746,"AMERIGROUP NEW MEXICO, INC.",AMERIGROUP Corporation,Local CCP,Not enough data available to calculate measure,78%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,65%,Not enough data available to calculate measure,N/A,0:37,95%,Not measured,Not measured,Not measured,2.69%,0:37,84.00%,4.9%,0.5%,99.90%,100.00%
H5749,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,88%,74%,Not enough data available to calculate measure,90%,0:26,95%,Not measured,Not measured,100.00%,1.45%,0:26,86.00%,6.8%,0.8%,98.70%,100.00%
H5750,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,100.00%,Not measured,Not measured,Not measured,Not measured,9.1%,2.8%,99.70%,100.00%
H5774,"AMERICAN HEALTH, INC.",Triple-S Management Corporation,Local CCP,59%,85%,27%,70%,89%,60%,19%,93%,4:55,90%,100.00%,100.00%,100.00%,3.54%,4:55,85.00%,6.1%,1.2%,Not measured,100.00%
H5782,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,Local CCP,Not enough data available to calculate measure,83%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,57%,25%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.5%,1.6%,99.70%,100.00%
H5783,"ARCADIAN HEALTH PLAN, INC.",Arcadian Management Services Inc.,Local CCP,47%,80%,39%,Not enough data available to calculate measure,90%,61%,48%,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,100.00%,Not measured,Not measured,Not measured,6.2%,1.5%,100.00%,100.00%
H5793,AETNA HEALTH INC.,Aetna Inc.,Local CCP,Not enough data available to calculate measure,78%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,82%,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,Not measured,100.00%,Not measured,Not measured,Not measured,5.0%,1.4%,99.90%,100.00%
H5810,MOLINA HEALTHCARE OF CALIFORNIA,"Molina Healthcare, Inc.,",Local CCP,25%,85%,Not enough data available to calculate measure,Not enough data available to calculate measure,65%,50%,Not enough data available to calculate measure,N/A,0:17,96%,Not measured,100.00%,83.33%,0.81%,0:17,76.00%,4.9%,0.8%,99.60%,100.00%
H5811,SCAN HEALTH PLAN,SCAN Health Plan,Local CCP,Not enough data available to calculate measure,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,85%,54%,17%,89%,0:28,93%,Not measured,100.00%,Not measured,0.47%,0:28,90.00%,5.9%,1.1%,99.90%,100.00%
H5813,"AETNA HEALTH, INC",Aetna Inc.,Local CCP,Not enough data available to calculate measure,78%,Not enough data available to calculate measure,Not enough data available to calculate measure,85%,72%,Not enough data available to calculate measure,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,4.6%,1.9%,99.90%,100.00%
H5817,"AMERIGROUP TEXAS, INC.",AMERIGROUP Corporation,Local CCP,61%,81%,38%,Not enough data available to calculate measure,91%,54%,19%,N/A,0:37,95%,Not measured,100.00%,77.78%,2.60%,0:37,84.00%,6.5%,2.3%,99.90%,100.00%
H5820,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"Universal Health Care Group, Inc.",PFFS,16%,85%,53%,63%,89%,68%,34%,89%,0:36,94%,100.00%,100.00%,89.06%,0.00%,0:33,82.00%,7.3%,1.0%,95.80%,100.00%
H5821,MAPFRE LIFE INSURANCE COMPANY,MAPFRE PRAICO CORPORATION,Local CCP,Not enough data available to calculate measure,81%,54%,77%,90%,67%,35%,92%,0:30,81%,Not measured,Not measured,47.71%,3.05%,0:30,71.00%,5.1%,1.5%,Not measured,100.00%
H5823,"MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare, Inc.,",Local CCP,Not enough data available to calculate measure,85%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,63%,Not enough data available to calculate measure,89%,0:16,96%,100.00%,75.00%,Not measured,0.50%,0:16,76.00%,7.7%,2.2%,99.80%,100.00%
H5826,COMMUNITY HEALTH PLAN OF WASHINGTON,Community Health Plan of Washington,Local CCP,Not enough data available to calculate measure,48%,38%,Not enough data available to calculate measure,89%,61%,38%,N/A,3:02,96%,50.00%,Not measured,20.00%,0.70%,3:02,85.00%,5.5%,2.0%,95.80%,100.00%
H5832,AETNA HEALTH INC.,Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.6%,0.0%,100.00%,100.00%
H5850,"COVENTRY SUMMIT HEALTH PLAN, INC.",Coventry Health Care Inc.,Local CCP,56%,71%,33%,70%,92%,70%,20%,N/A,0:18,94%,100.00%,100.00%,96.48%,0.00%,0:41,84.00%,7.4%,0.9%,98.60%,100.00%
H5852,AIDS HEALTHCARE FOUNDATION,AIDS Healthcare Foundation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,29.8%,2.8%,99.10%,92.31%
H5854,"ANTHEM HEALTH PLANS, INC","WellPoint, Inc.",Local CCP,Not enough data available to calculate measure,84%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,81%,Not enough data available to calculate measure,90%,0:57,86%,Not measured,Not measured,100.00%,0.00%,0:57,68.00%,5.0%,0.9%,99.40%,100.00%
H5859,"HEALTH PLAN OF CAREOREGON, INC.","CareOregon, Inc.",Local CCP,70%,37%,55%,90%,89%,58%,23%,N/A,0:50,92%,100.00%,Not measured,Not measured,0.00%,0:50,88.00%,5.6%,1.9%,93.40%,100.00%
H5862,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC.","Blue Cross of Idaho Health Services, Inc.",PFFS,Not enough data available to calculate measure,56%,Not enough data available to calculate measure,Not enough data available to calculate measure,79%,66%,Not enough data available to calculate measure,91%,1:49,97%,Not measured,Not measured,Not measured,0.83%,1:49,87.00%,6.0%,1.0%,98.30%,100.00%
H5868,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,71%,Not enough data available to calculate measure,92%,0:49,96%,100.00%,Not measured,95.38%,3.77%,0:49,96.00%,5.6%,1.2%,99.90%,92.31%
H5883,BLUE CARE NETWORK OF MICHIGAN,Blue Cross Blue Shield of Michigan,Local CCP,76%,64%,57%,88%,90%,82%,43%,89%,0:56,94%,54.55%,100.00%,84.62%,0.00%,0:56,88.00%,6.6%,1.2%,98.60%,100.00%
H5884,BLUECROSS BLUESHIELD OF TENNESSEE,BlueCross BlueShield of Tennessee,PFFS,54%,74%,53%,88%,94%,78%,43%,90%,2:00,97%,100.00%,100.00%,Not measured,1.09%,2:00,82.00%,9.4%,1.7%,99.50%,100.00%
H5887,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.",Local CCP,0 - Plan reported a Biased Rate,83%,26%,0 - Plan reported a Biased Rate,92%,55%,Not enough data available to calculate measure,94%,0:36,86%,Not measured,Not measured,85.71%,2.44%,0:36,79.00%,7.5%,1.4%,Not measured,100.00%
H5895,CONTRA COSTA CO MED SVCS DBA CONTRA COSTA HEALTH,Contra Costa Health Services,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.5%,3.0%,100.00%,100.00%
H5896,"AMERIGROUP MARYLAND, INC.",AMERIGROUP Corporation,Local CCP,50%,82%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,47%,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.5%,0.6%,99.90%,100.00%
H5926,MOLINA HEALTHCARE OF MICHIGAN,"Molina Healthcare, Inc.,",Local CCP,28%,87%,Not enough data available to calculate measure,Not enough data available to calculate measure,84%,60%,43%,N/A,0:31,96%,100.00%,Not measured,64.29%,0.00%,0:31,76.00%,6.4%,1.1%,99.30%,100.00%
