2010 Domain Star View: Medicare Part D Report Card Master Table,,,,,,
,,,,,,
Medicare Part D Report Card Master Table,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Drug Plan Customer Service,"Drug Plan Member Complaints, Members Who Choose to Leave, and Medicare Audit Findings",Member Experience with Drug Plan,Drug Pricing and Patient Safety
H7002,Humana Insurance Company,HUMANA INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7006,"Marion Polk Community Health Plan Advantage, Inc.","MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7015,Healthfirst NJ,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.",4,2,2,3
H7086,Community Health Group,COMMUNITY HEALTH GROUP,5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H7149,Coventry Health Care of Nebraska Advantra,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",4,2,3,3
H7179,Arcadian Community Care,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",4,2,3,4
H7187,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,1,2,2
H7188,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,4,3
H7200,AMERIGROUP Community Care,"AMERIGROUP TENNESSEE, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H7220,"Clarian Health Plans, Inc. - Clarian Medicare","CLARIAN HEALTH PLANS, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7226,HARVARD PILGRIM HEALTH CARE INC.,HARVARD PILGRIM HEALTH CARE INC.,4,3,5,3
H7252,Physicians Health Choice,PHYSICIANS HEALTH CHOICE OF ARKANSAS,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7281,Bravo Health,"BRAVO HEALTH PENNSYLVANIA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7292,Alliance for Health,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H7301,PersonalCare Advantra,PERSONAL CARE INSURANCE OF ILLINOIS,4,2,Not enough data to calculate stars for this category,4
H7306,Coventry Advantra,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7352,University Physicians/Maricopa Care Advantage,UPH/MIHS VENTURES L.L.C.,4,Not enough data to calculate stars for this category,2,2
H7406,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY,  INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H7475,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H7526,Medica Health Plans,MEDICA HEALTH PLANS,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H7678,"Molina Healthcare of Texas, Inc.","MOLINA HEALTHCARE OF TEXAS, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H7731,MD Care Inc,"MD CARE, INC.",3,3,4,4
H7787,HealthSpring Medicare Advantage,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7908,Aetna Medicare,AETNA HEALTH,2,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H7917,BlueCross BlueShield of Tennessee,BLUE CROSS BLUE SHIELD OF TENNESSEE,4,3,Not enough data to calculate stars for this category,5
H8050,Carilion Clinic Medicare Health Plan,"CARILION CLINIC MEDICARE RESOURCES, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8105,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8130,Molina Healthcare of Florida,"MOLINA HEALTHCARE OF FLORIDA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8189,Advantage by Managed Health Services,"MANAGED HEALTH SERVICES, WISCONSIN",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8393,Coventry Health and Life Insurance Company,COVENTRY HEALTH AND LIFE INSURANCE CO. (NEBRASKA),4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2
H8558,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8578,"Health New England, Inc.","HEALTH NEW ENGLAND, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8604,Health Plan SecureChoice,THP INSURANCE COMPANY,5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H8644,Humana Insurance Company,HUMANA INSURANCE COMPANY,4,2,3,3
H8649,Altius Advantra,"ALTIUS HEALTH PLANS, INC. (UTAH)",3,2,2,3
H8684,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8707,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,Not enough data to calculate stars for this category,3
H8742,Universal American,"ABRI HEALTH PLAN, INC",3,2,2,3
H8748,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8778,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",3,2,5,2
H8822,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8953,"Humana Health Plan of Ohio, Inc.","HUMANA HEALTH PLAN OF OHIO, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8980,HealthAmerica Advantra,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8991,AMERIGROUP Community Care,"AMERIGROUP FLORIDA, INC.",4,1,Not enough data to calculate stars for this category,3
H9001,Fallon Community Health Plan,FALLON COMMUNITY HEALTH PLAN,3,5,4,4
H9003,Kaiser Permanente,KAISER FOUNDATION HP OF THE N W,4,5,5,4
H9005,HealthPartners Classic Plan,"HEALTHPARTNERS, INC.",5,3,5,3
H9011,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.",4,2,3,3
H9047,Providence Health Plan,PROVIDENCE HEALTH PLAN,5,5,5,4
H9082,"Molina Healthcare of New Mexico, Inc.","MOLINA HEALTHCARE OF NEW MEXICO, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H9101,"Elderplan, Inc.","ELDERPLAN, INC.  - SHMO",3,Not enough data to calculate stars for this category,3,4
H9103,Kaiser Permanente,KAISER FOUNDATION HP OF THE N W,4,4,5,3
H9104,SCAN Health Plan,SCAN HEALTH PLAN,4,5,5,3
H9149,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H9184,Bravo Health,"BRAVO HEALTH MID-ATLANTIC, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9302,Puget Sound Health Partners,"PUGET SOUND HEALTH PARTNERS, INC.",5,3,4,2
H9313,Advantage Plans from Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,3,2,3,3
H9385,SCAN Health Plan Arizona,SCAN HEALTH PLAN OF ARIZONA,5,4,3,2
H9452,Anthem Blue Cross and Blue Shield,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",3,2,2,4
H9503,Humana Insurance Company,HUMANA INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H9519,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,4,Not enough data to calculate stars for this category,5,2
H9572,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9615,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H9670,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H9720,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",3,1,Not enough data to calculate stars for this category,3
H9779,"Guardian Healthcare, Inc.","GUARDIAN HEALTHCARE, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9793,Highmark Inc.,"HIGHMARK, INC.",5,4,5,3
H9847,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H9859,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",5,4,5,3
H9988,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R3175,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,3,2,3
R3332,BlueMedicare Regional PPO,"BLUE CROSS AND BLUE SHIELD OF FL, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R3444,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,4,Not enough data to calculate stars for this category,4,3
R5287,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,3,4
R5342,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,3,2,2,3
R5566,MedicareBlue PPO,BLUE CROSS BLUE SHIELD NORTHERN PLAINS ALLIANCE,5,3,2,4
R5674,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",3,3,1,4
R5826,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,1,2,3
R5941,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",4,3,3,4
R6801,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,4,Not enough data to calculate stars for this category,3,3
R7444,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
R9896,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO,4,Not enough data to calculate stars for this category,4,3
R9943,Anthem Blue Cross,ANTHEM BLUE CROSS LIFE AND HEALTH INSURANCE CO.,2,3,1,4
S0043,"Preferred Medicare Choice, Inc.","PREFERRED MEDICARE CHOICE, INC.",3,2,2,3
S0197,Coventry AdvantraRx,CAMBRIDGE LIFE INSURANCE COMPANY,4,2,2,4
S0655,Tufts Health Plan,TUFTS INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S1030,BlueRx,BCBS OF ALABAMA AND BCBS OF TENNESSEE,4,3,4,3
S2321,AmeriHealth Rx,QCC INS CO D/B/A AMERIHEALTH INS CO,4,4,3,3
S2468,Blue Shield of California,CA PHYSICIANS' SERVICE DBA BLUE SHIELD OF CA,3,5,4,4
S2505,Windsor Rx,"WINDSOR HEALTH PLAN, INC",4,3,2,2
S2770,AmeriHealth Advantage,QCC INS CO D/B/A AMERIHEALTH INS CO,4,3,3,3
S2873,Bella Vista PharmaCare,"PLAN MEDICO SERVICIOS DE SALUD BELLA VISTA, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
S2874,"Humana Insurance of Puerto Rico, Inc","HUMANA INSURANCE OF PUERTO RICO, INC",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
S2893,Blue MedicareRx,BLUE MEDICARERX,3,3,4,4
S3389,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC",5,4,5,2
S3440,Alliance Medicare Rx,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,3,2,2,3
S3521,Simply Prescriptions,"EXCELLUS HEALTH PLAN, INC",5,3,5,4
S4248,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
S4802,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,3,3,3,4
S5540,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,3,5,5,3
S5552,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,2,2,2,4
S5555,MCS Classicare,"MCS ADVANTAGE, INC.",3,1,2,3
S5557,Fox Insurance Company,FOX INSURANCE COMPANY,3,3,1,4
S5566,HISC - BLUE CROSS AND BLUE SHIELD OF OKLAHOMA,HCSC INSURANCE SERVICES COMPANY,4,5,4,4
S5569,First Health Part D,CAMBRIDGE LIFE INSURANCE COMPANY,4,3,2,4
S5580,First United American Life Insurance Company,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,3,3,3,4
S5584,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,2,4,3,3
S5585,HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
S5593,Highmark Senior Resources Inc.,HIGHMARK SENIOR RESOURCES INC.,4,3,4,3
S5596,Blue MedicareRx,"ANTHEM INSURANCE COMPANIES, INC.",3,3,2,4
S5597,Universal American,PENNSYLVANIA LIFE INSURANCE COMPANY,3,3,2,3
S5601,SilverScript Insurance Company,SILVERSCRIPT INSURANCE COMPANY,4,4,4,4
S5609,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,3,4,3,4
S5617,CIGNA Medicare Rx,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,4,4,3,3
S5644,RxAmerica,ACCENDO INSURANCE COMPANY,4,3,1,3
S5660,Medco Medicare Prescription Plan,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,4,3,4,4
S5670,Coventry AdvantraRx,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,4,2,4,3
S5674,Coventry AdvantraRx,FIRST HEALTH LIFE AND HEALTH INSURANCE COMPANY,4,2,3,3
S5678,Health Net,HEALTH NET LIFE INS CO/HEALTH NET INS OF NY,3,4,2,3
S5715,"HISC - Blue Cross Blue Shield of IL, TX, and NM",HCSC INSURANCE SERVICES COMPANY,4,5,3,4
S5726,Blue MedicareRx,BLUE CROSS BLUE SHIELD OF KANSAS,3,4,4,4
S5741,HIP Medicare PDP,HIP HEALTH PLAN OF NEW YORK,4,2,2,4
S5743,MedicareBlue Rx,BLUE CROSS BLUE SHIELD NORTHERN PLAINS ALLIANCE,5,4,3,5
S5753,WPS Health Insurance,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,4,4,5,4
S5755,United American Insurance Company,UNITED AMERICAN INSURANCE COMPANY,4,3,3,3
S5766,Medi-CareFirst BlueCross BlueShield,"FIRST CARE, INC.",5,4,3,3
S5768,First Health Part D,FIRST HEALTH LIFE AND HEALTH INSURANCE COMPANY,4,3,3,3
S5775,Pharmacy Insurance Corporation of America - PICA,PHARMACY INSURANCE CORPORATION OF AMERICA,3,3,3,3
S5795,Arkansas Blue Cross  -  Medi-Pak Rx,"ARKANSAS BCBS, A MUTUAL INS CO",4,4,4,3
S5803,Universal American,PENN LIFE INS CO AND AMER PROG LIFE AND HTH INS CO,3,3,3,2
S5805,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,3,4,4,3
S5810,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,3,2,3,4
S5820,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,3,4,4,3
S5825,Universal American,AMERICAN PROGRESSIVE LIFE AND HEALTH INS CO NY,3,3,2,3
S5840,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
S5857,Priority Health Medicare,PRIORITY HEALTH INSURANCE COMPANY,3,3,4,3
S5860,Rocky Mountain Health Plans,ROCKY MOUNTAIN  HEALTH MAINTENANCE ORGANIZATION,3,Not enough data to calculate stars for this category,4,3
S5877,Educators Mutual Insurance Association,EDUCATORS MUTUAL INSURANCE ASSOCIATION,3,5,5,4
S5884,Humana Insurance Company,HUMANA INSURANCE COMPANY,2,2,3,3
S5904,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",3,3,4,3
S5907,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",2,4,2,3
S5915,Scott and White Health PlanTexas Rx Plan,SCOTT AND WHITE HEALTH PLAN,4,3,3,3
S5916,Regence Life and Health,REGENCE LIFE AND HEALTH INSURANCE COMPANY,3,4,5,4
S5917,UNITED HEALTHCARE INSURANCE COMPANY,UNITEDHEALTHCARE  INSURANCE COMPANY,3,2,1,3
S5921,UnitedHealthcare,UNITEDHEALTHCARE INS. CO. AND UNITEDHEALTHCARE NY,3,3,4,3
S5932,HealthSpring Prescription Drug Plan,"HEALTHSPRING INC. HEALTHSPRING OF ALABAMA, INC.",3,4,3,4
S5937,Blue Cross and Blue Shield of Louisiana,LOUISIANA HEALTH SERVICE AND INDEMNITY COMPANY,2,4,4,2
S5953,Blue Cross Blue Shield of South Carolina,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,3,4,3,3
S5954,"Dean Health Insurance, Inc.","DEAN HEALTH INSURANCE, INC.",4,3,5,2
S5960,UniCare,UNICARE LIFE AND HEALTH INSURANCE COMPANY,2,3,1,4
S5966,GHI Medicare PDP,GHI (GROUP HEALTH INCORPORATED),3,4,4,4
S5967,WellCare,"WELLCARE PRESCRIPTION INSURANCE, INC.",3,3,3,5
S5983,Medco Medicare Prescription Plan,MEDCO CONTAINMENT INSURANCE COMPANY OF NEW YORK,3,3,3,4
S5993,"Horizon Blue Cross Blue Shield of New Jersey, Inc.",HORIZON HEALTHCARE SERVICES DBA HORIZON BCBS NJ,3,3,2,4
S5998,Bravo Health Insurance Company,"BRAVO HEALTH INSURANCE COMPANY, INC.",4,3,2,4
S7394,Express Scripts Insurance Company,EXPRESS SCRIPTS INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S7694,EnvisionRx Plus,ENVISION INSURANCE COMPANY,4,3,3,4
S8067,Avalon Insurance Company,AVALON INSURANCE COMPANY,3,3,3,2
S8201,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
S8475,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS, INC",3,3,1,3
MA-PD Average,,,3.7,3.0,3.3,3.2
PDP Average,,,3.4,3.3,3.1,3.4
Overall Average,,,3.7,3.0,3.3,3.2
,,,,,,
