CY2010 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,,,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,,,Complaints,Patient Safety,,Plan Finder,Call Center,,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,,,,,,,,,,
H4011,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.",Not measured,Not measured,91.30%,8.73%,4.55%,78.79%,,0.52%,2.19%,100.00%,80.10%,78.00%,Not enough data available to calculate measure,25.68%,Not enough data available to calculate measure,,,,,,,,,,
H4012,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",0.00%,0.00%,30.88%,5.84%,3.17%,86.36%,,0.12%,0.30%,95.00%,75.91%,74.00%,20.32%,31.84%,61.19%,,,,,,,,,,
H4036,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Not measured,Not measured,Not measured,0.00%,5.94%,Not measured,,0.00%,3.65%,100.00%,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4102,AARP MedicareComplete from SecureHorizons,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",100.00%,100.00%,83.58%,3.96%,1.88%,97.30%,,0.52%,1.92%,100.00%,70.16%,88.00%,61.43%,50.34%,81.19%,,,,,,,,,,
H4106,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,69.09%,0.00%,1.88%,94.94%,,0.90%,1.48%,100.00%,70.16%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H4125,Arcadian Health Plan,ARCADIAN HEALTH PLAN,Not measured,Not measured,86.57%,0.96%,0.00%,91.30%,,0.72%,3.12%,100.00%,Plan too small to be measured,79.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4141,"Humana Employers Health Plan of Georgia, Inc.","HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4152,Blue Cross & Blue Shield of Rhode Island,BLUE CROSS AND BLUE SHIELD OF RHODE ISLAND,90.00%,81.48%,50.37%,0.73%,0.85%,97.37%,,0.42%,2.35%,100.00%,81.06%,82.00%,66.98%,47.83%,63.54%,,,,,,,,,,
H4155,JMH Health Plan,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4205,Blue Cross Blue Shield of South Carolina,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,100.00%,Not measured,90.88%,0.00%,0.80%,100.00%,,Not measured,Not measured,100.00%,Plan not required to report measure,88.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4209,Blue Cross Blue Shield of South Carolina,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,Not measured,Not measured,87.28%,0.00%,0.80%,97.30%,,3.53%,0.89%,100.00%,Plan too small to be measured,92.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4213,Arkansas Blue Cross - Medi-Pak Advantage,ARKANSAS BLUE CROSS AND BLUE SHIELD,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4270,UCare,"UCARE WISCONSIN, INC.",Not measured,Not measured,95.39%,0.00%,3.68%,92.96%,,0.00%,1.02%,100.00%,Plan too small to be measured,91.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4346,CareMore Health Plan of Nevada,CAREMORE HEALTH PLAN OF NEVADA,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4382,ProHealth,PROSALUD HMO CORP.,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4406,AARP MedicareComplete from SecureHorizons,"UNITEDHEALTHCARE OF TENNESSEE, INC.",Not measured,Not measured,87.72%,1.45%,1.87%,96.30%,,0.87%,1.32%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H4407,"Healthspring, Inc.","HEALTHSPRING OF TENNESSEE, INC.",100.00%,100.00%,88.38%,0.00%,1.09%,100.00%,,2.31%,1.83%,100.00%,77.96%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H4408,Humana Insurance Company,HUMANA INSURANCE COMPANY,75.00%,100.00%,82.12%,2.51%,0.80%,94.37%,,0.00%,2.12%,100.00%,78.20%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H4449,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",0.00%,0.00%,93.67%,0.00%,0.00%,90.00%,,Not measured,Not measured,100.00%,Plan not required to report measure,84.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4454,Healthspring,"HEALTHSPRING OF TENNESSEE, INC.",100.00%,100.00%,49.61%,0.00%,1.09%,95.65%,,0.55%,1.99%,100.00%,79.03%,87.00%,46.42%,54.11%,82.49%,,,,,,,,,,
H4456,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF THE RIVER VALLEY, INC.",66.67%,100.00%,85.03%,3.17%,1.87%,95.63%,,0.77%,2.32%,100.00%,Plan reported a Biased Rate,86.00%,64.14%,42.19%,78.89%,,,,,,,,,,
H4461,"Cariten Health Plan, Inc.",CARITEN HEALTH PLAN IN,Not measured,Not measured,90.41%,0.00%,0.00%,92.13%,,1.03%,2.41%,100.00%,Plan reported a Biased Rate,93.00%,49.08%,45.42%,83.10%,,,,,,,,,,
H4506,Universal American,"SELECTCARE OF TEXAS, L.L.C.",100.00%,100.00%,31.62%,2.22%,1.07%,91.94%,,1.04%,1.07%,100.00%,81.66%,88.00%,51.16%,64.57%,66.94%,,,,,,,,,,
H4510,"Humana Health Plan of Texas, Inc.","HUMANA HEALTH PLAN OF TEXAS,INC.",100.00%,90.00%,86.58%,2.51%,0.80%,94.37%,,0.53%,1.13%,100.00%,78.20%,88.00%,64.38%,36.61%,69.77%,,,,,,,,,,
H4513,Texas HealthSpring,TEXAS HEALTHSPRING LLC,66.67%,100.00%,70.41%,1.13%,1.09%,100.00%,,0.62%,1.77%,100.00%,89.06%,85.00%,61.41%,43.25%,82.39%,,,,,,,,,,
H4514,Evercare® Health Plans,"EVERCARE OF TEXAS, LLC",Not measured,100.00%,81.62%,2.37%,1.87%,95.24%,,0.52%,1.63%,100.00%,70.16%,88.00%,66.12%,34.48%,75.00%,,,,,,,,,,
H4520,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,73.33%,82.39%,2.51%,0.80%,94.37%,,1.10%,1.45%,100.00%,78.20%,88.00%,75.68%,55.56%,63.93%,,,,,,,,,,
H4522,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,100.00%,84.50%,1.35%,1.86%,95.12%,,0.41%,1.93%,100.00%,70.16%,86.00%,Not enough data available to calculate measure,33.96%,Not enough data available to calculate measure,,,,,,,,,,
H4523,Aetna Medicare,AETNA HEALTH INC.,100.00%,100.00%,82.69%,0.00%,0.00%,97.14%,,1.32%,1.74%,100.00%,78.06%,84.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H4524,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,0.00%,Not measured,78.86%,0.00%,0.00%,97.14%,,0.00%,0.60%,100.00%,78.06%,84.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H4525,FirstCare Advantage,"SHA, L.L.C",100.00%,0.00%,50.33%,0.78%,1.88%,91.03%,,1.10%,2.24%,100.00%,76.17%,72.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H4527,PHYSICIANS HEALTH CHOICE,PHYSICIANS HEALTH CHOICE OF TEXAS LLC,Not measured,Not measured,65.37%,0.00%,0.00%,98.63%,,0.36%,1.75%,100.00%,77.51%,87.00%,33.70%,47.17%,56.94%,,,,,,,,,,
H4528,Bravo Health,"BRAVO HEALTH TEXAS, INC.",Not measured,Not measured,87.61%,0.87%,2.21%,89.41%,,0.00%,0.67%,95.00%,88.80%,79.00%,13.89%,43.75%,Not enough data available to calculate measure,,,,,,,,,,
H4529,Texas Community Care,"ARCADIAN HEALTH PLAN, INC.",Not measured,Not measured,85.18%,0.95%,0.00%,93.69%,,1.04%,2.40%,100.00%,97.53%,79.00%,42.86%,Not enough data available to calculate measure,65.00%,,,,,,,,,,
H4556,Consolidated Assoc Of Railroad Employees Hc,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC,,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4590,SecureHorizons by UnitedHealthcare,"PACIFICARE OF TEXAS, INC.",88.89%,100.00%,77.23%,2.04%,1.87%,95.81%,,0.77%,1.51%,100.00%,70.16%,86.00%,51.80%,45.84%,78.80%,,,,,,,,,,
H4604,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF UTAH, INC.",0.00%,Not measured,84.18%,1.51%,1.86%,95.12%,,1.29%,2.20%,100.00%,70.16%,86.00%,Not enough data available to calculate measure,55.32%,Not enough data available to calculate measure,,,,,,,,,,
H4605,Regence BlueCross BlueShield of Utah,REGENCE BLUECROSS BLUESHIELD OF UT,66.67%,100.00%,65.92%,0.00%,0.00%,93.94%,,1.45%,1.58%,100.00%,72.07%,82.00%,66.67%,63.11%,65.79%,,,,,,,,,,
H4606,Humana Insurance Company,HUMANA INSURANCE COMPANY,72.22%,100.00%,82.03%,0.99%,0.83%,97.44%,,0.96%,1.70%,100.00%,78.20%,87.00%,Not enough data available to calculate measure,63.64%,Not enough data available to calculate measure,,,,,,,,,,
H4652,Union Pacific Railroad Employes Health Systems,UNION PACIFIC RR EMPLOYES HEALTH SYS,,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4754,Clear One Health Plans,"CLEAR CHOICE HEALTH PLANS, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4774,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4837,UnitedHealthcare Personal Care Plus,UNITEDHEALTHCARE OF WISCONSIN,Not measured,Not measured,76.47%,1.43%,2.21%,88.51%,,Not measured,Not measured,100.00%,Plan not required to report measure,81.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4875,Priority Health Medicare,PRIORITY HEALTH,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4906,C and O Employees' Hospital Association,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4908,Optima Medicare,OPTIMA HEALTH INSURANCE COMPANY,100.00%,Not measured,89.04%,0.77%,0.00%,98.99%,,0.50%,2.65%,95.00%,85.94%,93.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H4909,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.",100.00%,Not measured,Not measured,0.00%,5.71%,Not measured,,0.00%,1.34%,100.00%,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4910,Aetna Medicare,AETNA HEALTH INC.,Not measured,Not measured,75.00%,0.00%,0.00%,96.92%,,0.00%,0.00%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4917,"Guardian Healthcare, Inc.","GUARDIAN HEALTHCARE,INC.",Not measured,Not measured,97.22%,2.17%,1.19%,97.73%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4956,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,Not measured,92.38%,2.51%,0.80%,94.37%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4971,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,86.11%,3.31%,1.88%,93.15%,,0.00%,0.00%,100.00%,Plan too small to be measured,92.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4979,BlueCross BlueShield of Tennessee,BLUECROSS BLUESHIELD OF TENNESSEE,,,,,,,,,,,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H5005,AARP MedicareComplete from SecureHorizons,"PACIFICARE OF WASHINGTON, INC.",100.00%,100.00%,84.21%,1.75%,1.34%,93.67%,,0.50%,1.13%,100.00%,70.16%,87.00%,66.04%,60.00%,82.55%,,,,,,,,,,
H5006,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,33.33%,100.00%,93.46%,0.00%,0.00%,82.76%,,0.28%,1.45%,95.00%,Plan reported a Biased Rate,64.00%,32.18%,51.52%,47.76%,,,,,,,,,,
H5008,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,70.77%,0.92%,1.34%,93.75%,,0.99%,0.87%,100.00%,70.16%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5009,Regence BlueShield,REGENCE BLUESHIELD,100.00%,100.00%,62.84%,0.00%,0.00%,93.65%,,0.96%,1.81%,100.00%,72.07%,79.00%,Not enough data available to calculate measure,56.16%,Not enough data available to calculate measure,,,,,,,,,,
H5010,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,Not measured,Not measured,56.34%,0.00%,0.00%,93.33%,,0.00%,0.00%,100.00%,72.07%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5041,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,100.00%,91.23%,2.56%,0.79%,96.67%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H5042,CDPHP Medicare Choices,"CDPHP UNIVERSAL BENEFITS, INC.",Not measured,Not measured,72.06%,0.00%,0.00%,100.00%,,0.00%,0.00%,100.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5050,Group Health Cooperative,GROUP HEALTH COOPERATIVE,Not measured,Not measured,91.55%,0.71%,0.00%,87.01%,,0.38%,0.91%,100.00%,75.56%,88.00%,88.31%,72.76%,91.09%,,,,,,,,,,
H5087,Easy Choice Health Plan,EASY CHOICE HEALTH PLAN INC.,Not measured,Not measured,98.24%,0.80%,1.43%,90.41%,,0.00%,2.07%,100.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5106,Highmark Health Insurance Company,HIGHMARK HEALTH INSURANCE COMPANY,100.00%,100.00%,91.41%,0.00%,2.17%,93.88%,,1.32%,0.81%,95.00%,64.80%,91.00%,76.67%,38.60%,85.71%,,,,,,,,,,
H5151,The Health Plan,HEALTH PLAN OF THE UPPER OHIO VALLEY,Not measured,Not measured,85.48%,0.00%,2.17%,94.44%,,0.26%,0.69%,100.00%,97.21%,93.00%,Not enough data available to calculate measure,44.44%,80.00%,,,,,,,,,,
H5162,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H5206,Community Health Partnership,"PARTNERSHIP HEALTH PLAN, INC.",Not measured,Not measured,2.70%,0.00%,0.00%,94.20%,,0.96%,1.82%,100.00%,76.29%,86.00%,75.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5207,Community Care,"COMMUNITY CARE HEALTH PLAN, INC",Not measured,Not measured,7.41%,0.00%,0.00%,96.83%,,0.00%,1.62%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5209,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.",Not measured,Not measured,79.25%,0.72%,0.00%,98.15%,,0.00%,8.50%,100.00%,Plan too small to be measured,83.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5211,"Security Health Plan Of Wisconsin, Inc","SECURITY HEALTH PLAN OF WISCONSIN, INC",Not measured,Not measured,54.01%,0.00%,0.72%,97.40%,,0.00%,2.14%,100.00%,79.56%,93.00%,Not enough data available to calculate measure,45.61%,68.33%,,,,,,,,,,
H5214,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,80.00%,88.83%,2.56%,0.79%,96.67%,,1.15%,1.13%,100.00%,78.20%,89.00%,60.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5215,Network Platinum Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,100.00%,100.00%,91.92%,0.72%,0.00%,98.84%,,0.37%,1.55%,100.00%,65.41%,90.00%,Not enough data available to calculate measure,48.86%,77.50%,,,,,,,,,,
H5216,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,83.33%,82.64%,2.51%,0.80%,94.37%,,0.00%,1.34%,100.00%,78.20%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5253,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC",100.00%,0.00%,74.30%,1.89%,1.87%,95.81%,,0.18%,1.20%,100.00%,70.16%,86.00%,71.76%,56.91%,80.77%,,,,,,,,,,
H5256,Medical Associates Clinic Health Plan of Wisconsin,MEDICAL ASSOCIATES CLINIC HEALTH PLAN,,,,,,,,,,,57.74%,Not enough data available to calculate measure,Not enough data available to calculate measure,Benefit not offered by plan,Benefit not offered by plan,,,,,,,,,,
H5262,"Gundersen Lutheran Health Plan, Inc.",GUNDERSEN LUTHERAN HEALTH PLAN,Not measured,Not measured,65.60%,0.00%,0.00%,94.74%,,0.30%,0.87%,100.00%,55.30%,88.00%,Not enough data available to calculate measure,57.45%,Not enough data available to calculate measure,,,,,,,,,,
H5264,"Dean Health Plan, Inc.","DEAN HEALTH PLAN, INC.",,,,,,,,,,,66.57%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5291,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",100.00%,100.00%,85.71%,2.77%,0.83%,91.25%,,0.00%,3.36%,100.00%,Plan too small to be measured,87.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5294,Advantage by SuperiorHealthPlan,"SUPERIOR HEALTH PLAN, INC.",Not measured,Not measured,76.06%,5.07%,0.00%,100.00%,,0.00%,0.00%,84.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5301,Universal American,PENNSYLVANIA LIFE INSURANCE COMPANY,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5302,Advantra,"COVENTRY HEALTH CARE OF GEORGIA, INC.",Not measured,Not measured,33.54%,0.00%,2.17%,94.81%,,3.31%,0.99%,100.00%,Plan too small to be measured,91.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5378,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,Not measured,Not measured,78.41%,0.94%,1.07%,93.85%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H5402,Quality Health Plans,"QUALITY HEALTH PLANS, INC.",66.67%,100.00%,73.31%,0.78%,0.00%,94.74%,,0.57%,0.25%,100.00%,Plan not required to report measure,88.00%,Not enough data available to calculate measure,45.45%,80.95%,,,,,,,,,,
H5404,"Universal Health Care, Inc.","UNIVERSAL HEALTH CARE, INC.",60.00%,100.00%,54.26%,0.95%,3.47%,94.74%,,0.23%,2.29%,95.00%,84.67%,89.00%,20.93%,43.65%,77.67%,,,,,,,,,,
H5407,"Citrus Health Care, Inc.","CITRUS HEALTH CARE, INC.",100.00%,Not measured,Not measured,0.00%,0.00%,98.77%,,1.01%,1.59%,100.00%,81.20%,87.00%,16.31%,40.91%,67.69%,,,,,,,,,,
H5410,"HealthSpring of Florida, Inc.","HEALTHSPRING OF FLORIDA, INC.",Not measured,Not measured,96.71%,0.42%,0.00%,90.52%,,0.13%,1.13%,84.00%,90.00%,87.00%,74.49%,34.29%,85.42%,,,,,,,,,,
H5414,Aetna Medicare,AETNA HEALTH INC.,100.00%,100.00%,86.46%,0.00%,0.00%,96.92%,,3.47%,0.47%,100.00%,78.06%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5415,"Humana Health Insurance Company of FL, Inc.","HUMANA HEALTH INSURANCE COMPANY OF FL, INC.",Not measured,100.00%,77.78%,2.56%,0.79%,96.67%,,0.00%,0.73%,100.00%,78.20%,89.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5416,Spokane Community Care,"ARCADIAN HEALTH PLAN, INC.",Not measured,Not measured,78.05%,0.90%,0.00%,92.98%,,0.61%,1.45%,100.00%,97.53%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5417,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,60.00%,100.00%,62.19%,1.96%,1.88%,96.08%,,0.55%,1.43%,100.00%,70.16%,88.00%,48.91%,46.94%,76.19%,,,,,,,,,,
H5419,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,100.00%,100.00%,Not measured,2.70%,4.89%,Not measured,,0.00%,1.22%,100.00%,67.16%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan reported a Biased Rate,Plan reported a Biased Rate,,,,,,,,,,
H5420,"Medica HealthCare Plans, Inc.","MEDICA HEALTHCARE PLANS, INC.",Not measured,Not measured,91.15%,0.73%,0.00%,81.70%,,0.08%,0.86%,100.00%,58.27%,84.00%,Not enough data available to calculate measure,39.83%,77.50%,,,,,,,,,,
H5421,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,100.00%,100.00%,84.58%,1.33%,1.07%,97.50%,,1.00%,1.27%,100.00%,Plan not required to report measure,87.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5422,Blue Cross Blue Shield Healthcare Plan of Georgia,BLUE CROSS BLUE SHIELD OF GEORGIA,Not measured,Not measured,Not measured,8.20%,5.71%,Not measured,,1.72%,1.35%,100.00%,77.03%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5424,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,100.00%,80.74%,1.54%,1.40%,93.94%,,0.49%,1.30%,100.00%,88.56%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5425,SCAN Health Plan,SCAN HEALTH PLAN,83.33%,100.00%,87.61%,0.72%,0.00%,95.88%,,0.16%,1.28%,100.00%,84.17%,93.00%,33.33%,53.91%,78.85%,,,,,,,,,,
H5426,"Humana AdvantageCare Plan, Inc.","HUMANA ADVANTAGECARE PLAN, INC.",Not measured,100.00%,79.21%,2.56%,0.79%,90.74%,,0.26%,1.44%,100.00%,73.47%,79.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5427,"Freedom Health, Inc.","FREEDOM HEALTH PLAN, INC.",100.00%,100.00%,75.60%,4.24%,0.00%,94.74%,,0.33%,1.73%,100.00%,87.25%,91.00%,Not enough data available to calculate measure,64.04%,84.00%,,,,,,,,,,
H5428,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,0.00%,Not measured,96.98%,0.00%,5.74%,87.50%,,0.50%,2.69%,95.00%,82.43%,86.00%,68.52%,43.90%,Not enough data available to calculate measure,,,,,,,,,,
H5429,"Universal Health Care, Inc.","UNIVERSAL HEALTH CARE, INC.",100.00%,Not measured,60.32%,0.95%,3.47%,94.74%,,2.32%,1.45%,95.00%,84.67%,89.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5430,"ONECare by Care1st Health Plan Arizona, Inc.",CARE1ST HEALTH PLAN OF ARIZONA,Not measured,50.00%,60.66%,0.72%,0.00%,93.75%,,0.00%,0.46%,100.00%,97.60%,88.00%,18.18%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5431,"HealthSun Health Plans, Inc.","HEALTHSUN HEALTH PLANS, INC.",Not measured,Not measured,92.42%,0.00%,2.50%,88.89%,,0.00%,0.66%,100.00%,Plan reported a Biased Rate,71.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5433,OneCare,ORANGE COUNTY HEALTH AUTHORITY,100.00%,Not measured,58.04%,1.55%,7.18%,97.18%,,0.25%,1.04%,100.00%,77.90%,85.00%,34.92%,38.10%,Not enough data available to calculate measure,,,,,,,,,,
