2012 Domain Star: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Drug Plan Customer Service,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",Member Experience with Drug Plan,Drug Pricing and Patient Safety,,,,,,,,,,,
H4528,Local CCP,"BRAVO HEALTH TEXAS, INC.",Bravo Health,"HealthSpring, Inc.",3,2,3,3,,,,,,,,,,,
H4529,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Texas Community Care,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,3,3,3,,,,,,,,,,,
H4564,1876 Cost,SCOTT AND WHITE HEALTH PLAN,Scott and White Health Plan SeniorCare,Scott and White Healthcare,Not enough data to calculate stars for this category,5,5,4,,,,,,,,,,,
H4590,Local CCP,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,3,,,,,,,,,,,
H4604,Local CCP,"UNITEDHEALTHCARE OF UTAH, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,,,,,,,,,,,
H4605,Local CCP,REGENCE BLUECROSS BLUESHIELD OF UT,Regence BlueCross BlueShield of Utah,The Regence Group,4,4,4,3,,,,,,,,,,,
H4606,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,4,4,,,,,,,,,,,
H4738,Local CCP,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.","America's 1st Choice Health Plans, Inc.",5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H4754,Local CCP,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Medicare,PacificSource Health Plans,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H4785,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H4837,Local CCP,UNITEDHEALTHCARE OF WISCONSIN,UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",Not enough data to calculate stars for this category,3,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H4866,Local CCP,CUATRO LLC,Access Medicare,Cuatro LLC.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H4875,Local CCP,PRIORITY HEALTH,Priority Health Medicare,Spectrum Health System,3,3,3,3,,,,,,,,,,,
H4909,Local CCP,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,3,4,3,,,,,,,,,,,
H4910,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H4956,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,3,2,,,,,,,,,,,
H4971,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,4,4,,,,,,,,,,,
H5005,Local CCP,"UNITEDHEALTHCARE OF WASHINGTON, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,3,4,,,,,,,,,,,
H5006,PFFS,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,3,2,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H5008,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,3,3,,,,,,,,,,,
H5009,Local CCP,REGENCE BLUESHIELD,Regence BlueShield,The Regence Group,3,4,4,4,,,,,,,,,,,
H5010,Local CCP,ASURIS NORTHWEST HEALTH,Asuris Northwest Health,The Regence Group,4,2,3,4,,,,,,,,,,,
H5016,Local CCP,PROVIDENCE HEALTH PLANS,Providence Health Plans,Providence Health & Services,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H5041,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,4,4,4,,,,,,,,,,,
H5042,Local CCP,"CDPHP UNIVERSAL BENEFITS, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",4,4,3,4,,,,,,,,,,,
H5050,Local CCP,GROUP HEALTH COOPERATIVE,Group Health Cooperative,Group Health Cooperative,4,5,5,5,,,,,,,,,,,
H5087,Local CCP,EASY CHOICE HEALTH PLAN INC.,Easy Choice Health Plan,Easy Choice Health Plan Inc.,4,3,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H5096,Local CCP,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.","Universal Health Care Insurance Company, Inc.","Universal Health Care Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H5106,Local CCP,HIGHMARK HEALTH INSURANCE COMPANY,Highmark Health Insurance Company,Highmark Inc.,5,4,4,3,,,,,,,,,,,
H5151,Local CCP,HEALTH PLAN OF THE UPPER OHIO VALLEY,The Health Plan,Health Plan of the Upper Ohio Valley,5,5,5,3,,,,,,,,,,,
H5162,Local CCP,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,4,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H5206,Local CCP,"PARTNERSHIP HEALTH PLAN, INC.",Community Health Partnership,"Community Health Partnership, Inc.",4,4,5,4,,,,,,,,,,,
H5207,Local CCP,"COMMUNITY CARE HEALTH PLAN, INC",Community Care,"Community Care, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H5209,Local CCP,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",5,4,4,4,,,,,,,,,,,
H5211,Local CCP,"SECURITY HEALTH PLAN OF WISCONSIN, INC",Advocare,Marshfield Clinic.,4,5,5,4,,,,,,,,,,,
H5214,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,3,3,,,,,,,,,,,
H5215,Local CCP,NETWORK HEALTH INSURANCE CORPORATION,Network Platinum Medicare Advantage Plans,Affinity Health System,4,5,4,4,,,,,,,,,,,
H5216,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,4,4,,,,,,,,,,,
H5253,Local CCP,"UNITEDHEALTHCARE OF WISCONSIN, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,4,,,,,,,,,,,
H5262,Local CCP,GUNDERSEN LUTHERAN HEALTH PLAN,"Gundersen Lutheran Health Plan, Inc.",Gundersen Lutheran Health System Inc.,5,5,5,4,,,,,,,,,,,
H5291,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3,3,3,3,,,,,,,,,,,
H5294,Local CCP,"SUPERIOR HEALTH PLAN, INC.",Advantage by Superior HealthPlan,Centene Corporation,Not enough data to calculate stars for this category,2,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H5302,Local CCP,"COVENTRY HEALTH CARE OF GEORGIA, INC.",Coventry Health Care,Coventry Health Care Inc.,4,2,2,2,,,,,,,,,,,
H5378,Local CCP,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,1,2,3,,,,,,,,,,,
H5402,Local CCP,"QUALITY HEALTH PLANS, INC.",Quality Health Plans,"QHP Group, Inc.",Not enough data to calculate stars for this category,2,4,3,,,,,,,,,,,
H5404,Local CCP,"UNIVERSAL HEALTH CARE, INC.","Universal Health Care, Inc.","Universal Health Care Group, Inc.",3,2,3,3,,,,,,,,,,,
H5407,Local CCP,"CITRUS HEALTH CARE, INC.","Citrus Health Care, Inc.","UnitedHealth Group, Inc.",4,2,2,3,,,,,,,,,,,
H5410,Local CCP,"HEALTHSPRING OF FLORIDA, INC.","HealthSpring of Florida, Inc.","HealthSpring, Inc.",5,4,5,3,,,,,,,,,,,
H5414,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,1,2,3,,,,,,,,,,,
H5415,Local CCP,"HUMANA HEALTH INSURANCE COMPANY OF FL, INC.","Humana Health Insurance Company of FL, Inc.",Humana Inc.,4,2,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H5416,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Arcadian Health Plan,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,1,3,3,,,,,,,,,,,
H5417,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H5420,Local CCP,"MEDICA HEALTHCARE PLANS, INC.","Medica HealthCare Plans, Inc.","Medica HealthCare Plans, Inc.",3,4,5,3,,,,,,,,,,,
H5421,PFFS,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Universal American Corp.,2,1,3,2,,,,,,,,,,,
H5422,Local CCP,BLUE CROSS BLUE SHIELD OF GEORGIA,Blue Cross Blue Shield Healthcare Plan of Georgia,"WellPoint, Inc.",2,2,3,2,,,,,,,,,,,
H5424,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,3,3,,,,,,,,,,,
H5425,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,3,3,4,3,,,,,,,,,,,
H5426,Local CCP,"HUMANA ADVANTAGECARE PLAN, INC.","Humana AdvantageCare Plan, Inc.",Humana Inc.,3,3,2,3,,,,,,,,,,,
H5427,Local CCP,"FREEDOM HEALTH PLAN, INC.","Freedom Health, Inc.","America's 1st Choice Holdings of Florida, LLC",5,2,5,3,,,,,,,,,,,
H5428,Local CCP,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,Health Plan of San Mateo,4,4,2,4,,,,,,,,,,,
H5429,Local CCP,"UNIVERSAL HEALTH CARE, INC.","Universal Health Care, Inc.","Universal Health Care Group, Inc.",3,2,2,3,,,,,,,,,,,
H5430,Local CCP,CARE1ST HEALTH PLAN OF ARIZONA,"ONECare by Care1st Health Plan Arizona, Inc.",Care1st Health Plan,3,3,2,3,,,,,,,,,,,
H5431,Local CCP,"HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc.","HealthSun Health Plans, Inc",4,2,5,4,,,,,,,,,,,
H5433,Local CCP,ORANGE COUNTY HEALTH AUTHORITY,OneCare,CalOptima,4,4,3,4,,,,,,,,,,,
H5434,Local CCP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.","Blue Cross and Blue Shield of Florida, Inc.",Blue Cross and Blue Shield of Florida,2,2,3,4,,,,,,,,,,,
H5435,PFFS,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,4,3,,,,,,,,,,,
H5439,Local CCP,HEALTH NET LIFE INSURANCE COMPANY,Health Net Life Insurance Company,"Health Net, Inc.",Not enough data to calculate stars for this category,2,4,4,,,,,,,,,,,
H5440,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H5470,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,4,3,4,,,,,,,,,,,
H5471,Local CCP,"SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Plans, Inc.","Simply Healthcare Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,
H5475,Local CCP,"HEALTH PLAN OF MICHIGAN, INC.",Health Plan of Michigan Gold Plan,"Caidan Enterprises, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H5507,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,5,4,,,,,,,,,,,
H5508,Local CCP,"ADVANTAGE HEALTH SOLUTIONS, INC.","ADVANTAGE Health Solutions, Inc.",Advantage Health Solutions,5,4,4,4,,,,,,,,,,,
H5509,Local CCP,COVENTRY HEALTH AND LIFE INS. COMPANY,COVENTRY HEALTH CARE,Coventry Health Care Inc.,4,2,2,3,,,,,,,,,,,
H5516,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,5,3,,,,,,,,,,,
H5520,Local CCP,HEALTH NET LIFE INSURANCE COMPANY,Health Net Life Insurance Company,"Health Net, Inc.",2,3,4,4,,,,,,,,,,,
H5521,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,4,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H5522,Local CCP,"HEALTHASSURANCE PENNSYLVANIA, INC.",HealthAmerica,Coventry Health Care Inc.,4,2,3,4,,,,,,,,,,,
H5525,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,3,3,3,4,,,,,,,,,,,
H5526,Local CCP,HEALTHNOW NEW YORK INC.,BlueCross BlueShield of WNY or BlueShield of NENY,HealthNow New York Inc.,4,4,4,4,,,,,,,,,,,
H5528,Local CCP,GROUP HEALTH INCORPORATED,EmblemHealth Medicare PPO,"EmblemHealth, Inc.",3,1,2,3,,,,,,,,,,,
H5529,Local CCP,COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,3,2,3,,,,,,,,,,,
H5530,Local CCP,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,3,3,2,,,,,,,,,,,
H5532,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,3,3,,,,,,,,,,,
H5533,Local CCP,UPMC HEALTH NETWORK,UPMC Health Plan,University of Pittsburgh Medical Center,5,4,4,4,,,,,,,,,,,
H5549,Local CCP,VNS CHOICE,VNSNY CHOICE Medicare,Visiting Nurse Service of New York,4,3,3,3,,,,,,,,,,,
H5575,Local CCP,FIDELIS SECURECARE OF NORTH CAROLINA,Fidelis SecureCare of North Carolina,Fidelis SecureCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H5576,Local CCP,"VANTAGE  HEALTH PLAN, INC.","Vantage Health Plan, Inc.","Vantage Health Plan, Inc.",3,4,5,2,,,,,,,,,,,
H5577,Local CCP,MCS ADVANTAGE INC.,MCS Classicare,"Medical Card System, Inc.",3,3,4,2,,,,,,,,,,,
H5578,Local CCP,"ARCADIAN HEALTH PLAN OF GEORGIA, INC.",Southeast Community Care,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,2,2,2,,,,,,,,,,,
H5580,Local CCP,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,Mercy Care Advantage,Southwest Catholic Health Network,3,5,4,2,,,,,,,,,,,
H5587,Local CCP,"HEALTH CHOICE ARIZONA, INC.",Health Choice Generations HMO SNP,IASIS Healthcare,5,4,3,2,,,,,,,,,,,
H5590,Local CCP,BRIDGEWAY HEALTH SOLUTIONS,Advantage by Bridgeway Health Solutions HMO SNP,Centene Corporation,4,4,3,3,,,,,,,,,,,
H5591,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",4,5,4,4,,,,,,,,,,,
H5594,Local CCP,"OPTIMUM HEALTHCARE, INC.","Optimum HealthCare, Inc.","America's 1st Choice Holdings of Florida, LLC",5,3,5,3,,,,,,,,,,,
H5608,Local CCP,"DENVER HEALTH MEDICAL PLAN, INC.",Denver Health Medical Plan,Denver Health Hospital Authority,3,4,2,3,,,,,,,,,,,
H5609,Local CCP,GEMCARE HEALTH PLAN INC.,GEMCARE Health Plan,Golden Empire Managed Care,4,5,5,2,,,,,,,,,,,
H5619,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Northeast Community Care,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,3,4,4,,,,,,,,,,,
H5628,Local CCP,"MOLINA HEALTHCARE OF UTAH, INC.",Molina Healthcare of Utah,"Molina Healthcare, Inc.,",3,3,3,3,,,,,,,,,,,
H5640,Local CCP,IEHP HEALTH ACCESS,IEHP Medicare DualChoice,INLAND EMPIRE HEALTH PLAN,4,4,4,2,,,,,,,,,,,
H5649,Local CCP,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Medicare Plan,Central Health Plan of California,5,4,2,3,,,,,,,,,,,
H5652,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,Erickson Advantage,"UnitedHealth Group, Inc.",3,4,4,4,,,,,,,,,,,
H5656,Local CCP,"SELECTCARE HEALTH PLANS, INC.",Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,1,4,2,,,,,,,,,,,
H5665,Local CCP,"CARE IMPROVEMENT PLUS  OF MARYLAND, INC.",Care Improvement Plus,XLHealth Corporation,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H5679,Local CCP,"HMO COLORADO, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,2,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H5685,Local CCP,"MIDWEST HEALTH PLAN, INC.",Midwest Advantage,"Midwest Health Plan, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H5696,Local CCP,"PHYSICIANS UNITED PLAN, INC.",PUP,"IDJB Investments, LLC",4,2,4,3,,,,,,,,,,,
H5698,Local CCP,"WINDSOR HEALTH PLAN, INC.",Windsor Medicare Extra,Munich American Holding Corporation,4,2,3,2,,,,,,,,,,,
H5700,Local CCP,"ARKANSAS COMMUNITY CARE, INC.",Arcadian Health Plan,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,2,4,2,,,,,,,,,,,
H5703,Local CCP,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,4,,,,,,,,,,,
H5732,Local CCP,"TRIPLE-S SALUD, INC.","Triple-S Salud, INC.",Triple-S Management Corporation,3,3,3,3,,,,,,,,,,,
H5746,Local CCP,"AMERIGROUP NEW MEXICO, INC.",Amerigroup Community Care of New Mexico,AMERIGROUP Corporation,4,3,3,2,,,,,,,,,,,
H5749,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2,4,3,,,,,,,,,,,
H5750,Local CCP,METROPOLITAN HEALTH PLAN,Cornerstone Solutions,Metropolitan Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H5774,Local CCP,"AMERICAN HEALTH, INC.",American Health Medicare,Triple-S Management Corporation,3,3,3,2,,,,,,,,,,,
H5782,Local CCP,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,Partnership HealthPlan of California,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,4,5,4,4,,,,,,,,,,,
H5783,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Southeast Community Care,Arcadian Management Services Inc.,Not enough data to calculate stars for this category,2,4,2,,,,,,,,,,,
H5793,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,1,3,4,,,,,,,,,,,
H5810,Local CCP,MOLINA HEALTHCARE OF CALIFORNIA,Molina Healthcare of California,"Molina Healthcare, Inc.,",4,2,2,3,,,,,,,,,,,
H5811,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,4,3,3,3,,,,,,,,,,,
H5813,Local CCP,"AETNA HEALTH, INC",Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,3,3,3,,,,,,,,,,,
H5817,Local CCP,"AMERIGROUP TEXAS, INC.",Amerigroup Community Care,AMERIGROUP Corporation,3,3,3,2,,,,,,,,,,,
H5820,PFFS,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.","Universal Health Care Group, Inc.",3,2,4,2,,,,,,,,,,,
H5821,Local CCP,MAPFRE LIFE INSURANCE COMPANY,MAPFRE LIFE INSURANCE COMPANY,MAPFRE PRAICO CORPORATION,3,2,2,2,,,,,,,,,,,
H5823,Local CCP,"MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare of Washington, Inc.","Molina Healthcare, Inc.,",3,3,1,4,,,,,,,,,,,
H5826,Local CCP,COMMUNITY HEALTH PLAN OF WASHINGTON,Community HealthFirst Medicare Advantage Plan,Community Health Plan of Washington,2,3,4,3,,,,,,,,,,,
H5832,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H5850,Local CCP,"COVENTRY SUMMIT HEALTH PLAN, INC.",Coventry Summit Health Plan,Coventry Health Care Inc.,4,2,3,3,,,,,,,,,,,
H5852,Local CCP,AIDS HEALTHCARE FOUNDATION,Positive Healthcare Partners,AIDS Healthcare Foundation,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,4,,,,,,,,,,,
H5854,Local CCP,"ANTHEM HEALTH PLANS, INC",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2,2,3,3,,,,,,,,,,,
H5859,Local CCP,"HEALTH PLAN OF CAREOREGON, INC.",CareOregon Advantage,"CareOregon, Inc.",3,5,2,4,,,,,,,,,,,
H5868,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,4,4,,,,,,,,,,,
H5883,Local CCP,BLUE CARE NETWORK OF MICHIGAN,Blue Care Network,Blue Cross Blue Shield of Michigan,3,3,4,4,,,,,,,,,,,
H5884,PFFS,BLUECROSS BLUESHIELD OF TENNESSEE,BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,3,3,3,3,,,,,,,,,,,
H5887,Local CCP,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",3,2,2,2,,,,,,,,,,,
H5896,Local CCP,"AMERIGROUP MARYLAND, INC.",Amerigroup Community Care,AMERIGROUP Corporation,3,4,2,3,,,,,,,,,,,
H5926,Local CCP,MOLINA HEALTHCARE OF MICHIGAN,Molina Healthcare of Michigan,"Molina Healthcare, Inc.,",4,3,3,3,,,,,,,,,,,
H5928,Local CCP,CARE1ST HEALTH PLAN,Care1st Medicare Advantage Plan,Care1st Health Plan,3,3,3,2,,,,,,,,,,,
H5932,Local CCP,"GATEWAY HEALTH PLAN, INC.",Gateway Health Plan Medicare Assured,Gateway Health Plan,4,5,3,3,,,,,,,,,,,
H5938,Local CCP,CAPITAL HEALTH PLAN,Capital Health Plan,Blue Cross and Blue Shield of Florida,4,5,5,3,,,,,,,,,,,
H5943,Local CCP,SCAN HEALTH PLAN,VillageHealth,SCAN Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H5950,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H5969,Local CCP,ALOHACARE,AlohaCare,AlohaCare,4,4,3,3,,,,,,,,,,,
H5970,Local CCP,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,3,3,4,4,,,,,,,,,,,
H5980,Local CCP,"FIDELIS SECURECARE OF TEXAS, INC.","Fidelis SecureCare of Texas, Inc.",Fidelis SecureCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H5985,Local CCP,ABRAZO ADVANTAGE HEALTH PLAN,Abrazo Advantage Health Plan,Vanguard Health Systems,4,4,3,2,,,,,,,,,,,
H5989,Local CCP,COMPREHENSIVE CARE MANAGEMENT CORP.,Comprehensive Care Management Corp.,Bethco Corporation,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4,,,,,,,,,,,
H5991,Local CCP,"AFFINITY HEALTH PLAN, INC.",Affinity Health Plan,Affinity Health Plan,4,3,3,3,,,,,,,,,,,
H5992,Local CCP,"SENIOR WHOLE HEALTH OF NEW YORK, INC.",Senior Whole Health of New York,"Senior Whole Health, LLC",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5,4,,,,,,,,,,,
H5995,Local CCP,"MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.","Marion Polk Community Health Plan Advantage, Inc.","Marion Polk Community Health Plan, LLC",4,5,4,3,,,,,,,,,,,
H6169,PFFS,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,1,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H6178,Local CCP,CARESOURCE,CareSource,CareSource,Not enough data to calculate stars for this category,3,3,2,,,,,,,,,,,
H6181,Local CCP,"AMERIGROUP NEW YORK, LLC",Amerigroup Community Care,AMERIGROUP Corporation,3,3,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H6264,Local CCP,"HEALTHPLUS PHSP, INC.",Health Plus Elite,Lutheran Medical Center,3,2,Not enough data to calculate stars for this category,3,,,,,,,,,,,
H6328,Local CCP,"CARE N' CARE INSURANCE COMPANY, INC.",Care N' Care Health Plan,North Texas Specialty Physicians,3,4,5,3,,,,,,,,,,,
H6360,1876 Cost,KAISER FOUNDATION HP OF OHIO,Kaiser Permanente Medicare Plus,"Kaiser Foundation Health Plan, Inc.",Not enough data to calculate stars for this category,4,5,4,,,,,,,,,,,
H6411,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,3,3,,,,,,,,,,,
H6528,Local CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,XLHealth Corporation,3,3,Not enough data to calculate stars for this category,2,,,,,,,,,,,
H6609,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,4,4,4,,,,,,,,,,,
H6622,Local CCP,HUMANA WISCONSINHEALTH ORGANIZATION INSURANCE CORP,Humana WisconsinHealth Organization Insurance Corp,Humana Inc.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,,,,,,,,,,,
H6642,Local CCP,"UNIVERSAL HMO OF TEXAS, INC.","Universal HMO of Texas, Inc.","Universal Health Care Group, Inc.",2,3,Not enough data to calculate stars for this category,2,,,,,,,,,,,
