2012 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",,,Member Experience with Drug Plan,,,Drug pricing and patient safety,,,,,
H2960,Local CCP,HOMETOWN HEALTH PLAN,Senior Care Plus,Renown Health,0:13,83.5,5.3,Not enough data available to calculate measure,70.30,0.12,60,4%,89%,88%,93%,98.3,19.1%,86.5%,74.1%,75.6%,72.6%
H2997,Local CCP,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",1:05,69.1,Not enough data available to calculate measure,33.3%,93.46,0.43,60,16%,No data available,No data available,No data available,95.7,18.8%,82.0%,72.4%,71.6%,67.1%
H3028,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:29,84.5,0.0,No appeals required review,68.31,1.31,100,14%,50%,85%,89%,97.1,15.2%,90.7%,71.7%,74.7%,68.4%
H3044,Local CCP,"NHP OF INDIANA, LLC",Welborn Health Plans,"Neighborhood Health Providers, Inc.",0:35,78.7,33.9,Not enough data available to calculate measure,99.42,0.06,80,7%,82%,86%,92%,96.4,26.1%,74.6%,79.4%,78.1%,73.0%
H3107,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.3,60.0%,94.48,0.80,40,10%,81%,82%,91%,98.0,13.1%,84.8%,67.3%,69.6%,62.8%
H3113,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,Not enough data available to calculate measure,No appeals required review,86.55,Not enough data available to calculate measure,60,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,27.6%,55.2%,81.5%,77.0%,76.1%
H3132,Local CCP,"AHF MCO OF FLORIDA, INC.",Positive Healthcare Partners,AIDS Healthcare Foundation,0:25,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,87.72,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,96.4,17.7%,85.6%,82.4%,75.7%,80.5%
H3144,Local CCP,"PERSONALCARE INSURANCE OF ILLINOIS, INC.",PersonalCare,Coventry Health Care Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3152,Local CCP,"AETNA HEALTH, INC.",Aetna Medicare,Aetna Inc.,No data available,No data available,27.6,66.7%,Not enough data available to calculate measure,0.18,0,12%,82%,79%,90%,98.1,8.0%,82.7%,71.9%,76.0%,70.5%
H3154,Local CCP,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Blue Cross Blue Shield of New Jersey, Inc.",0:34,77.4,6.1,60.0%,89.02,0.40,80,6%,81%,81%,88%,98.1,8.6%,82.9%,75.1%,78.2%,73.3%
H3156,Local CCP,AMERIHEALTH HMO_INC,AmeriHealth 65,Independence Blue Cross,0:40,84.7,0.0,No appeals required review,87.32,0.36,80,12%,79%,77%,91%,99.9,15.4%,77.2%,77.8%,78.9%,77.6%
H3164,Local CCP,"AMERICHOICE OF NEW JERSEY, INC",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",1:06,No data available,3.0,No appeals required review,95.41,0.46,60,18%,73%,82%,86%,97.7,22.2%,88.2%,66.2%,66.3%,61.0%
H3204,Local CCP,PRESBYTERIAN HEALTH PLAN,Presbyterian Senior Care (HMO),Presbyterian Healthcare Services,0:50,88.1,0.0,No appeals required review,90.07,0.16,80,3%,84%,87%,93%,98.6,18.8%,83.3%,72.2%,75.1%,74.5%
H3206,Local CCP,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian MediCare PPO,Presbyterian Healthcare Services,0:50,88.1,0.0,No appeals required review,89.35,0.45,80,5%,74%,85%,91%,98.8,19.2%,83.2%,70.3%,69.6%,68.4%
H3209,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:00,No data available,0.0,No appeals required review,97.72,0.27,60,11%,76%,83%,89%,97.7,21.2%,86.3%,62.4%,66.6%,61.9%
H3240,Local CCP,"AMERIGROUP NEW JERSEY, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:32,61.6,0.0,Not enough data available to calculate measure,98.61,0.97,80,25%,78%,82%,No data available,98.0,17.1%,87.2%,60.9%,58.3%,49.4%
H3251,Local CCP,"LOVELACE HEALTH SYSTEM, INC.",Lovelace Medicare Plan,Ardent Health Services.,1:43,80.5,0.0,No appeals required review,91.28,0.13,80,3%,83%,87%,93%,95.7,19.3%,86.8%,71.1%,71.9%,70.3%
H3283,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3305,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",0:19,80.7,0.4,Not enough data available to calculate measure,96.80,0.14,80,2%,84%,84%,94%,97.9,16.0%,80.7%,79.6%,80.6%,76.2%
H3307,Local CCP,"OXFORD HEALTH PLANS (NY), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,75.0%,94.26,0.46,40,9%,85%,80%,88%,97.8,12.8%,84.6%,75.6%,73.6%,66.5%
H3312,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,No data available,No data available,25.7,Not enough data available to calculate measure,Not enough data available to calculate measure,0.25,0,8%,78%,80%,90%,97.4,7.4%,84.1%,73.0%,75.4%,69.1%
H3327,Local CCP,"TOUCHSTONE HEALTH HMO, INC.",Touchstone Health,"Touchstone Health Partnership, Inc",0:20,66.7,0.6,No appeals required review,95.92,1.62,40,21%,79%,77%,88%,97.7,13.4%,86.8%,71.2%,70.3%,64.9%
H3328,Local CCP,NEW YORK STATE CATHOLIC HLTH PLAN INC,Fidelis Care,"The New York State Catholic Health Plan, Inc.",0:32,91.0,2.6,No appeals required review,96.07,0.93,80,23%,73%,77%,89%,97.6,17.0%,86.5%,67.9%,69.4%,64.9%
H3330,Local CCP,HEALTH INSURANCE PLAN OF GREATER NEW YORK,EmblemHealth Medicare HMO,"EmblemHealth, Inc.",0:27,85.2,0.9,40.0%,95.61,0.39,13,6%,76%,86%,90%,97.8,12.9%,86.8%,73.3%,72.7%,65.8%
H3333,PFFS,AMERICAN PROGRESSIVE LIFE/HLTH INS.,Universal American Corp.,Universal American Corp.,No data available,No data available,5.2,Not enough data available to calculate measure,92.31,5.19,0,38%,77%,79%,89%,98.1,15.4%,82.7%,76.2%,76.9%,72.4%
H3335,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",0:22,89.3,0.4,Not enough data available to calculate measure,93.84,0.18,80,6%,90%,85%,93%,98.4,15.5%,83.7%,79.6%,80.4%,74.2%
H3337,Local CCP,"LIBERTY HEALTH ADVANTAGE, INC.",Liberty Health Advantage,"Liberty Health Advantage, Inc.",0:20,77.3,0.0,No appeals required review,84.62,0.63,80,41%,79%,81%,87%,98.1,11.1%,85.9%,62.9%,58.9%,54.1%
H3342,Local CCP,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Empire BlueCross BlueShield,"WellPoint, Inc.",0:57,69.1,17.3,57.1%,87.49,0.95,60,5%,83%,81%,89%,96.4,12.7%,84.0%,74.6%,76.2%,68.9%
H3344,Local CCP,INDEPENDENT HEALTH BENEFITS CORPORATION,Independent Health,"Independent Health Association, Inc.",0:11,88.2,0.0,Not enough data available to calculate measure,97.52,0.19,40,19%,88%,88%,94%,94.7,21.1%,82.9%,77.0%,78.2%,69.9%
H3346,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",0:19,80.7,4.4,Not enough data available to calculate measure,97.06,0.11,80,18%,86%,86%,93%,98.2,17.4%,80.3%,80.3%,84.0%,78.5%
H3347,Local CCP,"ELDERPLAN, INC.",Elderplan,"Elderplan, Inc.",0:13,80.5,0.8,No appeals required review,68.85,0.48,100,12%,82%,83%,88%,98.3,11.3%,86.7%,70.3%,68.3%,64.5%
H3351,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",0:22,89.3,0.2,Not enough data available to calculate measure,93.94,0.12,80,6%,90%,84%,95%,98.4,16.3%,81.8%,78.8%,79.3%,74.6%
H3356,1876 Cost,"EXCELLUS HEALTH PLAN, INC.",Excellus BlueCross BlueShield,"Lifetime Healthcare, Inc.",Not required to report,Not required to report,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,0.08,100,1%,No data available,87%,94%,Not enough data available to calculate measure,14.7%,77.3%,82.3%,77.0%,77.0%
H3359,Local CCP,"MANAGED HEALTH, INC.",Healthfirst Medicare Plan,"Healthfirst, Inc.",0:36,70.3,0.3,Not enough data available to calculate measure,96.35,0.21,80,10%,72%,83%,No data available,98.9,14.1%,90.7%,67.6%,63.9%,55.2%
H3361,Local CCP,"WELLCARE_OF NEW YORK, INC.",WellCare,"WellCare Health Plans, Inc.",0:18,86.1,0.0,No appeals required review,91.53,0.49,80,20%,No data available,82%,No data available,98.5,14.8%,89.2%,66.0%,63.1%,55.7%
H3362,Local CCP,"INDEPENDENT HEALTH ASSOCIATION, INC.",Independent Health,"Independent Health Association, Inc.",0:11,88.2,0.0,Not enough data available to calculate measure,98.15,0.11,40,2%,91%,88%,95%,94.1,18.6%,81.9%,78.7%,79.0%,71.1%
H3370,Local CCP,"EMPIRE HEALTHCHOICE HMO, INC.",Empire BlueCross BlueShield,"WellPoint, Inc.",0:57,69.1,11.2,42.9%,85.49,0.56,40,7%,86%,84%,91%,96.3,13.4%,82.3%,75.7%,75.3%,68.6%
H3379,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,No appeals required review,93.11,0.29,40,11%,76%,80%,90%,97.7,13.7%,72.0%,81.7%,78.1%,74.3%
H3384,Local CCP,HEALTHNOW NEW YORK INC,BlueCross BlueShield of WNY and BlueShield of NENY,HealthNow New York Inc.,0:19,69.7,0.7,Not enough data available to calculate measure,96.67,0.13,80,5%,79%,84%,94%,98.6,16.5%,81.7%,77.9%,79.5%,74.0%
H3387,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",1:06,No data available,0.0,Not enough data available to calculate measure,91.99,1.04,80,40%,No data available,76%,No data available,98.0,14.7%,90.2%,65.7%,58.3%,54.5%
H3388,Local CCP,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",0:34,87.1,0.0,Not enough data available to calculate measure,92.93,0.06,80,3%,87%,85%,94%,96.2,16.0%,82.7%,76.8%,81.2%,77.1%
H3404,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,0:19,83.5,0.0,Not enough data available to calculate measure,97.10,0.67,100,16%,82%,86%,92%,98.7,23.0%,83.5%,73.2%,76.8%,68.3%
H3405,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,0.0,Not enough data available to calculate measure,85.31,0.63,100,17%,88%,84%,92%,96.7,22.2%,85.3%,73.5%,72.4%,68.7%
H3410,PFFS,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,0:33,73.2,No data available,No appeals required review,95.59,0.25,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H3421,PFFS,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",America's 1st Choice Health Plans,"America's 1st Choice Health Plans, Inc.",0:13,92.9,No data available,Not enough data available to calculate measure,93.50,0.29,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H3449,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,0:19,83.5,1.7,25.0%,97.23,0.24,100,4%,90%,87%,93%,98.2,26.5%,82.1%,76.6%,76.7%,70.0%
H3456,Local CCP,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.7,Not enough data available to calculate measure,94.17,0.42,40,7%,86%,84%,92%,98.0,24.1%,83.4%,70.4%,68.3%,62.6%
H3528,Local CCP,"CONNECTICARE, INC.","ConnectiCare, Inc.","EmblemHealth, Inc.",0:27,81.0,5.3,Not enough data available to calculate measure,22.25,0.36,33,11%,83%,82%,91%,97.9,14.1%,84.5%,76.0%,79.0%,73.9%
H3533,Local CCP,"ARCADIAN HEALTH PLAN OF NEW YORK, INC.",Northeast Community Care,Arcadian Management Services Inc.,No data available,No data available,8.8,No appeals required review,94.51,0.23,0,15%,80%,78%,88%,98.1,15.7%,85.5%,72.9%,75.3%,69.4%
H3597,Local CCP,AETNA HEALTH,Aetna Medicare,Aetna Inc.,No data available,No data available,24.3,Not enough data available to calculate measure,Not enough data available to calculate measure,0.07,0,10%,84%,81%,92%,98.9,7.8%,76.8%,74.6%,75.6%,76.0%
H3619,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,0.9,Not enough data available to calculate measure,85.81,0.58,80,23%,87%,86%,91%,96.5,20.2%,82.7%,73.8%,75.7%,71.3%
H3620,Local CCP,MCKINLEY LIFE INSURANCE COMPANY,PrimeTime Health Plan,Aultman Health Foundation,0:37,79.8,Not enough data available to calculate measure,No appeals required review,96.67,0.06,80,Not enough data available to calculate measure,89%,85%,93%,95.1,23.7%,80.7%,80.0%,76.2%,71.4%
H3623,Local CCP,"AETNA HEALTH,  INC.",Aetna Medicare,Aetna Inc.,No data available,No data available,30.5,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00,0,11%,81%,81%,89%,98.0,10.4%,83.5%,66.5%,68.4%,65.4%
H3653,Local CCP,"PARAMOUNT CARE, INC",Paramount Elite,Promedica Health System,0:36,68.2,0.0,Not enough data available to calculate measure,86.60,0.09,80,3%,81%,82%,92%,99.4,21.5%,75.4%,70.1%,73.8%,66.7%
H3655,Local CCP,COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,5.0,60.0%,85.51,0.25,60,5%,82%,84%,93%,96.3,19.6%,78.8%,71.7%,72.4%,68.7%
H3659,Local CCP,"UNITEDHEALTHCARE OF OHIO, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.7,Not enough data available to calculate measure,96.21,0.32,40,8%,82%,84%,92%,98.1,21.0%,81.2%,70.3%,69.8%,66.5%
H3660,Local CCP,SUMMACARE INC.,SummaCare Secure,Summa Health System,0:22,89.0,0.4,Not enough data available to calculate measure,87.52,0.14,100,6%,89%,85%,93%,98.9,22.0%,82.8%,76.2%,79.1%,74.0%
H3664,Local CCP,MCKINLEY LIFE INSURANCE COMPANY,PrimeTime Health Plan,Aultman Health Foundation,0:37,79.8,0.0,No appeals required review,95.84,0.09,80,2%,81%,85%,93%,95.3,23.8%,81.6%,73.3%,76.2%,69.7%
H3668,Local CCP,"MT. CARMEL HEALTH PLAN, INC.",MediGold,Trinity Health,0:34,86.8,0.4,Not enough data available to calculate measure,96.99,0.14,100,4%,87%,88%,94%,97.8,23.7%,82.5%,70.7%,74.8%,72.2%
H3672,Local CCP,HOMETOWN HEALTH PLAN,The Health Plan,Health Plan of the Upper Ohio Valley,0:19,90.6,0.0,No appeals required review,97.70,0.07,100,11%,86%,86%,93%,98.0,20.6%,80.8%,74.8%,74.7%,70.7%
H3706,Local CCP,"TODAYS OPTIONS OF OKLAHOMA, INC.",Universal American Corp.,Universal American Corp.,No data available,No data available,1.4,No appeals required review,92.66,0.67,0,19%,80%,85%,92%,97.9,28.5%,83.3%,70.1%,66.6%,68.3%
H3708,Local CCP,"SELECTCARE OF OKLAHOMA, INC.",Universal American Corp.,Universal American Corp.,No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,0,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,49.8%,72.0%,100.0%,81.6%,84.8%
H3749,Local CCP,"UNITEDHEALTHCARE OF OKLAHOMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.5,Not enough data available to calculate measure,96.48,0.37,40,6%,83%,85%,93%,98.3,27.4%,84.5%,70.4%,70.7%,68.5%
H3755,Local CCP,"COMMUNITY CARE HMO, INC",CommunityCare Senior Health Plan (HMO),"CommunityCare Managed Healthcare Plans of OK, Inc.",0:28,86.0,0.0,No appeals required review,85.38,0.19,80,3%,88%,86%,94%,98.8,28.0%,85.7%,70.3%,71.2%,67.2%
H3805,Local CCP,"UNITEDHEALTHCARE OF OREGON, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:59,76.8,0.0,Not enough data available to calculate measure,92.97,0.34,40,9%,86%,87%,95%,98.1,16.7%,82.5%,79.2%,77.3%,76.5%
H3810,Local CCP,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,CareSource,Mid Rogue Community Health Plan,0:19,85.1,0.0,Not enough data available to calculate measure,86.13,0.00,80,8%,89%,86%,93%,97.8,21.7%,83.8%,80.1%,75.7%,75.2%
H3811,Local CCP,"SAMARITAN HEALTH PLANS, INC.",Samaritan Advantage Health Plan,Samaritan Health Services,0:27,84.6,14.3,Not enough data available to calculate measure,81.73,0.19,100,5%,89%,81%,92%,96.8,17.4%,87.2%,77.9%,78.7%,78.5%
H3812,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:59,76.8,1.2,Not enough data available to calculate measure,95.94,0.64,60,8%,85%,83%,93%,98.5,15.0%,85.6%,73.8%,73.2%,71.8%
H3813,Local CCP,"ODS HEALTH PLAN, INC.","ODS Health Plan, Inc.","Health Services Group, Inc.",0:19,85.4,7.7,No appeals required review,83.33,0.11,80,3%,83%,85%,94%,96.5,17.7%,89.9%,81.7%,84.3%,79.6%
H3814,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0:46,No data available,0.0,No appeals required review,87.17,0.08,80,1%,No data available,89%,94%,97.6,22.1%,81.5%,73.4%,74.7%,72.2%
H3815,Local CCP,CITIZENS CHOICE HEALTHPLAN,Citizens Choice Healthplan,Honored Citizens Choice Health Plan,0:39,7.0,0.0,Not enough data available to calculate measure,94.00,0.18,80,19%,85%,87%,88%,98.0,19.8%,90.1%,66.3%,64.4%,59.9%
H3817,Local CCP,REGENCE BLUECROSS BLUESHIELD OF OR,Regence BlueCross BlueShield of Oregon,The Regence Group,0:56,85.1,3.7,66.7%,97.28,0.15,60,5%,87%,83%,92%,96.0,20.7%,83.5%,80.0%,78.2%,77.0%
H3818,Local CCP,"FAMILYCARE HEALTH PLANS, INC.","FamilyCare Health Plans, Inc.",FamilyCare Incorporated,0:44,69.5,0.0,Not enough data available to calculate measure,88.77,0.17,60,24%,77%,81%,88%,95.4,18.9%,83.4%,76.0%,75.1%,76.2%
H3832,Local CCP,HAWAII MEDICAL SERVICE ASSOCIATION,Akamai Advantage by HMSA,Hawaii Medical Service Association,0:28,22.6,No data available,No appeals required review,65.83,0.41,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H3864,Local CCP,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Medicare,PacificSource Health Plans,0:24,85.3,1.6,Not enough data available to calculate measure,23.92,0.16,80,5%,81%,84%,93%,96.6,21.6%,85.0%,74.6%,76.5%,77.9%
H3887,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.0,Not enough data available to calculate measure,95.58,1.33,40,13%,84%,84%,90%,98.5,12.8%,83.4%,67.3%,64.7%,59.5%
H3907,Local CCP,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,UPMC Health Plan,University of Pittsburgh Medical Center,0:36,92.9,0.3,Not enough data available to calculate measure,97.41,0.09,80,5%,88%,83%,92%,98.3,16.7%,80.2%,75.2%,75.7%,72.2%
H3909,Local CCP,QCC INSURANCE COMPANY,Personal Choice 65,Independence Blue Cross,0:40,84.7,3.6,No appeals required review,87.50,0.44,80,5%,76%,80%,92%,99.1,15.5%,79.4%,79.3%,80.0%,75.3%
H3912,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,0.0,No appeals required review,90.97,0.34,60,4%,No data available,85%,92%,97.8,19.1%,75.8%,78.5%,74.5%,71.6%
H3916,Local CCP,"HIGHMARK, INC.",Highmark Inc.,Highmark Inc.,0:19,85.8,1.9,51.6%,95.24,0.18,46,4%,80%,85%,84%,98.2,15.7%,80.7%,77.5%,78.2%,74.0%
H3920,Local CCP,"UNITEDHEALTHCARE OF PENNSYLVANIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,85.0,0.0,Not enough data available to calculate measure,66.44,0.45,60,10%,77%,82%,90%,97.8,19.9%,83.2%,71.0%,69.7%,67.9%
H3921,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,Not enough data available to calculate measure,95.74,1.27,60,16%,82%,83%,92%,98.1,11.7%,77.1%,75.4%,75.0%,68.5%
H3923,Local CCP,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital Advantage Insurance Company,Capital BlueCross,0:34,91.8,1.1,Not enough data available to calculate measure,97.53,0.37,80,4%,81%,84%,91%,98.4,16.7%,81.3%,82.2%,81.0%,76.0%
H3924,Local CCP,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Gold,Geisinger Health System,0:22,86.5,0.0,No appeals required review,76.85,0.42,60,14%,87%,83%,92%,Not enough data available to calculate measure,12.7%,80.1%,77.6%,78.0%,72.2%
H3931,Local CCP,AETNA HEALTH INC,Aetna Medicare,Aetna Inc.,No data available,No data available,25.2,71.4%,Not enough data available to calculate measure,0.29,0,10%,82%,78%,90%,97.8,8.1%,82.4%,75.0%,76.4%,72.2%
H3949,Local CCP,BRAVO HEALTH PENNSYLVANIA INC.,Bravo Health,"HealthSpring, Inc.",0:19,83.2,8.5,Not enough data available to calculate measure,87.08,0.53,39,5%,82%,83%,89%,98.6,15.4%,83.3%,69.7%,67.2%,62.4%
H3952,Local CCP,"KEYSTONE HEALTH PLAN EAST, INC.",Keystone 65,Independence Blue Cross,0:40,84.7,0.7,50.0%,85.12,0.49,80,7%,84%,81%,92%,100.4,16.0%,80.3%,76.5%,78.1%,73.3%
H3954,Local CCP,GEISINGER HEALTH PLAN,Geisinger Gold,Geisinger Health System,0:22,86.5,0.0,Not enough data available to calculate measure,78.41,0.08,60,3%,92%,88%,94%,Not enough data available to calculate measure,14.0%,77.2%,81.6%,80.9%,76.4%
H3957,Local CCP,"KEYSTONE HEALTH PLAN WEST, INC.","Keystone Health Plan West, Inc.",Highmark Inc.,0:19,85.8,1.2,69.2%,94.32,0.07,26,5%,No data available,85%,93%,98.2,16.2%,78.3%,75.7%,76.7%,72.8%
H3959,Local CCP,"HEALTHAMERICA PENNSYLVANIA, INC.",HealthAmerica,Coventry Health Care Inc.,0:19,84.9,0.3,Not enough data available to calculate measure,92.11,0.18,40,12%,85%,84%,93%,98.7,13.9%,76.0%,72.8%,73.6%,73.5%
H3962,Local CCP,"KEYSTONE HEALTH PLAN CENTRAL,INC.","Keystone Health Plan Central, Inc.",Capital BlueCross,0:34,91.8,1.3,Not enough data available to calculate measure,96.16,0.26,80,7%,86%,84%,92%,98.3,17.9%,78.6%,83.2%,80.1%,77.5%
H3964,Local CCP,"BRAVO HEALTH PENNSYLVANIA, INC.",Bravo Health,"HealthSpring, Inc.",0:19,83.2,8.6,Not enough data available to calculate measure,86.47,0.24,39,5%,76%,83%,88%,98.4,21.6%,86.5%,67.4%,63.9%,59.8%
H4003,Local CCP,"MMM HEALTHCARE, INC.",Medicare y Mucho Más,"Aveta, LLC.",0:37,47.8,6.3,34.2%,91.22,0.20,60,14%,78%,90%,86%,94.0,31.6%,88.2%,57.4%,56.8%,39.0%
H4004,Local CCP,"PREFERRED MEDICARE CHOICE, INC.","Preferred Medicare Choice, Inc.","Aveta, LLC.",0:37,50.7,2.6,11.1%,86.81,0.09,60,17%,78%,92%,89%,94.6,38.4%,87.8%,60.0%,59.5%,39.9%
H4005,Local CCP,"TRIPLE-S SALUD,  INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,1:42,59.0,0.3,No appeals required review,63.02,0.49,60,16%,78%,81%,87%,98.6,28.6%,86.3%,59.1%,61.6%,39.3%
H4006,Local CCP,MCS ADVANTAGE INC.,MCS Classicare,"Medical Card System, Inc.",0:33,79.5,2.4,66.7%,90.02,0.32,60,19%,79%,80%,84%,97.1,32.8%,88.0%,53.2%,55.4%,35.1%
H4007,Local CCP,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.","HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,0:34,84.8,0.0,No appeals required review,50.11,0.57,80,28%,No data available,91%,88%,94.4,31.1%,88.9%,57.3%,58.4%,42.8%
H4011,Local CCP,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",1:50,45.6,0.0,Not enough data available to calculate measure,96.14,0.28,40,5%,83%,90%,88%,100.2,32.4%,90.9%,57.2%,58.2%,30.7%
H4012,Local CCP,"TRIPLE-S SALUD, INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,1:42,59.0,0.0,Not enough data available to calculate measure,46.29,0.39,60,39%,71%,90%,87%,98.9,35.4%,88.6%,61.3%,61.6%,41.0%
H4036,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,8.2,No appeals required review,82.19,0.90,60,7%,77%,84%,91%,96.8,13.7%,85.2%,76.1%,77.9%,73.6%
H4102,Local CCP,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,Not enough data available to calculate measure,95.14,0.26,40,5%,83%,83%,93%,98.1,13.8%,81.8%,77.6%,78.1%,70.3%
