contractid,contract_name,breastcancer_screen,rectalcancer_screen,cv_cholscreen,diabetes_cholscreen,glaucoma_test,monitoring,flu_vaccine,pn_vaccine,primaryaccess,hospital_followup,depression_followup,nodelays,carequickly,overallrating_care,overallrating_plan,calltime,doctor_communicate,osteo_manage,diabetes_eye,diabetes_kidney,diabetes_bloodsugar,diabetes_chol,antidepressant,bloodpressure,ra_manage,copd_test,betablocker,appeals_timely,appeals_review,new_contract,year,org_type,org_marketing,physical_health,mental_health,osteo_test,physical_monitor,customer_service,bladder,falling,partc_score,cv_diab_cholscreen,diab_healthy,complaints_plan,leave_plan,audit_problems,hold_times,info_accuracy,ttyt_available,diab_cholscreen,corrective_action,low_score,partcd_score,org_parent,bmi_assess,older_medication,older_function,older_pain,readmissions,access_problems,coordination,improve,enroll_timely,specialneeds_manage
H5746,,2.0,2.0,2.0,,3.0,,3.0,3.0,4.0,,,2.0,1.0,2.0,1.0,,,,4.0,3.0,2.0,2.0,,4.0,,,,5.0,4.0,0.0,2012,Local CCP,Amerigroup Community Care of New Mexico,,,,3.0,1.0,2.0,4.0,2.5,,,2.0,3.0,,,,3.0,2.0,,0.0,2.5,AMERIGROUP Corporation,1.0,3.0,1.0,2.0,3.0,5.0,,,,
H5749,,2.0,1.0,5.0,,3.0,,4.0,4.0,4.0,,,4.0,4.0,4.0,2.0,,,,3.0,5.0,3.0,3.0,,3.0,,,,,,0.0,2012,Local CCP,UnitedHealthcare,,,,2.0,2.0,2.0,4.0,3.0,,,2.0,3.0,,,,4.0,4.0,,0.0,3.0,"UnitedHealth Group, Inc.",2.0,,,,4.0,2.0,,,,
H5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,Cornerstone Solutions,,,,,,,,,,,,,,,,,,,0.0,,Metropolitan Health Plan,,5.0,2.0,3.0,,4.0,,,,
H5774,,2.0,2.0,3.0,,1.0,,1.0,1.0,5.0,,,4.0,2.0,5.0,5.0,,,1.0,1.0,2.0,2.0,2.0,,3.0,1.0,,,4.0,2.0,0.0,2012,Local CCP,American Health Medicare,3.0,1.0,,1.0,4.0,3.0,4.0,2.5,,,4.0,1.0,,,,3.0,3.0,,1.0,2.5,Triple-S Management Corporation,3.0,4.0,4.0,4.0,4.0,4.0,,,,
H5782,,3.0,3.0,4.0,,3.0,,3.0,2.0,4.0,,,2.0,3.0,4.0,5.0,,,3.0,4.0,5.0,3.0,4.0,,4.0,4.0,,,,,0.0,2012,Local CCP,Partnership HealthPlan of California,4.0,2.0,,3.0,4.0,2.0,5.0,4.0,,,5.0,5.0,,,,,4.0,,0.0,4.0,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,4.0,4.0,3.0,3.0,3.0,4.0,,,,
H5783,,3.0,2.0,4.0,,1.0,,3.0,2.0,4.0,,,4.0,3.0,4.0,4.0,,,1.0,2.0,5.0,3.0,3.0,,2.0,3.0,,,,,0.0,2012,Local CCP,Southeast Community Care,4.0,4.0,,1.0,4.0,2.0,4.0,3.0,,,3.0,2.0,,,,,4.0,,0.0,2.5,Arcadian Management Services Inc.,1.0,3.0,1.0,2.0,3.0,1.0,,,,
H5793,,4.0,4.0,5.0,,4.0,,3.0,3.0,5.0,,,4.0,4.0,4.0,2.0,,,,5.0,4.0,4.0,4.0,,4.0,4.0,,,5.0,3.0,0.0,2012,Local CCP,Aetna Medicare,,,,3.0,4.0,3.0,2.0,3.5,,,2.0,1.0,,,,,5.0,,0.0,3.5,Aetna Inc.,2.0,,,,3.0,1.0,,,,
H5810,,1.0,1.0,4.0,,1.0,,1.0,1.0,2.0,,,,1.0,2.0,2.0,,,,2.0,4.0,2.0,2.0,,3.0,,,,,,0.0,2012,Local CCP,Molina Healthcare of California,,,,2.0,1.0,,3.0,2.0,,,3.0,1.0,,,,4.0,1.0,,1.0,2.5,"Molina Healthcare, Inc.,",2.0,2.0,1.0,1.0,4.0,3.0,,,,
H5811,,3.0,3.0,5.0,,3.0,,2.0,3.0,4.0,,,4.0,3.0,2.0,4.0,,,,3.0,5.0,4.0,4.0,,4.0,4.0,,,,,0.0,2012,Local CCP,SCAN Health Plan,4.0,2.0,,1.0,3.0,2.0,3.0,3.5,,,3.0,2.0,,,,3.0,5.0,,0.0,3.5,SCAN Health Plan,4.0,4.0,3.0,3.0,3.0,3.0,,,,
H5813,,3.0,4.0,4.0,,4.0,,3.0,3.0,5.0,,,4.0,4.0,2.0,1.0,,,,4.0,5.0,3.0,4.0,,5.0,,,,,,0.0,2012,Local CCP,Aetna Medicare,,,,1.0,4.0,2.0,4.0,3.5,,,4.0,3.0,,,,,4.0,,0.0,3.0,Aetna Inc.,3.0,,,,4.0,1.0,,,,
H5817,,2.0,1.0,4.0,,3.0,,3.0,1.0,4.0,,,,1.0,4.0,4.0,,,2.0,3.0,4.0,3.0,2.0,,3.0,1.0,,,5.0,3.0,0.0,2012,Local CCP,Amerigroup Community Care,5.0,1.0,,2.0,4.0,2.0,4.0,3.0,,,2.0,3.0,,,,3.0,4.0,,0.0,2.5,AMERIGROUP Corporation,1.0,2.0,1.0,1.0,3.0,4.0,,,,
H5820,,2.0,,2.0,,1.0,,2.0,4.0,4.0,,,4.0,3.0,3.0,3.0,,,2.0,1.0,,,,,,1.0,,,5.0,3.0,0.0,2012,PFFS,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.",,,,1.0,4.0,2.0,2.0,2.5,,,1.0,1.0,,,,1.0,2.0,,0.0,2.5,"Universal Health Care Group, Inc.",,,,,3.0,3.0,,,,
H5821,,3.0,3.0,4.0,,3.0,,1.0,1.0,4.0,,,4.0,1.0,4.0,4.0,,,1.0,2.0,3.0,1.0,2.0,,3.0,1.0,,,,,0.0,2012,Local CCP,MAPFRE LIFE INSURANCE COMPANY,4.0,3.0,,3.0,4.0,1.0,4.0,2.5,,,1.0,1.0,,,,2.0,4.0,,0.0,2.5,MAPFRE PRAICO CORPORATION,1.0,,,,3.0,4.0,,,,
H5823,,2.0,4.0,3.0,,3.0,,2.0,3.0,4.0,,,2.0,4.0,2.0,1.0,,,,4.0,5.0,3.0,3.0,,4.0,,,,,,0.0,2012,Local CCP,"Molina Healthcare of Washington, Inc.",,,,2.0,1.0,1.0,4.0,3.0,,,3.0,4.0,,,,4.0,3.0,,0.0,3.0,"Molina Healthcare, Inc.,",4.0,4.0,3.0,3.0,4.0,3.0,,,,
H5826,,2.0,3.0,4.0,,2.0,,3.0,2.0,4.0,,,2.0,2.0,2.0,4.0,,,,4.0,5.0,3.0,3.0,,3.0,3.0,,,2.0,3.0,0.0,2012,Local CCP,Community HealthFirst Medicare Advantage Plan,4.0,1.0,,2.0,4.0,2.0,2.0,3.0,,,1.0,4.0,,,,1.0,3.0,,0.0,3.0,Community Health Plan of Washington,4.0,5.0,3.0,4.0,3.0,4.0,,,,
H5832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,Aetna Medicare,,,,,,,,,,,,,,,,,,,0.0,,Aetna Inc.,,,,,,1.0,,,,
H5850,,4.0,3.0,5.0,,3.0,,1.0,1.0,4.0,,,2.0,2.0,4.0,3.0,,,2.0,2.0,4.0,3.0,3.0,,2.0,2.0,,,3.0,1.0,0.0,2012,Local CCP,Coventry Summit Health Plan,4.0,2.0,,2.0,3.0,3.0,4.0,3.0,,,3.0,1.0,,,,4.0,5.0,,0.0,3.0,Coventry Health Care Inc.,3.0,,,,4.0,1.0,,,,
H5852,,,,,,,,5.0,5.0,,,,3.0,5.0,4.0,5.0,,,,,,,,,,,,,,,0.0,2012,Local CCP,Positive Healthcare Partners,,,,,4.0,,,,,,,,,,,,,,0.0,,AIDS Healthcare Foundation,,5.0,4.0,5.0,,4.0,,,,
H5854,,4.0,5.0,4.0,,3.0,,3.0,3.0,4.0,,,4.0,4.0,4.0,4.0,,,,5.0,5.0,5.0,4.0,,4.0,,,,3.0,2.0,0.0,2012,Local CCP,Anthem Blue Cross and Blue Shield,5.0,3.0,,3.0,4.0,2.0,2.0,3.5,,,1.0,2.0,,,,3.0,5.0,,0.0,3.5,"WellPoint, Inc.",3.0,,,,3.0,3.0,,,,
H5859,,2.0,2.0,2.0,,2.0,,3.0,3.0,4.0,,,2.0,4.0,2.0,3.0,,,2.0,3.0,4.0,3.0,3.0,,3.0,5.0,,,5.0,4.0,0.0,2012,Local CCP,CareOregon Advantage,5.0,2.0,,2.0,1.0,1.0,4.0,3.5,,,5.0,5.0,,,,5.0,3.0,,0.0,3.5,"CareOregon, Inc.",3.0,4.0,4.0,4.0,3.0,4.0,,,,
H5868,,3.0,2.0,4.0,,4.0,,4.0,4.0,4.0,,,4.0,5.0,4.0,2.0,,,,5.0,5.0,2.0,2.0,,3.0,4.0,,,5.0,5.0,0.0,2012,Local CCP,Humana Insurance Company,,,,1.0,2.0,1.0,2.0,3.5,,,2.0,4.0,,,,4.0,4.0,,0.0,3.5,Humana Inc.,4.0,,,,4.0,5.0,,,,
H5883,,5.0,5.0,4.0,,3.0,,4.0,5.0,5.0,,,4.0,4.0,4.0,2.0,,,2.0,5.0,5.0,4.0,4.0,,4.0,4.0,,,3.0,2.0,0.0,2012,Local CCP,Blue Care Network,5.0,2.0,,3.0,3.0,2.0,2.0,3.5,,,3.0,5.0,,,,3.0,5.0,,0.0,4.0,Blue Cross Blue Shield of Michigan,3.0,,,,4.0,2.0,,,,
H5884,,3.0,3.0,4.0,,4.0,,3.0,4.0,5.0,,,4.0,4.0,4.0,4.0,,,2.0,3.0,3.0,1.0,1.0,,,4.0,,,3.0,2.0,0.0,2012,PFFS,BlueCross BlueShield of Tennessee,4.0,1.0,,2.0,4.0,2.0,2.0,3.0,,,1.0,4.0,,,,3.0,4.0,,0.0,3.0,BlueCross BlueShield of Tennessee,1.0,,,,3.0,5.0,,,,
H5887,,3.0,2.0,5.0,,3.0,,1.0,1.0,4.0,,,2.0,1.0,5.0,4.0,,,,2.0,3.0,,,,,,,,5.0,2.0,0.0,2012,Local CCP,"First Medical Health Plan, Inc.",,,,1.0,4.0,2.0,4.0,2.0,,,2.0,1.0,,,,2.0,4.0,,0.0,2.0,"First Medical Health Plan, Inc.",,,,,,2.0,,,,
H5896,,2.0,2.0,2.0,,3.0,,1.0,1.0,4.0,,,2.0,1.0,2.0,2.0,,,,3.0,5.0,2.0,3.0,,3.0,,,,5.0,3.0,0.0,2012,Local CCP,Amerigroup Community Care,,,,2.0,3.0,1.0,4.0,2.5,,,1.0,5.0,,,,,2.0,,0.0,2.5,AMERIGROUP Corporation,1.0,2.0,1.0,1.0,4.0,5.0,,,,
H5926,,3.0,3.0,4.0,,2.0,,1.0,1.0,4.0,,,3.0,2.0,2.0,3.0,,,,3.0,5.0,3.0,3.0,,3.0,2.0,,,,,0.0,2012,Local CCP,Molina Healthcare of Michigan,4.0,1.0,,2.0,4.0,1.0,4.0,3.0,,,4.0,3.0,,,,4.0,4.0,,0.0,3.0,"Molina Healthcare, Inc.,",4.0,3.0,2.0,2.0,3.0,3.0,,,,
H5928,,4.0,3.0,5.0,,1.0,,3.0,2.0,4.0,,,2.0,3.0,2.0,3.0,,,3.0,4.0,5.0,3.0,4.0,,4.0,2.0,,,4.0,3.0,0.0,2012,Local CCP,Care1st Medicare Advantage Plan,5.0,1.0,,2.0,4.0,2.0,4.0,3.5,,,3.0,1.0,,,,4.0,5.0,,0.0,3.0,Care1st Health Plan,3.0,2.0,4.0,4.0,4.0,5.0,,,,
H5932,,2.0,3.0,4.0,,3.0,,3.0,2.0,4.0,,,4.0,4.0,4.0,4.0,,,2.0,4.0,4.0,3.0,3.0,,4.0,2.0,,,4.0,2.0,0.0,2012,Local CCP,Gateway Health Plan Medicare Assured,4.0,3.0,,1.0,5.0,2.0,4.0,3.5,,,5.0,5.0,,,,,4.0,,0.0,3.5,Gateway Health Plan,3.0,4.0,2.0,3.0,3.0,4.0,,,,
H5938,,5.0,5.0,5.0,,5.0,,5.0,5.0,5.0,,,5.0,4.0,5.0,5.0,,,3.0,5.0,5.0,5.0,5.0,,4.0,5.0,,,5.0,2.0,0.0,2012,Local CCP,Capital Health Plan,5.0,2.0,,3.0,5.0,3.0,4.0,5.0,,,5.0,5.0,,,,5.0,5.0,,0.0,4.0,Blue Cross and Blue Shield of Florida,5.0,,,,4.0,5.0,,,,
H5943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,VillageHealth,,,,,,,,,,,,,,,,,,,0.0,,SCAN Health Plan,,5.0,5.0,1.0,,4.0,,,,
H5950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,Aetna Medicare,,,,,,,,,,,,,,,,,,,0.0,,Aetna Inc.,,,,,,1.0,,,,
H5969,,3.0,2.0,2.0,,3.0,,4.0,2.0,4.0,,,2.0,1.0,2.0,5.0,,,,3.0,4.0,3.0,2.0,,2.0,,,,,,0.0,2012,Local CCP,AlohaCare,4.0,2.0,,3.0,4.0,1.0,4.0,3.0,,,4.0,2.0,,,,4.0,4.0,,0.0,3.0,AlohaCare,2.0,3.0,1.0,1.0,3.0,5.0,,,,
H5970,,,,,,,,2.0,3.0,,,,3.0,4.0,4.0,2.0,,,,,,,,,,,,,,,0.0,2012,Local CCP,Humana Insurance Company of New York,,,,,3.0,,,,,,1.0,,,,,4.0,,,0.0,,Humana Inc.,,,,,,5.0,,,,
H5980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,"Fidelis SecureCare of Texas, Inc.",,,,,,,,,,,,,,,,,,,0.0,,Fidelis SecureCare,,5.0,5.0,5.0,,5.0,,,,
H5985,,2.0,2.0,3.0,,2.0,,1.0,1.0,4.0,,,2.0,2.0,3.0,4.0,,,,4.0,5.0,3.0,2.0,,3.0,2.0,,,4.0,2.0,0.0,2012,Local CCP,Abrazo Advantage Health Plan,5.0,1.0,,1.0,4.0,2.0,4.0,3.0,,,5.0,3.0,,,,4.0,4.0,,0.0,3.0,Vanguard Health Systems,3.0,2.0,2.0,2.0,4.0,4.0,,,,
H5989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,Comprehensive Care Management Corp.,,,,,,,,,,,,,,,,4.0,,,0.0,,Bethco Corporation,,5.0,5.0,5.0,,4.0,,,,
H5991,,5.0,5.0,4.0,,3.0,,1.0,1.0,4.0,,,2.0,1.0,2.0,3.0,,,,4.0,5.0,3.0,3.0,,5.0,,,,,,0.0,2012,Local CCP,Affinity Health Plan,,,,3.0,4.0,,4.0,3.5,,,4.0,2.0,,,,,4.0,,0.0,3.5,Affinity Health Plan,5.0,5.0,2.0,4.0,3.0,4.0,,,,
H5992,,,,,,,,5.0,4.0,,,,4.0,4.0,4.0,5.0,,,,,,,,,,,,,,,0.0,2012,Local CCP,Senior Whole Health of New York,,,,3.0,5.0,1.0,5.0,,,,,,,,,,,,0.0,,"Senior Whole Health, LLC",,5.0,5.0,4.0,,4.0,,,,
H5995,,3.0,2.0,3.0,,3.0,,4.0,3.0,4.0,,,4.0,4.0,2.0,2.0,,,1.0,4.0,3.0,2.0,2.0,,2.0,5.0,,,5.0,2.0,0.0,2012,Local CCP,"Marion Polk Community Health Plan Advantage, Inc.",4.0,1.0,,1.0,,2.0,4.0,2.5,,,5.0,5.0,,,,,2.0,,0.0,3.0,"Marion Polk Community Health Plan, LLC",1.0,1.0,1.0,1.0,,4.0,,,,
H6050,,,,,,,,5.0,5.0,,,,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,0.0,2012,1876 Cost,Kaiser Permanente Medicare Cost,,,,,4.0,,,,,,3.0,,,,,,,,0.0,,"Kaiser Foundation Health Plan, Inc.",,,,,,5.0,,,,
H6052,,5.0,5.0,,,3.0,,5.0,5.0,4.0,,,4.0,5.0,4.0,5.0,,,5.0,5.0,5.0,4.0,4.0,,5.0,,,,,,0.0,2012,1876 Cost,Kaiser Permanente Medicare Cost,,,,,4.0,,,5.0,,,5.0,,,,,,4.0,,0.0,,"Kaiser Foundation Health Plan, Inc.",5.0,,,,3.0,5.0,,,,
H6169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2012,PFFS,Universal American Corp.,,,,,,,,,,,1.0,,,,,,,,0.0,,Universal American Corp.,,,,,,1.0,,,,
H6178,,,,,,,,2.0,2.0,,,,,2.0,,4.0,,,,,,,,,,,,,,,0.0,2012,Local CCP,CareSource,,,,1.0,3.0,,,,,,2.0,2.0,,,,,,,0.0,,CareSource,,3.0,2.0,2.0,,4.0,,,,
H6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,0.0,2012,Local CCP,Amerigroup Community Care,,,,3.0,,,,,,,3.0,1.0,,,,3.0,,,0.0,,AMERIGROUP Corporation,,2.0,1.0,1.0,,4.0,,,,
H6264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,Health Plus Elite,,,,1.0,,,,,,,1.0,1.0,,,,2.0,,,0.0,,Lutheran Medical Center,,5.0,2.0,4.0,,4.0,,,,
H6328,,4.0,2.0,,,5.0,,4.0,5.0,5.0,,,4.0,4.0,5.0,5.0,,,,3.0,5.0,3.0,3.0,,,,,,,,0.0,2012,Local CCP,Care N' Care Health Plan,,,,3.0,5.0,2.0,2.0,3.5,,,2.0,4.0,,,,3.0,5.0,,0.0,3.5,North Texas Specialty Physicians,1.0,,,,4.0,5.0,,,,
H6360,,5.0,5.0,5.0,,4.0,,4.0,5.0,4.0,,,3.0,5.0,4.0,4.0,,,3.0,5.0,5.0,5.0,5.0,,5.0,5.0,,,5.0,5.0,0.0,2012,1876 Cost,Kaiser Permanente Medicare Plus,5.0,2.0,,2.0,4.0,1.0,4.0,4.5,,,4.0,5.0,,,,,5.0,,0.0,4.5,"Kaiser Foundation Health Plan, Inc.",5.0,,,,5.0,4.0,,,,
H6411,,2.0,1.0,3.0,,3.0,,3.0,2.0,4.0,,,2.0,1.0,4.0,3.0,,,,2.0,5.0,1.0,2.0,,2.0,2.0,,,,,0.0,2012,Local CCP,Humana Insurance Company,,,,1.0,2.0,2.0,2.0,2.5,,,2.0,2.0,,,,4.0,3.0,,0.0,3.0,Humana Inc.,3.0,,,,4.0,4.0,,,,
H6528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,Care Improvement Plus,,,,,,,,,,,1.0,,,,,4.0,,,0.0,,XLHealth Corporation,,,,,,4.0,,,,
H6609,,,1.0,,,2.0,,4.0,4.0,4.0,,,4.0,5.0,4.0,2.0,,,,3.0,5.0,2.0,2.0,,2.0,5.0,,,5.0,4.0,0.0,2012,Local CCP,Humana Insurance Company,,,,,1.0,,,3.5,,,3.0,3.0,,,,4.0,3.0,,0.0,3.5,Humana Inc.,3.0,,,,4.0,5.0,,,,
H6622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2012,Local CCP,Humana WisconsinHealth Organization Insurance Corp,,,,,,,,,,,2.0,,,,,4.0,,,0.0,,Humana Inc.,,,,,,,,,,
H6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,"Universal HMO of Texas, Inc.",,,,,,,,,,,1.0,,,,,1.0,,,0.0,,"Universal Health Care Group, Inc.",,,,,,4.0,,,,
H6705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2012,Local CCP,"Universal Health Care of Nevada, Inc.",,,,,,,,,,,,,,,,1.0,,,0.0,,"Universal Health Care Group, Inc.",,,,,,,,,,
H6743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2012,Local CCP,ATRIO Health Plans,,,,,,,,,,,4.0,,,,,2.0,,,0.0,,ATRIO Health Plans,,,,,,,,,,
H6801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2012,Local CCP,Lovelace Medicare Plan,,,,,,,,,,,,,,,,,,,0.0,,Ardent Health Services.,,,,,,,,,,
H6815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2012,Local CCP,Health Net Medicare Advantage,,,,,,,,,,,,,,,,,,,0.0,,"Health Net, Inc.",,,,,,1.0,,,,
H6864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,GuildNet,,,,,,,,,,,,,,,,,,,0.0,,Jewish Guild for the Blind,,4.0,4.0,1.0,,4.0,,,,
H6881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2012,Local CCP,America's 1st Choice Insurance Company of NC,,,,,,,,,,,,,,,,5.0,,,0.0,,"America?s 1st Choice Insurance Company of NC, Inc.",,,,,,,,,,
H6900,,3.0,2.0,1.0,,3.0,,3.0,2.0,4.0,,,2.0,4.0,4.0,1.0,,,,4.0,2.0,2.0,2.0,,2.0,,,,5.0,3.0,0.0,2012,Local CCP,Humana Insurance Company,,,,1.0,3.0,2.0,2.0,2.5,,,1.0,1.0,,,,4.0,3.0,,0.0,3.0,Humana Inc.,2.0,,,,4.0,4.0,,,,
H6923,,3.0,3.0,,,3.0,,3.0,4.0,4.0,,,4.0,4.0,4.0,1.0,,,,4.0,4.0,4.0,4.0,,5.0,,,,,,0.0,2012,Local CCP,Aetna Medicare,,,,3.0,3.0,2.0,2.0,3.5,,,5.0,1.0,,,,,3.0,,0.0,3.0,Aetna Inc.,2.0,,,,2.0,1.0,,,,
H6952,,2.0,2.0,2.0,,3.0,,,,4.0,,,,,,,,,,3.0,4.0,3.0,2.0,,3.0,,,,,,0.0,2012,Local CCP,UnitedHealthcare Community Plan,,,,2.0,,,,2.5,,,1.0,2.0,,,,,3.0,,0.0,2.5,"UnitedHealth Group, Inc.",4.0,3.0,2.0,3.0,2.0,3.0,,,,
H7002,,3.0,2.0,5.0,,3.0,,2.0,3.0,5.0,,,4.0,3.0,5.0,4.0,,,,2.0,4.0,2.0,2.0,,2.0,,,,,,0.0,2012,Local CCP,Humana Insurance Company,,,,,3.0,,,3.0,,,1.0,2.0,,,,4.0,4.0,,0.0,3.0,Humana Inc.,1.0,,,,4.0,4.0,,,,
H7006,,,,,,,,4.0,5.0,5.0,,,4.0,5.0,4.0,5.0,,,,5.0,5.0,3.0,2.0,,3.0,,,,,,0.0,2012,Local CCP,"Marion Polk Community Health Plan Advantage, Inc.",,,,,5.0,,,4.0,,,5.0,5.0,,,,5.0,5.0,,0.0,4.0,"Marion Polk Community Health Plan, LLC",,,,,,5.0,,,,
H7015,,2.0,2.0,4.0,,2.0,,1.0,1.0,4.0,,,2.0,1.0,2.0,1.0,,,,2.0,4.0,2.0,3.0,,3.0,,,,,,0.0,2012,Local CCP,Healthfirst NJ Medicare Plan,,,,3.0,2.0,,4.0,2.5,,,2.0,1.0,,,,5.0,4.0,,1.0,2.5,"HF Management Services, LLC",3.0,3.0,1.0,1.0,3.0,4.0,,,,
H7086,,,,,,,,3.0,2.0,,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,0.0,2012,Local CCP,Community Health Group,,,,3.0,4.0,,4.0,,,,2.0,1.0,,,,,,,0.0,,Community Health Group,,4.0,3.0,2.0,,4.0,,,,
H7149,,3.0,3.0,2.0,,3.0,,3.0,4.0,4.0,,,4.0,5.0,4.0,2.0,,,,3.0,3.0,3.0,2.0,,3.0,,,,5.0,2.0,0.0,2012,Local CCP,Coventry Health Care,,,,1.0,3.0,2.0,2.0,3.0,,,5.0,1.0,,,,4.0,2.0,,0.0,3.0,Coventry Health Care Inc.,3.0,,,,3.0,2.0,,,,
H7173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2012,Local CCP,Advantage by Peach State,,,,,,,,,,,,,,,,,,,0.0,,Centene Corporation,,,,,,,,,,
H7179,,2.0,1.0,4.0,,1.0,,2.0,2.0,4.0,,,2.0,2.0,4.0,4.0,,,,2.0,4.0,2.0,2.0,,2.0,2.0,,,,,0.0,2012,Local CCP,Arcadian Community Care,,,,1.0,4.0,1.0,3.0,2.5,,,3.0,2.0,,,,,3.0,,1.0,2.5,Arcadian Management Services Inc.,1.0,,,,3.0,1.0,,,,
H7187,,2.0,2.0,4.0,,2.0,,1.0,2.0,4.0,,,2.0,2.0,4.0,4.0,,,,2.0,5.0,3.0,2.0,,3.0,,,,,,0.0,2012,Local CCP,UnitedHealthcare,,,,3.0,4.0,2.0,4.0,3.0,,,2.0,4.0,,,,4.0,3.0,,0.0,3.0,"UnitedHealth Group, Inc.",3.0,,,,4.0,2.0,,,,
H7188,,2.0,1.0,2.0,,3.0,,3.0,2.0,5.0,,,4.0,4.0,4.0,4.0,,,,2.0,2.0,2.0,2.0,,2.0,4.0,,,5.0,2.0,0.0,2012,Local CCP,Humana Insurance Company,,,,1.0,3.0,1.0,1.0,2.5,,,2.0,1.0,,,,4.0,1.0,,0.0,3.0,Humana Inc.,1.0,,,,4.0,4.0,,,,
H7200,,2.0,1.0,3.0,,1.0,,1.0,2.0,4.0,,,3.0,1.0,3.0,3.0,,,,3.0,4.0,3.0,2.0,,3.0,,,,,,0.0,2012,Local CCP,Amerigroup Community Care,,,,2.0,4.0,,,2.5,,,2.0,2.0,,,,3.0,4.0,,0.0,2.5,AMERIGROUP Corporation,1.0,3.0,1.0,1.0,4.0,5.0,,,,
H7220,,4.0,5.0,4.0,,4.0,,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,,,,4.0,5.0,4.0,4.0,,5.0,5.0,,,,,0.0,2012,Local CCP,Indiana University Health Plans - Medicare,,,,1.0,5.0,2.0,4.0,5.0,,,4.0,4.0,,,,5.0,4.0,,0.0,4.5,Indiana University Health,4.0,,,,4.0,5.0,,,,
H7281,,,,,,,,3.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,2.0,5.0,3.0,3.0,,3.0,,,,,,0.0,2012,Local CCP,Bravo Health,,,,,4.0,,,2.5,,,1.0,2.0,,,,4.0,3.0,,0.0,2.5,"HealthSpring, Inc.",,4.0,1.0,2.0,2.0,2.0,,,,
H7292,,3.0,3.0,,,1.0,,3.0,1.0,1.0,,,2.0,2.0,2.0,4.0,,,,1.0,4.0,2.0,2.0,,,,,,,,0.0,2012,Local CCP,Alameda Alliance for Health,,,,4.0,3.0,3.0,4.0,2.5,,,5.0,4.0,,,,,2.0,,0.0,3.0,Alameda Alliance for Health,3.0,3.0,2.0,1.0,2.0,4.0,,,,
H7301,,3.0,3.0,4.0,,3.0,,3.0,2.0,4.0,,,4.0,4.0,4.0,2.0,,,,2.0,5.0,5.0,5.0,,5.0,,,,,,0.0,2012,Local CCP,PersonalCare,,,,1.0,4.0,2.0,1.0,3.5,,,3.0,3.0,,,,4.0,5.0,,0.0,3.5,Coventry Health Care Inc.,4.0,,,,2.0,2.0,,,,
H7306,,2.0,1.0,1.0,,2.0,,1.0,2.0,4.0,,,2.0,2.0,1.0,1.0,,,2.0,1.0,4.0,1.0,1.0,,2.0,,,,,,0.0,2012,Local CCP,Coventry Health Care,,,,1.0,2.0,2.0,3.0,2.0,,,2.0,1.0,,,,4.0,4.0,,0.0,2.0,Coventry Health Care Inc.,1.0,,,,3.0,2.0,,,,
H7352,,2.0,3.0,3.0,,3.0,,3.0,3.0,4.0,,,4.0,2.0,2.0,4.0,,,,4.0,5.0,3.0,3.0,,3.0,3.0,,,,,0.0,2012,Local CCP,University Care Advantage,,,,1.0,2.0,,4.0,3.0,,,1.0,2.0,,,,,4.0,,0.0,3.0,"UA Healthcare, Inc.",4.0,3.0,2.0,3.0,3.0,5.0,,,,
H7475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2012,Local CCP,"Care Wisconsin Health Plan, Inc.",,,,,,,,,,,,,,,,,,,0.0,,"Care Wisconsin First, Inc.",,4.0,5.0,5.0,,3.0,,,,
