2014 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
H4754,Local CCP,PacificSource Medicare,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Health Plans,94%,17.5,Not enough data available,0.19,80,5%,Not enough data available,86%,93%,98,5%,84%,74%,77%,74%
H4837,Local CCP,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",97%,10.6,Not enough data available,0.71,0,10%,Medicare shows only a Star Rating for this topic,88%,92%,99,9%,89%,64%,65%,60%
H4866,Local CCP,Access Medicare,CUATRO LLC,Cuatro LLC.,87%,0.0,No data available,0.44,80,26%,Medicare shows only a Star Rating for this topic,85%,No data available,99,6%,94%,70%,67%,55%
H4871,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,69%,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4875,Local CCP,Priority Health Medicare,PRIORITY HEALTH,Spectrum Health System,61%,0.0,No data available,0.17,80,13%,Medicare shows only a Star Rating for this topic,85%,93%,99,1%,82%,79%,85%,77%
H4876,Local CCP,Constellation Health,"CONSTELLATION HEALTH, LLC.","Constellation Health, LLC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4909,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.","WellPoint, Inc.",97%,1.5,No data available,0.50,60,No data available,Medicare shows only a Star Rating for this topic,86%,90%,97,8%,86%,74%,78%,72%
H4910,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,97%,Not enough data available,No data available,0.19,20,Not enough data available,Not enough data available,No data available,No data available,99,2%,92%,67%,78%,68%
H4956,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,98%,0.0,No data available,0.27,100,22%,Medicare shows only a Star Rating for this topic,88%,90%,98,1%,85%,72%,74%,67%
H5005,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF WASHINGTON, INC.","UnitedHealth Group, Inc.",93%,0.2,59%,0.24,0,5%,Medicare shows only a Star Rating for this topic,82%,91%,99,6%,86%,78%,80%,76%
H5008,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",88%,0.0,No data available,0.38,0,7%,Medicare shows only a Star Rating for this topic,85%,92%,99,13%,81%,80%,81%,78%
H5009,Local CCP,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",94%,7.9,Not enough data available,0.13,100,4%,Medicare shows only a Star Rating for this topic,79%,92%,99,8%,86%,82%,82%,77%
H5010,Local CCP,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,"Cambia Health Solutions, Inc.",94%,21.3,No data available,0.00,100,9%,Medicare shows only a Star Rating for this topic,81%,91%,99,9%,86%,80%,78%,75%
H5041,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,98%,1.1,Not enough data available,0.24,100,13%,Medicare shows only a Star Rating for this topic,84%,90%,97,1%,88%,79%,78%,73%
H5042,Local CCP,CDPHP Medicare Choices,"CDPHP UNIVERSAL BENEFITS, INC.","Capital District Physicians' Health Plan, Inc.",97%,0.0,No data available,0.21,100,7%,Medicare shows only a Star Rating for this topic,86%,91%,98,3%,85%,78%,86%,78%
H5048,Local CCP,"Coventry Health Care of Texas, Inc.","COVENTRY HEALTH CARE OF TEXAS, INC.",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5050,Local CCP,Group Health Cooperative,GROUP HEALTH COOPERATIVE,Group Health Cooperative,90%,3.2,Not enough data available,0.10,80,2%,Medicare shows only a Star Rating for this topic,88%,95%,99,4%,90%,83%,86%,83%
H5087,Local CCP,Easy Choice Health Plan,EASY CHOICE HEALTH PLAN INC.,"WellCare Health Plans, Inc.",87%,CMS identified issues with this plan's data,80%,0.33,28,15%,Medicare shows only a Star Rating for this topic,84%,No data available,99,CMS identified issues with this plan's data,90%,70%,72%,65%
H5106,Local CCP,Highmark Health Insurance Company,HM HEALTH INSURANCE COMPANY,Highmark,93%,1.7,80%,0.26,80,13%,Medicare shows only a Star Rating for this topic,83%,94%,99,9%,82%,77%,77%,71%
H5141,Local CCP,CarePoint Health Plans,CAREPOINT INSURANCE COMPANY,IJKG Opco LLC,91%,Plan too new to be measured,Not enough data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5151,Local CCP,The Health Plan,HEALTH PLAN OF THE UPPER OHIO VALLEY,Health Plan of the Upper Ohio Valley,79%,0.0,No data available,0.08,100,2%,Medicare shows only a Star Rating for this topic,85%,93%,99,6%,79%,78%,80%,74%
H5172,Demo,Community Health Group,COMMUNITY HEALTH GROUP,Community Health Group,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5190,Local CCP,Advantage by Sunshine Health,"SUNSHINE STATE HEALTH PLAN, INC.",Centene Corporation,56%,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5207,Local CCP,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",94%,Not enough data available,No data available,Not enough data available,80,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,8%,86%,88%,82%,80%
H5209,Local CCP,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin First, Inc.",79%,0.0,Not enough data available,0.00,80,2%,Medicare shows only a Star Rating for this topic,90%,92%,94,13%,77%,89%,89%,90%
H5211,Local CCP,"Security Health Plan of Wisconsin, Inc.","SECURITY HEALTH PLAN OF WISCONSIN, INC.",Marshfield Clinic.,88%,0.0,No data available,0.07,100,2%,Medicare shows only a Star Rating for this topic,88%,95%,99,5%,81%,86%,86%,82%
H5214,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,98%,2.1,Not enough data available,0.32,100,18%,Medicare shows only a Star Rating for this topic,84%,90%,98,1%,84%,73%,75%,70%
H5215,Local CCP,Network Health Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,"Ministry Health Care, Inc.",99%,2.6,Not enough data available,0.04,100,3%,Medicare shows only a Star Rating for this topic,86%,93%,98,3%,84%,85%,85%,80%
H5216,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,98%,1.7,Not enough data available,0.21,100,16%,Medicare shows only a Star Rating for this topic,84%,89%,98,1%,84%,84%,85%,80%
H5253,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",90%,2.7,51%,0.14,0,4%,Medicare shows only a Star Rating for this topic,87%,92%,99,4%,83%,82%,83%,78%
H5262,Local CCP,"Gundersen Health Plan, Inc.",GUNDERSEN HEALTH PLAN,Gundersen Lutheran Health System Inc.,95%,0.0,No data available,0.06,80,2%,Medicare shows only a Star Rating for this topic,87%,96%,99,5%,83%,85%,87%,82%
H5280,Demo,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5291,Local CCP,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,98%,2.3,Not enough data available,0.26,100,16%,Medicare shows only a Star Rating for this topic,83%,87%,98,1%,89%,74%,79%,72%
H5294,Local CCP,Advantage by Superior HealthPlan,"SUPERIOR HEALTH PLAN, INC.",Centene Corporation,78%,0.0,Not enough data available,0.70,0,16%,Medicare shows only a Star Rating for this topic,85%,88%,93,13%,88%,66%,66%,61%
H5302,Local CCP,Coventry Health Care,"COVENTRY HEALTH CARE OF GEORGIA, INC.",Aetna Inc.,92%,0.0,No data available,0.51,60,43%,Medicare shows only a Star Rating for this topic,85%,91%,99,9%,83%,71%,71%,68%
H5322,Local CCP,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5355,Demo,IEHP DualChoice,IEHP HEALTH ACCESS,INLAND EMPIRE HEALTH PLAN,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5378,Local CCP,Universal American Corp.,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,94%,1.8,No data available,0.36,0,32%,Medicare shows only a Star Rating for this topic,84%,91%,98,4%,83%,69%,72%,67%
H5410,Local CCP,Cigna-HealthSpring,HEALTHSPRING OF FLORIDA,CIGNA,85%,0.2,Not enough data available,0.11,80,6%,Medicare shows only a Star Rating for this topic,94%,96%,98,7%,89%,87%,85%,73%
H5414,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (FL)",Aetna Inc.,97%,0.0,Not enough data available,0.43,20,9%,Medicare shows only a Star Rating for this topic,82%,91%,99,3%,84%,72%,78%,71%
H5415,Local CCP,"Humana Health Insurance Company of FL, Inc.","HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",Humana Inc.,98%,8.5,Not enough data available,0.26,100,4%,Medicare shows only a Star Rating for this topic,82%,87%,98,1%,85%,75%,79%,69%
H5416,Local CCP,"Arcadian Health Plan, Inc.","ARCADIAN HEALTH PLAN, INC.",Humana Inc.,98%,2.2,Not enough data available,0.68,80,21%,Medicare shows only a Star Rating for this topic,81%,89%,98,3%,85%,71%,73%,70%
H5417,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",88%,10.5,No data available,0.08,0,5%,Medicare shows only a Star Rating for this topic,No data available,No data available,99,16%,84%,82%,82%,78%
H5420,Local CCP,"Medica HealthCare Plans, Inc.","MEDICA HEALTHCARE PLANS, INC.","UnitedHealth Group, Inc.",78%,0.0,Not enough data available,0.25,80,20%,Medicare shows only a Star Rating for this topic,91%,93%,98,9%,85%,77%,79%,63%
H5422,Local CCP,Blue Cross Blue Shield Healthcare Plan of Georgia,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,"WellPoint, Inc.",95%,3.4,No data available,0.71,60,16%,Medicare shows only a Star Rating for this topic,84%,91%,97,7%,84%,68%,73%,69%
H5424,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",90%,1.6,Not enough data available,0.09,0,10%,Medicare shows only a Star Rating for this topic,85%,91%,99,6%,89%,73%,73%,69%
H5425,Local CCP,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Health Plan,93%,2.2,40%,0.17,60,5%,Medicare shows only a Star Rating for this topic,88%,93%,96,4%,87%,73%,77%,71%
H5427,Local CCP,"Freedom Health, Inc.","FREEDOM HEALTH PLAN, INC.","America's 1st Choice Holdings of Florida, LLC",97%,0.5,67%,0.31,100,16%,Medicare shows only a Star Rating for this topic,88%,92%,99,7%,84%,77%,77%,73%
H5428,Local CCP,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,92%,0.0,Not enough data available,0.00,80,1%,Medicare shows only a Star Rating for this topic,86%,89%,98,7%,85%,81%,79%,77%
H5430,Local CCP,"ONECare by Care1st Health Plan Arizona, Inc.",ONECARE BY CARE1ST HEALTH PLAN ARIZONA INC.,Care1st Health Plan,81%,CMS identified issues with this plan's data,No data available,0.00,7,7%,Medicare shows only a Star Rating for this topic,84%,88%,99,8%,88%,59%,59%,58%
H5431,Local CCP,"HealthSun Health Plans, Inc.","HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc",99%,CMS identified issues with this plan's data,No data available,0.13,0,19%,Medicare shows only a Star Rating for this topic,90%,No data available,99,14%,89%,82%,80%,65%
H5433,Local CCP,OneCare,ORANGE COUNTY HEALTH AUTHORITY,Orange County Health Authority,86%,CMS identified issues with this plan's data,40%,0.13,60,7%,Medicare shows only a Star Rating for this topic,84%,86%,98,1%,89%,76%,76%,71%
H5434,Local CCP,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Blue Cross and Blue Shield of Florida,78%,0.0,Not enough data available,0.13,80,9%,Medicare shows only a Star Rating for this topic,86%,91%,97,8%,83%,79%,81%,76%
H5435,PFFS,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",93%,0.8,89%,0.28,0,9%,Medicare shows only a Star Rating for this topic,84%,93%,99,6%,85%,73%,74%,69%
H5439,Local CCP,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,"Health Net, Inc.",18%,4.0,Not enough data available,0.61,80,23%,Medicare shows only a Star Rating for this topic,80%,90%,98,6%,87%,72%,75%,70%
H5441,Demo,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.","Healthfirst, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5471,Local CCP,"Simply Healthcare Plans, Inc.","SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Holdings, Inc.",95%,0.0,No data available,1.02,80,30%,Not enough data available,88%,No data available,99,9%,88%,70%,71%,58%
H5475,Local CCP,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",94%,Not enough data available,No data available,Not enough data available,80,Not enough data available,Not enough data available,No data available,No data available,85,12%,87%,73%,68%,65%
H5507,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",93%,2.1,Not enough data available,0.45,0,8%,Medicare shows only a Star Rating for this topic,85%,93%,99,6%,83%,79%,82%,75%
H5508,Local CCP,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",Advantage Health Solutions,86%,0.0,No data available,0.58,44,7%,Medicare shows only a Star Rating for this topic,83%,91%,99,8%,84%,78%,80%,75%
H5509,Local CCP,COVENTRY HEALTH CARE,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,92%,0.8,Not enough data available,0.15,80,7%,Medicare shows only a Star Rating for this topic,83%,90%,99,7%,84%,75%,77%,72%
H5516,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",93%,17.2,100%,0.42,0,6%,Medicare shows only a Star Rating for this topic,86%,93%,99,6%,81%,81%,80%,69%
H5520,Local CCP,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,"Health Net, Inc.",18%,3.4,Not enough data available,0.11,80,9%,Medicare shows only a Star Rating for this topic,82%,91%,98,8%,87%,77%,79%,75%
H5521,Local CCP,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,97%,0.7,97%,0.08,20,0%,Medicare shows only a Star Rating for this topic,86%,No data available,99,4%,84%,80%,82%,77%
H5522,Local CCP,HealthAmerica,"HEALTHASSURANCE PENNSYLVANIA, INC.",Aetna Inc.,93%,1.2,Not enough data available,0.18,80,9%,Medicare shows only a Star Rating for this topic,86%,93%,99,5%,81%,78%,79%,75%
H5525,Local CCP,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,98%,1.9,No data available,0.14,100,7%,Medicare shows only a Star Rating for this topic,84%,89%,98,2%,87%,82%,83%,78%
H5526,Local CCP,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,75%,1.3,Not enough data available,0.05,80,3%,Medicare shows only a Star Rating for this topic,87%,93%,99,5%,82%,83%,84%,78%
H5528,Local CCP,EmblemHealth Medicare PPO,GROUP HEALTH INCORPORATED,"EmblemHealth, Inc.",82%,0.5,Not enough data available,0.45,60,8%,Medicare shows only a Star Rating for this topic,83%,91%,98,2%,84%,74%,78%,71%
H5529,Local CCP,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,"WellPoint, Inc.",95%,0.0,No data available,0.30,40,5%,Medicare shows only a Star Rating for this topic,81%,91%,97,7%,82%,76%,80%,75%
H5530,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.","WellPoint, Inc.",95%,1.7,Not enough data available,0.29,60,16%,Medicare shows only a Star Rating for this topic,82%,90%,97,8%,83%,73%,76%,69%
H5532,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",93%,5.8,Not enough data available,0.30,0,21%,Medicare shows only a Star Rating for this topic,83%,90%,99,7%,84%,77%,77%,70%
H5533,Local CCP,UPMC Health Plan,"UPMC HEALTH NETWORK, INC.",University of Pittsburgh Medical Center,99%,0.0,71%,0.12,100,6%,Medicare shows only a Star Rating for this topic,83%,93%,98,5%,81%,76%,79%,77%
H5549,Local CCP,VNSNY CHOICE Medicare,VNS CHOICE,Visiting Nurse Service of New York,91%,6.6,Not enough data available,0.36,32,21%,Medicare shows only a Star Rating for this topic,83%,88%,99,2%,88%,68%,70%,61%
H5576,Local CCP,"Vantage Health Plan, Inc.","VANTAGE HEALTH PLAN, INC.","Vantage Health Plan, Inc.",95%,5.8,Not enough data available,0.25,80,9%,Medicare shows only a Star Rating for this topic,87%,93%,99,7%,83%,76%,73%,70%
H5577,Local CCP,MCS Classicare,"MCS ADVANTAGE, INC.","Medical Card System, Inc.",91%,3.2,50%,0.20,80,23%,Medicare shows only a Star Rating for this topic,96%,92%,98,9%,91%,67%,68%,49%
H5580,Local CCP,Mercy Care Advantage,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,Southwest Catholic Health Network,80%,7.2,79%,0.08,80,6%,Medicare shows only a Star Rating for this topic,85%,89%,96,14%,85%,68%,67%,63%
H5587,Local CCP,Health Choice Generations HMO SNP,"HEALTH CHOICE ARIZONA, INC.",IASIS Healthcare,68%,CMS identified issues with this plan's data,No data available,0.12,28,12%,Medicare shows only a Star Rating for this topic,84%,89%,99,CMS identified issues with this plan's data,86%,67%,65%,63%
H5590,Local CCP,Advantage by Bridgeway Health Solutions HMO SNP,BRIDGEWAY HEALTH SOLUTIONS,Centene Corporation,73%,7.2,No data available,0.00,11,17%,Medicare shows only a Star Rating for this topic,82%,No data available,99,14%,80%,82%,80%,77%
H5591,Local CCP,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC","Martin's Point Health Care, Inc.",95%,10.2,78%,0.06,100,3%,Medicare shows only a Star Rating for this topic,85%,93%,98,2%,83%,81%,82%,78%
H5592,Demo,WellCare,"WELLCARE OF SOUTH CAROLINA, INC.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5594,Local CCP,"Optimum HealthCare, Inc.","OPTIMUM HEALTHCARE, INC.","America's 1st Choice Holdings of Florida, LLC",97%,0.8,Not enough data available,0.31,80,12%,Medicare shows only a Star Rating for this topic,88%,92%,99,6%,84%,79%,77%,74%
H5608,Local CCP,"Denver Health Medical Plan, Inc.","DENVER HEALTH MEDICAL PLAN, INC.",Denver Health and Hospital Authority,67%,0.0,Not enough data available,0.27,60,5%,Medicare shows only a Star Rating for this topic,85%,88%,96,12%,90%,63%,67%,65%
H5609,Local CCP,GEMCARE Health Plan,GEMCARE HEALTH PLAN INC.,"GEMCare Mercy Memorial Health Systems, LLC",99%,7.5,Not enough data available,0.08,80,5%,Medicare shows only a Star Rating for this topic,86%,91%,99,7%,86%,74%,75%,72%
H5619,Local CCP,"Arcadian Health Plan, Inc.","ARCADIAN HEALTH PLAN, INC.",Humana Inc.,98%,4.7,Not enough data available,0.90,80,17%,Medicare shows only a Star Rating for this topic,84%,89%,98,3%,83%,81%,82%,79%
H5628,Local CCP,Molina Healthcare of Utah,"MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare, Inc.,",65%,1.2,67%,0.24,100,6%,Medicare shows only a Star Rating for this topic,86%,90%,98,5%,88%,70%,72%,74%
H5640,Local CCP,IEHP Medicare DualChoice,IEHP HEALTH ACCESS,INLAND EMPIRE HEALTH PLAN,94%,0.0,No data available,0.10,80,7%,Medicare shows only a Star Rating for this topic,83%,88%,96,9%,90%,68%,60%,61%
H5649,Local CCP,Central Health Medicare Plan,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Plan of California,99%,0.0,Not enough data available,0.04,69,19%,Medicare shows only a Star Rating for this topic,85%,88%,99,2%,92%,73%,70%,60%
H5652,Local CCP,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",71%,0.0,Not enough data available,0.07,0,2%,Medicare shows only a Star Rating for this topic,86%,93%,99,4%,79%,86%,84%,79%
H5656,Local CCP,Universal American Corp.,"SELECTCARE HEALTH PLANS, INC.",Universal American Corp.,94%,2.3,No data available,0.31,0,18%,Medicare shows only a Star Rating for this topic,86%,91%,98,4%,90%,65%,70%,64%
H5685,Local CCP,Midwest Advantage,"MIDWEST HEALTH PLAN, INC.",Henry Ford Health System,92%,Not enough data available,No data available,Not enough data available,23,Not enough data available,Not enough data available,No data available,No data available,99,4%,85%,72%,70%,66%
H5696,Local CCP,Physicians United Plan,"PHYSICIANS UNITED PLAN, INC.","IDJB Investments, LLC",86%,CMS identified issues with this plan's data,71%,0.37,1,19%,Medicare shows only a Star Rating for this topic,88%,92%,99,3%,87%,75%,74%,68%
H5698,Local CCP,Windsor Medicare Extra,"WINDSOR HEALTH PLAN, INC.",Munich American Holding Corporation,96%,CMS identified issues with this plan's data,73%,0.31,33,18%,Medicare shows only a Star Rating for this topic,85%,91%,98,4%,85%,65%,65%,60%
H5703,Local CCP,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,84%,Not enough data available,No data available,Not enough data available,80,Not enough data available,Not enough data available,No data available,No data available,98,6%,81%,89%,87%,84%
H5732,Local CCP,"Triple-S Salud, INC.","TRIPLE-S SALUD, INC.",Triple-S Management Corporation,74%,0.0,No data available,0.43,0,36%,Medicare shows only a Star Rating for this topic,81%,86%,98,6%,91%,61%,67%,42%
H5746,Local CCP,Amerigroup Community Care of New Mexico,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC.","WellPoint, Inc.",89%,17.3,Not enough data available,0.40,47,8%,Medicare shows only a Star Rating for this topic,84%,87%,98,4%,88%,71%,73%,68%
H5749,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",93%,0.0,Not enough data available,0.27,0,11%,Medicare shows only a Star Rating for this topic,84%,92%,99,7%,87%,72%,76%,71%
H5750,Local CCP,MHP,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,72%,Not enough data available,Not enough data available,Not enough data available,80,Not enough data available,Not enough data available,No data available,No data available,98,Not enough data available,86%,Not enough data available,58%,57%
H5765,Local CCP,Satellite Health Plan,"SATELLITE HEALTH PLAN, INC.","Satellite Healthcare, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5774,Local CCP,American Health Medicare,"AMERICAN HEALTH, INC.",Triple-S Management Corporation,79%,0.0,Not enough data available,0.34,42,26%,Medicare shows only a Star Rating for this topic,90%,No data available,99,4%,90%,62%,63%,46%
H5779,Local CCP,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",69%,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5782,Local CCP,Partnership HealthPlan of California,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,95%,0.0,Not enough data available,0.04,100,2%,Medicare shows only a Star Rating for this topic,87%,90%,99,9%,87%,77%,76%,74%
H5786,Local CCP,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF IOWA, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5793,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (CT)",Aetna Inc.,97%,2.2,100%,0.22,20,8%,Medicare shows only a Star Rating for this topic,81%,91%,99,3%,82%,75%,80%,73%
H5810,Local CCP,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,"Molina Healthcare, Inc.,",81%,0.0,Not enough data available,0.39,100,16%,Medicare shows only a Star Rating for this topic,83%,86%,98,1%,91%,66%,65%,60%
