2014 Star View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
H5355,Demo,IEHP DualChoice,IEHP HEALTH ACCESS,INLAND EMPIRE HEALTH PLAN,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5378,Local CCP,Universal American Corp.,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,3,3,No data available,2,1,1,3,4,4,4,4,2,2,3,2
H5410,Local CCP,Cigna-HealthSpring,HEALTHSPRING OF FLORIDA,CIGNA,1,5,Not enough data available,4,4,5,5,5,5,4,3,5,5,5,4
H5414,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (FL)",Aetna Inc.,5,5,Not enough data available,2,1,4,4,2,4,4,5,2,3,4,4
H5415,Local CCP,"Humana Health Insurance Company of FL, Inc.","HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",Humana Inc.,5,1,Not enough data available,3,5,5,4,2,2,4,5,3,4,5,3
H5416,Local CCP,"Arcadian Health Plan, Inc.","ARCADIAN HEALTH PLAN, INC.",Humana Inc.,5,2,Not enough data available,1,4,1,2,1,2,4,5,3,3,3,3
H5417,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,1,No data available,5,1,5,3,No data available,No data available,4,1,2,5,5,5
H5420,Local CCP,"Medica HealthCare Plans, Inc.","MEDICA HEALTHCARE PLANS, INC.","UnitedHealth Group, Inc.",1,5,Not enough data available,3,4,2,3,5,4,4,2,3,5,5,2
H5422,Local CCP,Blue Cross Blue Shield Healthcare Plan of Georgia,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,"WellPoint, Inc.",4,2,No data available,1,3,2,4,4,4,3,3,2,2,3,3
H5424,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,3,Not enough data available,5,1,4,5,4,4,4,3,5,3,3,3
H5425,Local CCP,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Health Plan,3,2,1,3,3,5,5,5,5,3,4,5,3,4,4
H5427,Local CCP,"Freedom Health, Inc.","FREEDOM HEALTH PLAN, INC.","America's 1st Choice Holdings of Florida, LLC",5,4,2,3,5,2,3,5,4,4,3,2,5,4,4
H5428,Local CCP,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,3,5,Not enough data available,5,4,5,4,4,2,4,3,3,5,5,5
H5430,Local CCP,"ONECare by Care1st Health Plan Arizona, Inc.",ONECARE BY CARE1ST HEALTH PLAN ARIZONA INC.,Care1st Health Plan,1,1,No data available,5,1,5,2,4,2,4,3,5,1,1,1
H5431,Local CCP,"HealthSun Health Plans, Inc.","HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc",5,1,No data available,4,1,2,5,5,No data available,4,1,5,5,5,2
H5433,Local CCP,OneCare,ORANGE COUNTY HEALTH AUTHORITY,Orange County Health Authority,1,1,1,4,3,5,5,4,2,4,5,5,4,4,4
H5434,Local CCP,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Blue Cross and Blue Shield of Florida,1,5,Not enough data available,4,4,4,5,4,4,3,3,2,5,5,5
H5435,PFFS,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,4,5,3,1,4,5,4,4,4,3,3,3,3,3
H5439,Local CCP,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,"Health Net, Inc.",1,1,Not enough data available,1,4,1,2,1,2,4,3,5,3,4,3
H5441,Demo,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.","Healthfirst, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5471,Local CCP,"Simply Healthcare Plans, Inc.","SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Holdings, Inc.",4,5,No data available,1,4,1,Not enough data available,4,No data available,4,2,5,2,2,1
H5475,Local CCP,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",3,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,3,1,5,3,2,2
H5507,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,2,Not enough data available,2,1,5,5,4,5,4,3,2,5,5,5
H5508,Local CCP,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",Advantage Health Solutions,1,5,No data available,1,3,5,4,2,4,4,3,2,5,5,5
H5509,Local CCP,COVENTRY HEALTH CARE,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,3,4,Not enough data available,4,4,5,4,2,3,4,3,2,4,4,4
H5516,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,1,5,2,1,5,4,4,4,4,3,1,5,5,3
H5520,Local CCP,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,"Health Net, Inc.",1,2,Not enough data available,4,4,4,3,2,4,4,3,5,5,5,5
H5521,Local CCP,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,5,4,5,5,1,5,5,4,No data available,4,4,2,5,5,5
H5522,Local CCP,HealthAmerica,"HEALTHASSURANCE PENNSYLVANIA, INC.",Aetna Inc.,3,4,Not enough data available,3,4,4,5,4,4,4,4,1,5,5,5
H5525,Local CCP,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,5,2,No data available,4,5,5,3,4,2,4,5,5,5,5,5
H5526,Local CCP,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,1,4,Not enough data available,5,4,5,5,4,4,4,4,2,5,5,5
H5528,Local CCP,EmblemHealth Medicare PPO,GROUP HEALTH INCORPORATED,"EmblemHealth, Inc.",1,4,Not enough data available,2,3,5,5,2,4,4,5,2,4,4,4
H5529,Local CCP,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,"WellPoint, Inc.",4,5,No data available,3,2,5,3,1,4,3,3,2,4,5,5
H5530,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.","WellPoint, Inc.",4,3,Not enough data available,3,3,2,3,2,3,3,3,2,3,4,3
H5532,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,1,Not enough data available,3,1,1,3,2,3,4,3,2,5,4,3
H5533,Local CCP,UPMC Health Plan,"UPMC HEALTH NETWORK, INC.",University of Pittsburgh Medical Center,5,5,3,4,5,5,4,2,4,4,4,1,4,5,5
H5549,Local CCP,VNSNY CHOICE Medicare,VNS CHOICE,Visiting Nurse Service of New York,3,1,Not enough data available,2,2,1,4,2,2,4,5,5,2,2,1
H5576,Local CCP,"Vantage Health Plan, Inc.","VANTAGE HEALTH PLAN, INC.","Vantage Health Plan, Inc.",4,1,Not enough data available,3,4,4,3,5,5,4,3,2,4,3,3
H5577,Local CCP,MCS Classicare,"MCS ADVANTAGE, INC.","Medical Card System, Inc.",3,2,1,3,4,1,4,5,4,4,2,5,2,2,1
H5580,Local CCP,Mercy Care Advantage,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,Southwest Catholic Health Network,1,1,4,5,4,5,1,4,2,3,1,3,2,1,2
H5587,Local CCP,Health Choice Generations HMO SNP,"HEALTH CHOICE ARIZONA, INC.",IASIS Healthcare,1,1,No data available,4,2,3,3,4,2,4,1,4,2,1,2
H5590,Local CCP,Advantage by Bridgeway Health Solutions HMO SNP,BRIDGEWAY HEALTH SOLUTIONS,Centene Corporation,1,1,No data available,5,1,2,3,2,No data available,4,1,1,5,5,5
H5591,Local CCP,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC","Martin's Point Health Care, Inc.",4,1,4,5,5,5,5,4,5,4,5,2,5,5,5
H5592,Demo,WellCare,"WELLCARE OF SOUTH CAROLINA, INC.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5594,Local CCP,"Optimum HealthCare, Inc.","OPTIMUM HEALTHCARE, INC.","America's 1st Choice Holdings of Florida, LLC",5,4,Not enough data available,3,4,3,4,5,4,4,3,2,5,4,4
H5608,Local CCP,"Denver Health Medical Plan, Inc.","DENVER HEALTH MEDICAL PLAN, INC.",Denver Health and Hospital Authority,1,5,Not enough data available,3,3,5,3,4,2,3,1,5,1,1,2
H5609,Local CCP,GEMCARE Health Plan,GEMCARE HEALTH PLAN INC.,"GEMCare Mercy Memorial Health Systems, LLC",5,1,Not enough data available,5,4,5,4,4,4,4,3,4,4,4,4
H5619,Local CCP,"Arcadian Health Plan, Inc.","ARCADIAN HEALTH PLAN, INC.",Humana Inc.,5,1,Not enough data available,1,4,2,2,4,2,4,5,2,5,5,5
H5628,Local CCP,Molina Healthcare of Utah,"MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare, Inc.,",1,4,2,3,5,5,3,4,2,4,4,5,2,3,4
H5640,Local CCP,IEHP Medicare DualChoice,IEHP HEALTH ACCESS,INLAND EMPIRE HEALTH PLAN,3,5,No data available,5,4,5,2,2,2,3,2,5,2,1,1
H5649,Local CCP,Central Health Medicare Plan,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Plan of California,5,5,Not enough data available,5,4,2,3,4,2,4,5,5,3,2,1
H5652,Local CCP,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",1,5,Not enough data available,5,1,5,3,4,5,4,4,1,5,5,5
H5656,Local CCP,Universal American Corp.,"SELECTCARE HEALTH PLANS, INC.",Universal American Corp.,3,2,No data available,3,1,2,3,4,4,4,4,5,1,2,2
H5685,Local CCP,Midwest Advantage,"MIDWEST HEALTH PLAN, INC.",Henry Ford Health System,3,Not enough data available,No data available,Not enough data available,2,Not enough data available,Not enough data available,No data available,No data available,4,4,3,3,2,2
H5696,Local CCP,Physicians United Plan,"PHYSICIANS UNITED PLAN, INC.","IDJB Investments, LLC",1,1,3,2,1,2,4,5,4,4,5,5,4,3,3
H5698,Local CCP,Windsor Medicare Extra,"WINDSOR HEALTH PLAN, INC.",Munich American Holding Corporation,4,1,4,3,2,2,5,4,4,4,4,3,1,1,1
H5703,Local CCP,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,1,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,4,3,1,5,5,5
H5732,Local CCP,"Triple-S Salud, INC.","TRIPLE-S SALUD, INC.",Triple-S Management Corporation,1,5,No data available,2,1,1,3,1,1,4,3,5,1,1,1
H5746,Local CCP,Amerigroup Community Care of New Mexico,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC.","WellPoint, Inc.",2,1,Not enough data available,2,3,5,5,4,1,4,4,5,3,3,3
H5749,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,5,Not enough data available,3,1,4,4,4,4,4,3,5,3,4,4
H5750,Local CCP,MHP,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,1,Not enough data available,Not enough data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,4,Not enough data available,4,Not enough data available,1,1
H5765,Local CCP,Satellite Health Plan,"SATELLITE HEALTH PLAN, INC.","Satellite Healthcare, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5774,Local CCP,American Health Medicare,"AMERICAN HEALTH, INC.",Triple-S Management Corporation,1,5,Not enough data available,2,3,1,5,5,No data available,4,4,5,1,1,1
H5779,Local CCP,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",1,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5782,Local CCP,Partnership HealthPlan of California,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,4,5,Not enough data available,5,5,5,3,4,3,4,2,5,5,4,4
H5786,Local CCP,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF IOWA, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5793,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (CT)",Aetna Inc.,5,2,5,3,1,5,1,1,4,4,5,2,4,5,4
H5810,Local CCP,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,"Molina Healthcare, Inc.,",1,5,Not enough data available,2,5,2,4,2,1,4,5,5,1,1,1
H5811,Local CCP,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Health Plan,3,5,No data available,1,3,4,3,4,3,3,3,5,3,3,4
H5813,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,5,5,No data available,1,1,5,2,2,4,4,4,5,3,4,2
H5817,Local CCP,Amerigroup,"AMERIGROUP TEXAS, INC.","WellPoint, Inc.",2,1,Not enough data available,2,3,3,4,4,1,4,5,5,3,3,2
H5823,Local CCP,"Molina Healthcare of Washington, Inc.","MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare, Inc.,",1,3,1,3,5,4,3,1,1,4,4,5,5,3,4
H5826,Local CCP,Community HealthFirst Medicare Advantage Plan,COMMUNITY HEALTH PLAN OF WASHINGTON,Community Health Plan of Washington,5,4,Not enough data available,2,1,3,5,2,3,4,4,5,3,3,4
H5832,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,5,Not enough data available,No data available,Not enough data available,1,Not enough data available,Not enough data available,No data available,No data available,4,3,4,Not enough data available,1,3
H5850,Local CCP,Coventry Summit Health Plan,"COVENTRY SUMMIT HEALTH PLAN, INC.",Aetna Inc.,3,2,Not enough data available,2,4,2,5,5,4,4,3,5,3,3,2
H5852,Local CCP,AHF,AIDS HEALTHCARE FOUNDATION,AIDS Healthcare Foundation,1,5,No data available,1,4,Not enough data available,4,4,4,5,1,5,5,4,5
H5854,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.","WellPoint, Inc.",4,1,No data available,1,3,1,2,1,2,4,4,2,5,5,4
H5859,Local CCP,CareOregon Advantage,"HEALTH PLAN OF CAREOREGON, INC.","CareOregon, Inc.",3,4,1,5,2,5,4,2,2,4,4,2,4,4,5
H5868,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,4,Not enough data available,3,5,2,3,4,2,4,5,3,5,5,5
H5883,Local CCP,Blue Care Network,BLUE CARE NETWORK OF MICHIGAN,Blue Cross Blue Shield of Michigan,5,5,Not enough data available,3,4,5,4,4,5,4,4,3,5,5,5
H5887,Local CCP,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.",1,2,Not enough data available,1,3,1,5,5,2,3,3,5,1,1,1
H5896,Local CCP,Amerigroup Community Care,"AMERIGROUP MARYLAND, INC.","WellPoint, Inc.",2,1,Not enough data available,Not enough data available,3,3,4,No data available,No data available,4,5,5,1,1,1
H5926,Local CCP,Molina Healthcare of Michigan,"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare, Inc.,",1,2,3,3,5,5,4,4,2,4,5,3,2,2,2
H5928,Local CCP,Care1st Health Plan,CARE1ST HEALTH PLAN,Care1st Health Plan,3,1,1,3,1,3,5,4,2,4,3,5,4,4,3
H5932,Local CCP,Gateway Health  Medicare Assured,"GATEWAY HEALTH PLAN, INC.","Gateway Health Plan, LP",1,5,No data available,4,5,5,3,2,3,3,5,2,3,3,3
H5938,Local CCP,Capital Health Plan,CAPITAL HEALTH PLAN,Blue Cross and Blue Shield of Florida,1,5,Not enough data available,5,5,5,3,5,5,4,5,4,3,4,3
H5943,Local CCP,VillageHealth,SCAN HEALTH PLAN,SCAN Health Plan,5,Not enough data available,Not enough data available,Not enough data available,4,Not enough data available,Not enough data available,5,2,4,1,1,4,1,4
H5950,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,5,Not enough data available,No data available,Not enough data available,2,Not enough data available,Not enough data available,No data available,No data available,4,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5969,Local CCP,AlohaCare,ALOHACARE,AlohaCare,2,5,No data available,5,3,2,4,4,3,4,3,3,1,2,2
H5970,Local CCP,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,5,5,No data available,2,4,4,3,2,1,4,5,3,5,5,5
H5985,Local CCP,Abrazo Advantage Health Plan,ABRAZO ADVANTAGE HEALTH PLAN,Vanguard Health Systems,1,5,No data available,3,4,3,4,4,2,4,5,4,1,1,2
H5989,Local CCP,"CenterLight Healthcare, Inc.","CENTERLIGHT HEALTHCARE, INC.","CenterLight Health System, Inc.",4,Not enough data available,No data available,Not enough data available,3,Not enough data available,Not enough data available,No data available,No data available,5,4,2,5,5,5
H5991,Local CCP,Affinity Health Plan,"AFFINITY HEALTH PLAN, INC.",Affinity Health Plan,2,1,No data available,2,4,3,4,2,3,4,5,5,3,2,1
H5992,Local CCP,Senior Whole Health of New York,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",1,5,No data available,Not enough data available,3,Not enough data available,Not enough data available,No data available,No data available,3,1,2,5,5,5
H5995,Local CCP,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,4,5,No data available,5,2,5,3,2,2,3,2,1,5,4,5
H6080,Demo,Meridian Complete,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6132,Local CCP,"Select Health of South Carolina, Inc.","SELECT HEALTH OF SOUTH CAROLINA, INC.",Independence Blue Cross,3,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6169,PFFS,Universal American Corp.,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,3,5,Not enough data available,3,1,2,4,3,No data available,4,4,2,3,3,2
H6178,Local CCP,CareSource,CARESOURCE,CareSource Management Group Co.,1,1,Not enough data available,4,4,2,4,1,2,4,4,4,1,1,2
H6181,Local CCP,HealthPlus Amerigroup,"AMERIGROUP NEW YORK, LLC","WellPoint, Inc.",2,1,Not enough data available,2,3,2,5,4,3,4,5,5,3,3,2
H6229,Demo,Anthem Blue Cross,"BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC.","WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6237,Local CCP,Regence BlueCross Blueshield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OREGON,"Cambia Health Solutions, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6263,Demo,EmblemHealth Fully Integrated Dual Advantage HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6306,Local CCP,FirstCarolinaCare Insurance Company,FIRSTCAROLINACARE INSURANCE COMPANY,"FirstHealth of the Carolinas, Inc.",1,Plan too new to be measured,No data available,5,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6308,Demo,AgeWell New York,"AGEWELL NEW YORK, LLC","ParkerCare New York, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6328,Local CCP,Care NÆ Care Insurance Company,"CARE N' CARE INSURANCE COMPANY, INC.",North Texas Specialty Physicians,1,5,No data available,1,4,4,3,5,5,4,4,2,5,4,4
H6360,1876 Cost,Kaiser Permanente,KAISER FOUNDATION HP OF OHIO,"Kaiser Foundation Health Plan, Inc.",Plan not required to report measure,No data available,No data available,5,5,5,3,5,5,5,4,2,5,5,5
H6411,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,2,No data available,3,5,2,2,2,2,4,5,5,3,4,2
H6435,Demo,ElderServe Star,"ELDERSERVE HEALTH, INC.",Hebrew Home Holding Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6528,Local CCP,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",3,4,Not enough data available,1,4,4,5,4,4,4,2,4,2,2,2
H6609,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,2,5,4,5,5,3,4,2,4,5,3,5,5,5
H6622,Local CCP,Humana WisconsinHealth Organization Insurance Corp,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP,Humana Inc.,5,5,No data available,2,4,1,2,4,2,4,5,3,5,5,5
H6623,Local CCP,Maricopa Care Advantage,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6681,Demo,"Humana Medical Plan of Michigan, Inc.","HUMANA MEDICAL PLAN OF MICHIGAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6743,Local CCP,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,4,5,No data available,5,2,5,5,4,5,4,3,2,4,4,4
H6745,Local CCP,Amida Care,AMIDA CARE INC.,Amida Care Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6750,Local CCP,"Harvard Pilgrim Health Care of New England, Inc.","HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6751,Demo,Cigna-HealthSpring,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6786,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF MAINE, INC.","WellPoint, Inc.",4,Plan too new to be measured,No data available,5,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6801,Local CCP,Lovelace Medicare Plan,"AHS - TULSA OKLAHOMA HEALTH PLAN, INC.",Ardent Health Services.,2,Not enough data available,Not enough data available,1,4,Not enough data available,Not enough data available,No data available,No data available,3,4,2,1,2,1
H6815,Local CCP,"Health Net Health Plan of Oregon, Inc.",HEALTH NET HEALTH PLAN OF OREGON,"Health Net, Inc.",1,Not enough data available,No data available,1,5,Not enough data available,Not enough data available,No data available,No data available,4,2,Not enough data available,Not enough data available,2,5
