2011 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,,,Drug Plan Member Complaints and Medicare Audit Findings,,,Member Experience with Drug Plan,,,Drug Pricing and Patient Safety,,,,,
H3240,AMERIGROUP Community Care,"AMERIGROUP NEW JERSEY, INC.",0:27,0:53,68.6%,81.3,0.0,No appeals required review,53.8%,0.60,0.77,17,72.0%,77.3%,80.2%,99.9%,98.1,19.3%,87.0%,,
H3251,Lovelace Senior Plan,"LOVELACE HEALTH SYSTEM, INC.",0:51,1:09,68.2%,67.4,0.0,Not enough data available to calculate measure,0.0%,0.04,0.08,No data available,79.2%,86.4%,93.0%,98.9%,94.3,20.3%,87.8%,,
H3305,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",0:16,0:39,82.5%,77.1,0.0,25.0%,93.8%,0.05,0.09,No data available,82.3%,79.1%,91.4%,99.1%,Not enough data available to calculate measure,16.3%,81.5%,,
H3307,SecureHorizons by UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.",0:20,0:38,64.8%,70.7,4.3,Not enough data available to calculate measure,96.3%,0.30,0.33,57,71.5%,76.3%,85.1%,99.1%,97,12.0%,83.6%,,
H3312,Aetna Medicare,AETNA HEALTH INC.,0:34,0:30,64.0%,50.7,4.5,58.3%,87.7%,0.26,0.16,No data available,76.1%,77.0%,87.5%,99.9%,97.7,5.5%,83.4%,,
H3327,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.",0:33,0:39,73.4%,62.5,2.4,Not enough data available to calculate measure,0.0%,0.48,0.61,40,77.6%,80.8%,86.1%,97.6%,Not enough data available to calculate measure,13.0%,85.6%,,
H3328,Fidelis Care,NEW YORK STATE CATHOLIC HLTH PLAN INC,1:08,0:32,73.4%,81.3,0.0,Not enough data available to calculate measure,12.7%,0.94,0.47,No data available,82.2%,77.9%,86.4%,93.6%,97.7,14.5%,87.6%,,
H3330,EmblemHealth Medicare HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,0:39,1:00,86.0%,88.9,1.0,77.8%,95.6%,0.18,0.22,No data available,78.0%,82.7%,89.5%,99.0%,96.8,13.0%,87.0%,,
H3333,Universal American,AMERICAN PROGRESSIVE LIFE/HLTH INS.,0:30,0:26,69.0%,67.4,1.8,Not enough data available to calculate measure,89.2%,0.58,0.23,No data available,76.5%,80.6%,90.5%,98.4%,97.7,16.5%,83.4%,,
H3335,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.",0:27,0:43,81.7%,87.5,0.0,Not enough data available to calculate measure,93.6%,0.08,0.04,No data available,83.4%,83.8%,91.3%,99.2%,98.6,16.2%,83.7%,,
H3337,Liberty Health Advantage,"LIBERTY HEALTH ADVANTAGE, INC.",0:24,0:32,81.8%,80.6,0.0,No appeals required review,0.0%,0.49,1.02,No data available,66.8%,75.5%,81.5%,95.8%,98.3,9.8%,83.0%,,
H3342,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",0:53,0:53,57.5%,43.1,12.2,41.2%,98.0%,0.65,0.54,No data available,80.6%,74.0%,86.7%,99.9%,Not enough data available to calculate measure,13.7%,85.6%,,
H3344,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,0:44,0:15,91.8%,89.6,0.0,No appeals required review,80.0%,0.10,0.05,No data available,90.2%,82.5%,93.4%,99.9%,94.5,21.0%,81.1%,,
H3346,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",0:16,0:39,82.5%,77.1,0.0,Not enough data available to calculate measure,78.9%,0.37,0.22,No data available,82.8%,80.1%,90.5%,98.6%,Not enough data available to calculate measure,15.5%,81.3%,,
H3347,Elderplan,"ELDERPLAN, INC.",0:48,0:21,69.3%,85.3,0.0,No appeals required review,73.2%,0.12,0.18,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,94.8,11.2%,84.3%,,
H3351,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.",0:34,0:43,81.7%,87.5,0.0,Not enough data available to calculate measure,97.2%,0.03,0.03,No data available,81.8%,84.0%,92.6%,98.3%,98.6,17.2%,82.0%,,
H3359,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.",0:55,1:15,67.7%,76.2,0.1,Not enough data available to calculate measure,61.4%,0.09,0.16,No data available,71.2%,79.6%,83.3%,78.3%,97,13.9%,91.7%,,
H3361,WellCare,"WELLCARE_OF NEW YORK, INC.",0:40,0:27,72.6%,81.3,4.2,No appeals required review,97.0%,0.12,0.42,No data available,76.6%,76.1%,83.8%,99.8%,98.4,15.9%,90.0%,,
H3362,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.",0:44,0:15,91.8%,89.6,0.0,Not enough data available to calculate measure,97.4%,0.06,0.03,No data available,88.3%,84.3%,93.1%,99.8%,94.3,19.1%,82.2%,,
H3366,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.",0:33,0:39,73.4%,62.5,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,97.3%,Not enough data available to calculate measure,12.0%,76.9%,,
H3370,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE HMO, INC.",0:53,0:53,57.5%,43.1,7.6,30.0%,94.2%,0.26,0.21,No data available,78.1%,79.3%,88.6%,99.9%,Not enough data available to calculate measure,13.4%,82.4%,,
H3379,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.",0:35,0:38,64.8%,70.7,2.2,No appeals required review,94.5%,0.29,0.33,No data available,72.5%,77.6%,85.1%,99.6%,97,14.6%,74.7%,,
H3384,Senior Blue,HEALTHNOW NEW YORK INC,0:44,0:39,75.4%,83.3,0.0,44.4%,62.3%,0.15,0.04,No data available,81.4%,76.6%,87.5%,96.3%,Not enough data available to calculate measure,16.1%,80.9%,,
H3387,AmeriChoice Personal Care Plus,"UNITEDHEALTHCARE OF NEW YORK, INC.",0:46,0:40,40.6%,63.1,0.0,Not enough data available to calculate measure,87.5%,0.95,0.78,No data available,72.4%,79.4%,80.9%,99.9%,Not enough data available to calculate measure,12.0%,90.8%,,
H3388,CDPHP Medicare Choices,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",0:59,1:04,91.6%,80.6,0.0,No appeals required review,8.6%,0.09,0.05,No data available,85.7%,85.4%,92.8%,99.5%,95.1,16.2%,83.2%,,
H3404,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,0:08,0:39,83.4%,84.7,15.7,No appeals required review,98.8%,0.54,0.30,No data available,86.9%,81.4%,92.0%,99.5%,Not enough data available to calculate measure,24.3%,83.5%,,
H3405,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:06,76.2%,67.9,14.4,No appeals required review,64.0%,0.45,0.48,No data available,85.6%,83.4%,91.1%,99.9%,98.9,20.4%,87.2%,,
H3410,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H3421,America's 1st Choice Health Plans,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H3449,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,0:10,0:39,83.4%,84.7,30.6,40.0%,94.6%,0.19,0.11,No data available,88.1%,85.2%,93.6%,99.7%,Not enough data available to calculate measure,28.6%,81.6%,,
H3456,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.",0:35,0:38,64.8%,70.7,4.0,54.5%,98.9%,0.29,0.30,55,74.8%,81.9%,89.9%,99.3%,97.7,22.7%,83.2%,,
H3528,"ConnectiCare, Inc.","CONNECTICARE, INC.",0:24,0:43,79.8%,93.8,2.2,Not enough data available to calculate measure,57.1%,0.19,0.13,No data available,77.4%,78.4%,90.0%,91.1%,96.3,15.3%,84.2%,,
H3533,Northeast Community Care,"ARCADIAN HEALTH PLAN OF NEW YORK, INC.",0:45,1:05,74.4%,54.2,0.0,No appeals required review,76.9%,0.00,1.05,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.6%,102.2,18.7%,89.3%,,
H3597,Aetna Medicare,AETNA HEALTH,0:34,0:30,64.0%,50.7,7.4,Not enough data available to calculate measure,96.7%,0.14,0.07,No data available,82.5%,80.2%,91.4%,99.6%,98.7,6.1%,82.6%,,
H3619,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:06,76.2%,67.9,9.7,33.3%,65.4%,0.41,0.36,No data available,78.1%,81.9%,89.6%,99.8%,98.5,20.4%,84.1%,,
H3620,PrimeTime Health Plan,MCKINLEY LIFE INSURANCE COMPANY,0:44,0:47,79.0%,80.6,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,88.6%,83.0%,92.6%,100.0%,96,24.9%,81.6%,,
H3623,Aetna Medicare,"AETNA HEALTH,  INC.",0:34,0:30,64.0%,50.7,21.1,71.4%,96.4%,0.62,0.42,No data available,79.5%,80.5%,87.1%,99.1%,97.7,7.3%,82.1%,,
H3653,Paramount Elite,"PARAMOUNT CARE, INC",0:31,1:15,81.0%,61.1,0.0,No appeals required review,82.8%,0.06,0.03,No data available,85.6%,81.8%,91.8%,99.7%,90.2,23.0%,75.6%,,
H3655,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,0:42,0:53,57.5%,43.1,4.0,36.4%,95.9%,0.16,0.10,59,78.1%,77.3%,86.1%,99.8%,Not enough data available to calculate measure,20.6%,79.5%,,
H3659,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF OHIO, INC.",0:35,0:38,64.8%,70.7,2.9,80.0%,97.5%,0.40,0.20,20,79.0%,82.0%,91.3%,98.3%,97.6,17.6%,81.0%,,
H3660,SummaCare,SUMMACARE INC.,0:20,1:04,72.5%,81.9,0.0,No appeals required review,0.3%,0.10,0.06,No data available,86.7%,85.1%,93.9%,98.7%,86.6,23.0%,81.8%,,
H3664,PrimeTime Health Plan,MCKINLEY LIFE INSURANCE COMPANY,0:44,0:47,79.0%,80.6,0.0,No appeals required review,76.9%,0.03,0.01,No data available,91.1%,85.3%,93.4%,99.9%,96,24.2%,82.1%,,
H3668,MediGold,"MT. CARMEL HEALTH PLAN, INC.",0:20,1:00,89.2%,85.4,0.0,Not enough data available to calculate measure,71.4%,0.07,0.03,No data available,88.7%,87.9%,94.1%,98.9%,95.5,25.9%,82.9%,,
H3672,The Health Plan,HOMETOWN HEALTH PLAN,0:09,0:39,89.1%,79.9,0.0,Not enough data available to calculate measure,50.0%,0.03,0.03,No data available,86.3%,81.3%,91.7%,97.5%,Not enough data available to calculate measure,22.2%,81.5%,,
H3706,Universal American,"GLOBALHEALTH, INC.",0:10,0:26,69.0%,67.4,0.0,No appeals required review,78.1%,0.61,0.23,No data available,65.4%,80.0%,88.6%,99.1%,98.1,30.4%,83.7%,,
H3708,Universal American,"SELECTCARE OF OKLAHOMA, INC.",0:13,0:27,74.2%,65.3,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.4%,Not enough data available to calculate measure,57.8%,68.5%,,
H3749,SecureHorizons by UnitedHealthcare,"PACIFICARE OF OKLAHOMA, INC.",0:33,0:35,64.8%,70.7,3.5,Not enough data available to calculate measure,98.8%,0.18,0.25,20,70.9%,84.7%,91.8%,99.3%,97.2,23.9%,83.1%,,
H3755,CommunityCare Senior Health Plan,"COMMUNITY CARE HMO, INC",0:07,0:57,81.6%,90.3,0.0,No appeals required review,81.4%,0.12,0.09,58,89.0%,83.0%,92.8%,79.9%,97.2,30.1%,86.4%,,
H3805,SecureHorizons by UnitedHealthcare,"PACIFICARE OF OREGON, INC.",0:39,0:36,64.6%,70.5,0.5,Not enough data available to calculate measure,94.4%,0.08,0.21,No data available,78.2%,83.7%,92.7%,98.9%,97.5,15.1%,83.8%,,
H3810,CareSource,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,0:17,0:16,78.0%,90.9,4.5,No appeals required review,0.0%,0.00,0.04,No data available,83.8%,84.0%,90.7%,99.5%,97.3,24.0%,82.0%,,
H3811,Samaritan Advantage Health Plan,"SAMARITAN HEALTH PLANS, INC.",0:43,0:41,75.4%,79.2,4.5,Not enough data available to calculate measure,45.5%,0.06,0.03,No data available,85.7%,80.5%,90.0%,99.6%,98.4,19.4%,86.1%,,
H3812,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:33,0:36,64.6%,70.5,5.8,No appeals required review,100.0%,0.20,0.55,No data available,75.1%,80.6%,89.2%,99.2%,97.4,14.8%,84.6%,,
H3813,"ODS Health Plan, Inc.","ODS HEALTH PLAN, INC.",0:13,0:15,62.0%,53.5,3.5,No appeals required review,40.0%,0.03,0.16,18,78.4%,80.6%,92.0%,57.3%,96,19.0%,88.3%,,
H3814,ATRIO MyAdvantage,ATRIO HEALTH PLANS,0:17,0:33,72.4%,81.3,0.0,No appeals required review,75.6%,0.04,0.08,No data available,85.2%,82.3%,91.3%,99.8%,96.1,24.8%,80.2%,,
H3815,Citizens Choice Healthplan,CITIZENS CHOICE HEALTHPLAN,0:00,1:00,80.7%,77.8,0.0,Not enough data available to calculate measure,95.6%,0.02,0.15,No data available,82.9%,84.4%,87.0%,99.7%,96.5,21.7%,88.7%,,
H3817,Regence BlueCross BlueShield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OR,0:27,0:39,76.7%,79.0,5.6,27.3%,86.7%,0.10,0.05,No data available,88.9%,80.5%,92.0%,99.9%,95.6,22.0%,84.8%,,
H3818,"FamilyCare Health Plans, Inc.","FAMILYCARE HEALTH PLANS, INC.",0:50,1:01,68.5%,71.5,0.0,No appeals required review,0.0%,0.24,0.18,No data available,76.6%,79.5%,85.9%,99.9%,98,20.4%,83.9%,,
H3832,Akamai Advantage,HAWAII MEDICAL SERVICE ASSOCIATION,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H3864,Clear One Health Plans,"CLEAR ONE HEALTH PLANS, INC.",0:31,1:11,78.5%,77.8,1.4,Not enough data available to calculate measure,0.0%,0.31,0.21,No data available,75.6%,80.4%,92.4%,99.5%,96.9,22.1%,85.7%,,
H3887,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:33,0:35,64.8%,70.7,2.2,No appeals required review,97.1%,1.19,0.85,No data available,74.9%,79.6%,84.8%,98.5%,97.4,12.0%,84.7%,,
H3907,UPMC Health Plan,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,0:29,1:15,78.1%,66.0,0.5,Not enough data available to calculate measure,93.6%,0.10,0.07,No data available,78.1%,82.8%,90.0%,98.1%,97.1,17.4%,80.4%,,
H3909,Personal Choice 65,QCC INSURANCE COMPANY,0:06,0:49,80.0%,80.6,0.0,83.3%,55.5%,0.74,0.22,No data available,72.7%,76.2%,87.7%,95.8%,98.3,17.3%,79.6%,,
H3912,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:29,0:38,64.8%,70.7,0.0,No appeals required review,92.9%,0.36,0.36,No data available,78.0%,79.9%,84.9%,99.7%,98.2,18.5%,78.2%,,
H3916,Highmark Inc.,"HIGHMARK, INC.",0:42,0:39,85.7%,91.7,2.1,48.6%,88.8%,0.11,0.13,No data available,84.7%,81.1%,90.9%,99.2%,98.2,16.3%,80.9%,,
H3920,Unison Advantage,"UNISON HEALTH PLAN OF PENNSYLVANIA, INC.",0:23,0:40,40.6%,63.1,0.6,Not enough data available to calculate measure,58.6%,0.53,0.22,20,79.6%,81.0%,90.7%,99.1%,98.6,19.9%,82.4%,,
H3921,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:38,0:38,64.8%,70.7,25.0,No appeals required review,100.0%,0.97,1.35,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.1%,97.7,8.3%,75.7%,,
H3923,Capital Advantage Insurance Company,CAPITAL ADVANTAGE INSURANCE COMPANY,0:28,1:15,79.0%,76.9,4.2,Not enough data available to calculate measure,80.0%,0.25,0.20,No data available,87.1%,82.0%,91.8%,99.7%,97.1,17.7%,81.8%,,
H3924,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,0:21,1:51,67.4%,78.6,0.0,Not enough data available to calculate measure,88.1%,0.34,0.28,No data available,83.9%,81.3%,90.7%,99.0%,Not enough data available to calculate measure,17.5%,81.3%,,
H3931,Aetna Medicare,AETNA HEALTH INC,0:34,0:30,64.0%,50.7,17.8,66.3%,95.6%,0.43,0.20,No data available,80.0%,78.8%,89.4%,98.9%,98,6.3%,83.0%,,
H3949,Bravo Health,BRAVO HEALTH PENNSYLVANIA INC.,0:23,0:39,66.4%,68.8,2.6,56.3%,95.3%,0.43,0.34,No data available,75.3%,82.3%,88.3%,99.5%,98.4,14.8%,84.3%,,
H3952,Keystone 65,"KEYSTONE HEALTH PLAN EAST, INC.",0:19,0:49,80.0%,80.6,0.0,37.0%,77.6%,0.32,0.20,No data available,79.0%,78.2%,89.6%,93.6%,97.5,17.4%,81.3%,,
H3954,Geisinger Gold,GEISINGER HEALTH PLAN,0:21,1:51,67.4%,78.6,0.0,Not enough data available to calculate measure,77.0%,0.09,0.09,No data available,85.6%,85.9%,92.3%,99.7%,Not enough data available to calculate measure,20.6%,77.1%,,
H3957,"Keystone Health Plan West, Inc.","KEYSTONE HEALTH PLAN WEST, INC.",0:31,0:39,85.9%,93.1,1.4,53.6%,87.1%,0.05,0.05,No data available,81.5%,83.6%,91.3%,99.5%,98.1,17.2%,78.4%,,
H3959,HealthAmerica,"HEALTHAMERICA PENNSYLVANIA, INC.",0:33,0:39,69.2%,74.3,0.8,20.0%,92.2%,0.14,0.12,No data available,80.1%,82.3%,90.8%,99.7%,Not enough data available to calculate measure,15.4%,78.4%,,
H3962,"Keystone Health Plan Central, Inc.","KEYSTONE HEALTH PLAN CENTRAL,INC.",0:45,1:15,79.0%,76.9,3.0,Not enough data available to calculate measure,54.3%,0.07,0.03,No data available,81.9%,82.8%,92.4%,99.8%,97.3,19.2%,79.1%,,
H3964,Bravo Health,"BRAVO HEALTH PENNSYLVANIA, INC.",0:23,0:39,64.8%,66.7,0.5,50.0%,95.5%,0.18,0.15,No data available,72.9%,81.0%,85.3%,100.0%,99.8,19.9%,87.6%,,
H4003,Medicare y Mucho Más,"MMM HEALTHCARE, INC.",0:42,1:13,67.5%,48.6,11.7,60.5%,0.0%,0.07,0.11,No data available,77.9%,88.0%,85.4%,Not enough data available to calculate measure,89.9,32.4%,86.9%,,
H4004,"Preferred Medicare Choice, Inc.","PREFERRED MEDICARE CHOICE, INC.",0:21,1:13,71.3%,44.4,6.0,44.4%,0.0%,0.05,0.05,No data available,77.5%,89.1%,85.3%,Not enough data available to calculate measure,89.7,39.2%,87.3%,,
H4005,"Triple-S Salud, Inc.","TRIPLE-S SALUD,  INC.",0:52,2:58,58.7%,40.3,0.0,Not enough data available to calculate measure,24.5%,0.12,0.28,No data available,67.0%,77.0%,81.0%,Not enough data available to calculate measure,98.3,30.8%,88.8%,,
H4006,MCS Classicare,MCS ADVANTAGE INC.,1:03,1:12,66.7%,9.0,0.0,85.7%,91.9%,0.22,0.33,5,79.4%,83.3%,84.4%,Not enough data available to calculate measure,96.2,30.5%,86.4%,,
H4007,Humana Health Plans Of Puerto Rico Inc,HUMANA HEALTH PLANS OF PUERTO RICO INC,1:16,1:07,80.0%,66.7,0.9,No appeals required review,68.2%,0.22,0.34,No data available,79.3%,91.1%,87.3%,Not enough data available to calculate measure,97.9,31.1%,87.2%,,
H4011,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.",0:37,0:16,72.5%,28.0,0.0,Not enough data available to calculate measure,70.1%,0.11,0.08,35,78.5%,86.8%,87.0%,Not enough data available to calculate measure,96.6,31.1%,90.0%,,
H4012,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",0:52,2:58,58.7%,40.3,0.4,Not enough data available to calculate measure,19.4%,0.17,0.17,No data available,77.9%,87.4%,85.2%,Not enough data available to calculate measure,98.5,37.6%,90.1%,,
H4036,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",0:43,0:50,57.5%,43.1,0.0,Not enough data available to calculate measure,96.9%,0.70,0.45,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,Not enough data available to calculate measure,15.3%,73.0%,,
H4102,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",0:38,0:38,64.8%,70.7,1.7,Not enough data available to calculate measure,98.7%,0.10,0.17,No data available,81.7%,81.8%,92.2%,99.1%,98.1,12.0%,81.2%,,
H4125,Arcadian Health Plan,ARCADIAN HEALTH PLAN,0:47,1:07,74.4%,54.2,0.0,No appeals required review,80.0%,0.26,0.52,No data available,82.9%,82.1%,91.3%,99.7%,99.5,26.1%,84.1%,,
H4141,"Humana Employers Health Plan of Georgia, Inc.","HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",1:02,1:06,76.2%,67.9,Plan too new to be measured,Not enough data available to calculate measure,72.7%,1.69,0.75,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4152,Blue Cross & Blue Shield of Rhode Island,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,0:47,1:00,74.8%,13.9,27.4,56.0%,44.8%,0.31,0.12,No data available,81.0%,77.5%,89.2%,98.6%,97.3,15.8%,82.8%,,
H4155,JMH Health Plan,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,0:22,1:27,75.6%,61.8,Plan too new to be measured,No appeals required review,16.7%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,90.1%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4209,Blue Cross Blue Shield of South Carolina,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,0:11,1:00,82.7%,52.8,9.1,Not enough data available to calculate measure,90.2%,0.40,0.69,17,76.5%,75.1%,87.3%,98.7%,96.1,22.6%,82.8%,,
H4213,Arkansas Blue Cross - Medi-Pak Advantage,"ARKANSAS BCBS, A MUTUAL INSURANCE COMPANY",0:30,1:03,77.0%,92.4,Plan too new to be measured,Not enough data available to calculate measure,100.0%,0.44,0.29,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.1%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4268,America's 1st Choice Insurance Company of NC,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4270,UCare,"UCARE WISCONSIN, INC.",0:13,1:12,90.3%,89.5,0.0,Not enough data available to calculate measure,92.1%,0.03,0.03,No data available,88.5%,84.1%,93.3%,98.6%,Not enough data available to calculate measure,12.8%,83.4%,,
H4346,CareMore Health Plan of Nevada,CAREMORE HEALTH PLAN OF NEVADA,0:21,0:34,78.9%,84.0,Plan too new to be measured,Not enough data available to calculate measure,10.5%,0.14,1.30,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4406,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF TENNESSEE, INC.",0:27,0:35,64.8%,70.7,12.2,No appeals required review,100.0%,0.48,1.03,No data available,79.1%,83.3%,91.8%,99.8%,97.7,17.8%,85.0%,,
H4407,"Healthspring, Inc.","HEALTHSPRING OF TENNESSEE, INC.",0:33,0:48,78.6%,84.0,5.4,Not enough data available to calculate measure,77.4%,0.40,0.30,No data available,83.7%,83.2%,91.7%,98.3%,97.5,31.3%,86.9%,,
H4408,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,8.6,Not enough data available to calculate measure,73.9%,0.84,0.42,No data available,84.0%,81.5%,90.8%,99.8%,98.8,23.5%,84.3%,,
H4454,Healthspring,"HEALTHSPRING OF TENNESSEE, INC.",0:33,0:48,78.6%,84.0,6.0,40.0%,83.7%,0.11,0.10,No data available,84.9%,86.1%,93.7%,98.2%,95.9,29.1%,84.3%,,
H4456,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",0:36,0:35,63.6%,71.4,7.3,Not enough data available to calculate measure,97.6%,0.36,0.40,52,78.9%,83.0%,92.0%,99.1%,97.3,21.6%,82.3%,,
H4461,"Cariten Health Plan, Inc.",CARITEN HEALTH PLAN IN,1:17,1:06,76.2%,67.9,4.3,27.3%,59.3%,0.46,0.21,No data available,89.2%,83.9%,93.3%,99.8%,95.3,30.1%,82.2%,,
H4506,Universal American,"SELECTCARE OF TEXAS, L.L.C.",0:14,0:21,69.0%,67.4,1.2,Not enough data available to calculate measure,90.7%,0.24,0.23,No data available,79.3%,88.1%,91.4%,99.8%,97.9,29.8%,86.6%,,
H4510,"Humana Health Plan of Texas, Inc.","HUMANA HEALTH PLAN OF TEXAS,INC.",1:06,1:09,76.2%,67.9,6.8,28.6%,59.4%,0.25,0.18,No data available,76.4%,85.7%,88.9%,99.8%,98.2,29.4%,87.1%,,
H4513,HealthSpring,"TEXAS HEALTHSPRING,  LLC",0:23,0:48,78.6%,84.0,3.5,66.7%,72.9%,0.21,0.13,No data available,79.6%,86.3%,91.3%,97.4%,96.2,30.2%,87.2%,,
H4514,Evercare® by UnitedHealthcare,"EVERCARE OF TEXAS, LLC",0:35,0:35,64.8%,70.7,2.5,Not enough data available to calculate measure,94.9%,0.37,0.43,No data available,75.1%,81.3%,86.3%,99.8%,97.4,28.2%,85.4%,,
