Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievances - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan - DMC15,Timely Receipt of Case Files - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Call Center – Information Accuracy - DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Atypical Antipsychotic Rate - DMD13
H5696,"PHYSICIANS UNITED PLAN, INC.","IDJB Investments, LLC",Local CCP,25%,64%,57%,87%,96%,78%,30%,85%,0:37,87%,60%,95%,1.83,62.5%,2.50%,100.00%,No data available,2.50%,0:37,72.89%,5.8%,0.0%,99.70%,100%,99,1.83,4.0%,No Data Available
H5698,"WINDSOR HEALTH PLAN, INC.",Munich American Holding Corporation,Local CCP,32%,78%,44%,86%,90%,62%,32%,90%,0:52,90%,64%,93%,Not enough data available,Data issues found,0.56%,100.00%,100.00%,0.56%,0:52,80.00%,8.6%,0.3%,100.00%,100%,98,No data available,1.8%,34.38%
H5700,"ARKANSAS COMMUNITY CARE, INC.",Humana Inc.,Local CCP,25%,81%,42%,77%,88%,62%,26%,91%,0:45,86%,68%,92%,Not enough data available,22.2%,0.00%,100.00%,No data available,0.00%,0:45,72.14%,8.8%,1.1%,100.00%,100%,No Data Available,No data available,55.7%,33.33%
H5703,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:18,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,Data issues found,0.83%,No data available,100.00%,0.83%,0:18,Plan not required to report measure,7.2%,2.1%,86.60%,100%,98,No data available,6.7%,No data available
H5732,"TRIPLE-S SALUD, INC.",Triple-S Management Corporation,Local CCP,Not enough data available,86%,35%,Not enough data available,89%,83%,51%,94%,0:33,79%,31%,94%,0.07,Plan not required to report measure,8.50%,0.00%,No data available,8.50%,0:33,67.62%,4.3%,0.1%,No data available,100%,99,0.07,No Data Available,No data available
H5746,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC.",AMERIGROUP Corporation,Local CCP,Not enough data available,88%,Not enough data available,Not enough data available,88%,70%,33%,88%,0:29,81%,69%,94%,4.60,68.0%,2.40%,No data available,No data available,2.40%,0:29,78.09%,5.0%,0.7%,99.90%,100%,99,4.60,6.6%,No Data Available
H5749,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,90%,78%,Not enough data available,89%,0:24,86%,76%,94%,6.70,Plan not required to report measure,0.21%,No data available,No data available,0.21%,0:24,74.60%,5.3%,1.2%,99.80%,100%,99,6.70,0.5%,38.89%
H5750,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:21,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,68.3%,1.67%,100.00%,No data available,1.67%,0:21,Plan not required to report measure,1.8%,4.2%,99.50%,100%,98,No data available,No Data Available,No data available
H5774,"AMERICAN HEALTH, INC.",Triple-S Management Corporation,Local CCP,69%,88%,33%,70%,91%,59%,19%,93%,0:10,85%,20%,98%,Not enough data available,79.9%,2.00%,100.00%,No data available,2.00%,0:10,77.74%,6.0%,1.4%,No data available,100%,100,No data available,Data issues found,No data available
H5779,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5782,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,Local CCP,Not enough data available,86%,45%,Not enough data available,84%,59%,29%,93%,0:28,Plan not required to report measure,61%,94%,1.21,44.8%,0.00%,100.00%,No data available,0.00%,0:28,Plan not required to report measure,7.0%,1.5%,99.70%,96%,99,1.21,5.1%,7.69%
H5783,"ARCADIAN HEALTH PLAN, INC.",Humana Inc.,Local CCP,37%,81%,54%,Not enough data available,90%,66%,43%,93%,0:44,86%,66%,94%,Not enough data available,14.2%,0.00%,No data available,No data available,0.00%,0:44,72.14%,7.3%,1.3%,100.00%,100%,No Data Available,No data available,46.0%,16.00%
H5793,"AETNA HEALTH, INC. (CT)",Aetna Inc.,Local CCP,Not enough data available,93%,Not enough data available,Not enough data available,92%,79%,Not enough data available,91%,0:22,90%,69%,97%,11.49,Plan not required to report measure,0.77%,100.00%,No data available,0.77%,0:22,83.60%,5.0%,0.6%,99.90%,100%,99,11.49,36.0%,No Data Available
H5810,MOLINA HEALTHCARE OF CALIFORNIA,"Molina Healthcare, Inc.,",Local CCP,36%,85%,37%,Not enough data available,76%,41%,Not enough data available,84%,0:18,85%,46%,85%,5.58,Data issues found,2.50%,100.00%,No data available,2.50%,0:18,76.16%,4.4%,0.8%,99.90%,100%,98,5.58,5.2%,No data available
H5811,SCAN HEALTH PLAN,SCAN Health Plan,Local CCP,Not enough data available,86%,45%,Not enough data available,92%,54%,25%,89%,0:19,93%,73%,97%,Not enough data available,Data issues found,0.28%,50.00%,No data available,0.28%,0:19,79.77%,5.4%,0.9%,100.00%,100%,98,No data available,No Data Available,No Data Available
H5813,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Not enough data available,93%,Not enough data available,Not enough data available,87%,79%,Not enough data available,91%,0:22,90%,71%,96%,13.63,Plan not required to report measure,0.77%,100.00%,No data available,0.77%,0:22,83.60%,6.1%,0.8%,99.90%,100%,99,13.63,36.4%,No Data Available
H5817,"AMERIGROUP TEXAS, INC.",AMERIGROUP Corporation,Local CCP,54%,88%,35%,88%,91%,55%,27%,87%,0:29,81%,60%,91%,4.01,66.5%,2.22%,33.33%,100.00%,2.22%,0:29,78.09%,5.5%,1.7%,99.90%,100%,98,4.01,5.8%,34.78%
H5820,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"Universal Health Care Group, Inc.",PFFS,39%,89%,45%,77%,89%,67%,28%,90%,0:22,88%,64%,93%,0.02,Plan not required to report measure,0.26%,100.00%,No data available,0.00%,0:31,66.29%,6.8%,1.1%,99.90%,96%,100,0.02,3.6%,24.00%
H5821,MAPFRE LIFE INSURANCE COMPANY,MAPFRE PRAICO CORPORATION,Local CCP,6%,79%,40%,77%,91%,74%,36%,93%,0:13,69%,15%,94%,0.06,Plan not required to report measure,2.52%,No data available,No data available,2.52%,0:13,82.89%,5.8%,1.5%,No data available,100%,100,0.06,1.1%,No Data Available
H5823,"MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare, Inc.,",Local CCP,33%,85%,68%,Not enough data available,89%,57%,Not enough data available,88%,0:15,85%,61%,94%,4.35,Data issues found,0.00%,100.00%,100.00%,0.00%,0:15,76.16%,7.6%,2.0%,99.90%,100%,98,4.35,7.9%,31.25%
H5826,COMMUNITY HEALTH PLAN OF WASHINGTON,Community Health Plan of Washington,Local CCP,33%,72%,54%,83%,90%,68%,20%,87%,0:45,85%,63%,91%,62.71,29.6%,0.00%,100.00%,No data available,0.00%,0:45,72.97%,6.5%,1.6%,99.70%,100%,98,62.71,12.8%,11.11%
H5832,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:22,90%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.82%,No data available,No data available,0.82%,0:22,83.60%,13.2%,0.0%,100.00%,100%,94,No data available,No Data Available,No data available
H5850,"COVENTRY SUMMIT HEALTH PLAN, INC.",Coventry Health Care Inc.,Local CCP,56%,79%,58%,92%,95%,67%,30%,90%,0:24,87%,47%,94%,2.90,54.6%,1.00%,100.00%,100.00%,0.50%,0:10,89.30%,6.8%,0.6%,99.00%,100%,99,2.90,8.4%,27.27%
H5852,AIDS HEALTHCARE FOUNDATION,AIDS Healthcare Foundation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,92%,0:21,Plan not required to report measure,86%,Plan too small to be measured,Not enough data available,Data issues found,1.67%,No data available,No data available,1.67%,0:29,Plan not required to report measure,33.1%,4.4%,99.80%,100%,99,No data available,70.9%,No data available
H5854,"ANTHEM HEALTH PLANS, INC","WellPoint, Inc.",Local CCP,Not enough data available,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available,89%,81%,61%,89%,1:10,88%,65%,96%,Not enough data available,Plan not required to report measure,1.67%,No data available,No data available,1.67%,1:10,63.54%,4.3%,0.9%,99.90%,100%,98,No data available,2.9%,No Data Available
H5859,"HEALTH PLAN OF CAREOREGON, INC.","CareOregon, Inc.",Local CCP,73%,79%,55%,Not enough data available,90%,67%,26%,89%,0:22,84%,67%,93%,2.47,21.5%,0.00%,83.33%,No data available,0.00%,0:22,82.28%,6.2%,1.7%,99.80%,100%,98,2.47,No data available,24.49%
H5868,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,69%,98%,69%,90%,88%,73%,Not enough data available,91%,0:40,89%,77%,95%,1.02,Plan not required to report measure,0.41%,66.67%,100.00%,0.41%,0:40,87.13%,6.3%,1.3%,100.00%,100%,99,1.02,2.9%,20.20%
H5883,BLUE CARE NETWORK OF MICHIGAN,Blue Cross Blue Shield of Michigan,Local CCP,73%,77%,72%,90%,92%,83%,42%,90%,0:28,88%,73%,96%,0.75,Plan not required to report measure,0.00%,100.00%,No data available,0.00%,0:28,87.64%,6.1%,1.0%,99.90%,100%,100,0.75,10.8%,17.05%
H5884,BLUECROSS BLUESHIELD OF TENNESSEE,BlueCross BlueShield of Tennessee,PFFS,Not enough data available,74%,Not enough data available,Not enough data available,94%,85%,45%,92%,1:29,90%,68%,97%,0.87,Plan not required to report measure,1.06%,No data available,No data available,1.06%,1:29,75.74%,8.4%,2.2%,100.00%,100%,99,0.87,No data available,No Data Available
H5887,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.",Local CCP,Not enough data available,94%,24%,Not enough data available,92%,61%,33%,94%,0:30,84%,16%,94%,Not enough data available,Data issues found,3.33%,No data available,No data available,3.33%,0:30,73.88%,5.4%,1.4%,No data available,100%,98,No data available,Data issues found,No data available
H5896,"AMERIGROUP MARYLAND, INC.",AMERIGROUP Corporation,Local CCP,35%,88%,Not enough data available,Not enough data available,90%,36%,35%,90%,0:28,81%,57%,96%,7.34,66.6%,2.00%,No data available,100.00%,2.00%,0:28,78.09%,7.2%,1.2%,99.90%,100%,98,7.34,10.9%,No Data Available
H5926,MOLINA HEALTHCARE OF MICHIGAN,"Molina Healthcare, Inc.,",Local CCP,35%,87%,39%,97%,86%,61%,36%,87%,0:18,85%,59%,94%,6.43,Data issues found,0.83%,100.00%,100.00%,0.83%,0:18,76.16%,6.4%,0.7%,99.90%,100%,98,6.43,7.5%,No Data Available
H5928,CARE1ST HEALTH PLAN,Care1st Health Plan,Local CCP,Not enough data available,73%,33%,80%,91%,56%,39%,Not enough data available,0:32,90%,51%,92%,2.31,37.0%,2.50%,66.67%,100.00%,2.50%,0:32,77.88%,4.7%,1.5%,86.30%,100%,99,2.31,15.2%,20.00%
H5932,"GATEWAY HEALTH PLAN, INC.",Gateway Health Plan,Local CCP,38%,88%,39%,87%,90%,57%,25%,Not enough data available,0:06,Plan not required to report measure,63%,93%,Not enough data available,34.0%,0.00%,100.00%,No data available,0.00%,0:06,Plan not required to report measure,7.5%,0.5%,99.80%,100%,99,No data available,55.1%,27.06%
H5938,CAPITAL HEALTH PLAN,Blue Cross and Blue Shield of Florida,Local CCP,91%,93%,61%,79%,94%,89%,57%,92%,0:06,90%,80%,98%,1.81,Plan not required to report measure,0.00%,100.00%,100.00%,0.00%,0:06,90.07%,7.1%,1.8%,100.00%,96%,99,1.81,9.8%,37.04%
H5943,SCAN HEALTH PLAN,SCAN Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:34,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,Data issues found,0.00%,100.00%,No data available,0.00%,0:34,Plan not required to report measure,9.8%,0.0%,99.90%,100%,98,No data available,66.7%,No Data Available
H5950,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:22,90%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.82%,No data available,No data available,0.82%,0:22,83.60%,No Data Available,No Data Available,100.00%,100%,No Data Available,No data available,No data available,No data available
H5969,ALOHACARE,AlohaCare,Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,89%,57%,Not enough data available,88%,0:27,69%,58%,92%,0.36,49.9%,6.67%,No data available,No data available,6.67%,0:27,75.90%,7.4%,1.0%,98.10%,96%,99,0.36,4.4%,No Data Available
H5970,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,Local CCP,Not enough data available,98%,Not enough data available,Not enough data available,92%,82%,Not enough data available,90%,0:41,89%,69%,95%,2.17,Plan not required to report measure,0.38%,100.00%,No data available,0.38%,0:41,87.13%,7.4%,0.7%,99.50%,100%,99,2.17,2.7%,No Data Available
H5980,"FIDELIS SECURECARE OF TEXAS, INC.","Fidelis SeniorCare, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:17,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,98.2%,0.00%,No data available,No data available,0.00%,0:17,Plan not required to report measure,13.9%,No Data Available,99.70%,88%,No Data Available,No data available,No Data Available,31.87%
H5985,ABRAZO ADVANTAGE HEALTH PLAN,Vanguard Health Systems,Local CCP,65%,88%,Not enough data available,Not enough data available,94%,65%,40%,87%,0:06,92%,58%,92%,2.64,Data issues found,0.83%,No data available,No data available,0.83%,0:06,88.79%,7.5%,0.7%,98.60%,100%,101,2.64,8.8%,No Data Available
H5989,"CENTERLIGHT HEALTHCARE, INC.","CenterLight Health System, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:14,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,92.5%,0.00%,No data available,No data available,0.00%,0:14,Plan not required to report measure,4.5%,3.3%,99.80%,100%,99,No data available,0.0%,17.07%
H5991,"AFFINITY HEALTH PLAN, INC.",Affinity Health Plan,Local CCP,60%,0 - Plan reported a Biased Rate,42%,Not enough data available,81%,68%,Not enough data available,91%,0:18,Plan not required to report measure,41%,93%,Not enough data available,16.0%,0.00%,100.00%,No data available,0.00%,0:25,Plan not required to report measure,5.7%,0.5%,99.90%,100%,98,No data available,8.6%,No Data Available
H5992,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,62%,Plan too small to be measured,89%,0:20,Plan not required to report measure,73%,Plan too small to be measured,Not enough data available,Data issues found,1.67%,No data available,No data available,1.67%,0:20,Plan not required to report measure,7.2%,0.0%,99.80%,100%,No Data Available,No data available,5.4%,No Data Available
H5995,ATRIO HEALTH PLANS,ATRIO Health Plans,Local CCP,79%,0 - Plan reported a Biased Rate,63%,Not enough data available,90%,54%,19%,Not enough data available,0:10,86%,67%,93%,0.51,38.7%,0.83%,No data available,No data available,0.83%,0:10,86.14%,7.9%,1.9%,99.00%,100%,98,0.51,1.1%,26.58%
H6050,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,92%,Not enough data available,Not enough data available,90%,Plan too small to be measured,Not enough data available,Plan not required to report measure,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
H6052,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",1876 Cost,Not enough data available,81%,79%,Not enough data available,93%,Not enough data available,Not enough data available,93%,Not enough data available,Not enough data available,83%,90%,Not enough data available,Plan not required to report measure,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
H6132,"SELECT HEALTH OF SOUTH CAROLINA, INC.",Independence Blue Cross,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6169,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,PFFS,43%,93%,50%,86%,89%,Not enough data available,28%,91%,0:11,89%,68%,93%,2.07,Plan not required to report measure,0.44%,100.00%,No data available,0.44%,0:11,71.63%,7.4%,1.6%,99.80%,100%,No Data Available,2.07,No data available,25.35%
H6178,CARESOURCE,CareSource Management Group Co.,Local CCP,,,,,,Not enough data available,,Not enough data available,0:52,Plan not required to report measure,61%,,34.83,61.3%,0.00%,100.00%,100.00%,0.00%,0:52,Plan not required to report measure,5.6%,0.8%,99.10%,100%,101,34.83,4.1%,No Data Available
H6181,"AMERIGROUP NEW YORK, LLC",AMERIGROUP Corporation,Local CCP,Not enough data available,87%,Not enough data available,Not enough data available,93%,63%,Not enough data available,89%,0:28,81%,37%,92%,3.40,68.8%,2.00%,No data available,100.00%,2.00%,0:28,78.09%,6.6%,1.4%,99.60%,100%,98,3.40,6.4%,No data available
H6264,"HEALTHPLUS PHSP, INC.",AMERIGROUP Corporation,Local CCP,53%,75%,Not enough data available,Not enough data available,93%,58%,Not enough data available,Not enough data available,0:27,84%,42%,93%,3.97,41.8%,0.00%,No data available,No data available,0.00%,0:27,78.33%,3.6%,1.1%,99.70%,100%,99,3.97,12.3%,No Data Available
H6306,FIRSTCAROLINACARE INSURANCE COMPANY,"FirstHealth of the Carolinas, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6328,"CARE N' CARE INSURANCE COMPANY, INC.",North Texas Specialty Physicians,Local CCP,Not enough data available,80%,Not enough data available,Not enough data available,94%,82%,Not enough data available,92%,0:05,85%,80%,97%,1.11,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:32,78.01%,7.0%,0.4%,97.80%,100%,98,1.11,Data issues found,No data available
H6360,KAISER FOUNDATION HP OF OHIO,"Kaiser Foundation Health Plan, Inc.",1876 Cost,72%,40%,55%,99%,94%,73%,54%,91%,Not enough data available,Not enough data available,81%,92%,1.49,Plan not required to report measure,Not enough data available,No data available,No data available,No data available,No data available,No data available,4.5%,1.1%,99.10%,96%,99,1.49,51.6%,24.79%
H6411,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available,98%,52%,Not enough data available,87%,66%,Not enough data available,88%,0:41,89%,69%,91%,1.76,Plan not required to report measure,0.45%,0.00%,100.00%,0.45%,0:41,87.13%,6.8%,1.4%,99.90%,100%,100,1.76,0.9%,No Data Available
H6528,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",Local CCP,,,,,,Not enough data available,,90%,0:15,91%,47%,,0.89,Not enough data available,0.00%,100.00%,No data available,0.45%,0:33,81.40%,5.0%,0.0%,99.30%,92%,100,0.89,2.6%,No Data Available
H6609,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,57%,98%,68%,84%,90%,79%,33%,90%,0:40,89%,78%,95%,1.24,Plan not required to report measure,0.41%,100.00%,100.00%,0.41%,0:40,87.13%,6.0%,0.8%,99.60%,100%,100,1.24,4.0%,15.53%
H6622,HUMANA WISCONSINHEALTH ORGANIZATION INSURANCE CORP,Humana Inc.,Local CCP,Not enough data available,98%,Not enough data available,Not enough data available,92%,Not enough data available,Not enough data available,92%,0:40,89%,85%,96%,1.95,Plan not required to report measure,0.41%,100.00%,No data available,0.41%,0:40,87.13%,5.7%,1.0%,100.00%,100%,100,1.95,4.1%,No Data Available
H6642,"UNIVERSAL HMO OF TEXAS, INC.","Universal Health Care Group, Inc.",Local CCP,Not enough data available,89%,Not enough data available,Not enough data available,91%,75%,Not enough data available,88%,0:22,88%,64%,91%,0.27,Not enough data available,0.20%,100.00%,No data available,0.00%,0:30,66.29%,4.2%,1.7%,97.50%,96%,99,0.27,2.6%,No Data Available
H6705,"UNIVERSAL HEALTH CARE OF NEVADA, INC.","Universal Health Care Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:22,88%,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,0.26%,No data available,No data available,0.00%,0:31,66.29%,No Data Available,0.0%,99.70%,96%,100,No data available,No Data Available,No data available
H6743,ATRIO HEALTH PLANS,ATRIO Health Plans,Local CCP,Not enough data available,91%,Not enough data available,Not enough data available,90%,Not enough data available,Not enough data available,90%,0:09,88%,74%,93%,3.09,Plan not required to report measure,0.83%,No data available,No data available,0.83%,0:09,80.86%,7.9%,2.0%,99.30%,100%,99,3.09,2.2%,No data available
H6786,"ANTHEM HEALTH PLANS OF MAINE, INC.","WellPoint, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6801,"AHS - TULSA OKLAHOMA HEALTH PLAN, INC",Ardent Health Services.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,0.63%,0:41,74.36%,No data available,No data available,79.40%,100%,No data available,No data available,No data available,No data available
H6815,HEALTH NET HEALTH PLAN OF OREGON,"Health Net, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:29,84%,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,0.00%,No data available,No data available,0.00%,0:29,77.27%,No Data Available,No Data Available,100.00%,100%,No Data Available,No data available,No Data Available,No data available
H6864,"GUILDNET, INC.",Jewish Guild for the Blind,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:30,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,99.7%,0.84%,No data available,No data available,0.83%,0:26,Plan not required to report measure,3.3%,0.0%,100.00%,100%,99,No data available,No Data Available,No Data Available
H6881,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:08,89%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.63%,No data available,No data available,0.63%,0:08,84.48%,No Data Available,No Data Available,100.00%,100%,99,No data available,No Data Available,No data available
H6900,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,66%,98%,67%,84%,90%,69%,Not enough data available,90%,0:41,89%,70%,95%,1.57,Plan not required to report measure,0.38%,100.00%,No data available,0.38%,0:41,87.13%,6.4%,0.7%,99.90%,100%,99,1.57,1.6%,42.86%
H6923,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,78%,Plan too small to be measured,Not enough data available,0:21,90%,Not enough data available,Plan too small to be measured,16.43,Plan not required to report measure,0.89%,100.00%,No data available,0.89%,0:21,83.60%,11.9%,2.7%,100.00%,100%,99,16.43,No Data Available,No Data Available
