CY2014 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievance Rate - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan  - DMC15,Pharmacotherapy Management of COPD Exacerbation - Systemic Corticosteroid - DMC16,Pharmacotherapy Management of COPD Exacerbation - Bronchodilator - DMC17,Initiation of Alcohol or other Drug Treatment - DMC18,Engagement of Alcohol or other Drug Treatment - DMC19,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time- DMD04,Call Center – Information Accuracy- DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD13,Getting Information from Drug Plan - DMD14,Call Center—Pharmacy Hold Time measures - DMD15,Plan Submitted Higher Prices for Display on MPF - DMD16,Enrollment Timeliness - DME01
H4211,"AMGP GEORGIA MANAGED CARE COMPANY, INC.","WellPoint, Inc.",Local CCP,Not enough data available,83%,Not enough data available,Not enough data available,84%,No data available,Not enough data available,No data available,0:14,87%,No data available,86%,No data available,Plan not required to report measure,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:14,85%,0.0%,0.00%,100.00%,100%,115,No Data Available,No data available,No data available,No data available,0:23,98,No data available
H4213,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,PFFS,34%,90%,59%,84%,88%,72%,27%,88%,0:14,90%,67%,94%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,74%,69%,29%,2%,80%,100.00%,0.50%,0:15,94%,8.4%,0.79%,100.00%,100%,100,CMS Found Issues with Plan's Data,42.5%,31.82%,Not enough data available,0:20,98,96%
H4227,"VISTA HEALTH PLAN, INC.",Independence Blue Cross,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available
H4268,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",PFFS,Not enough data available,90%,52%,Not enough data available,92%,66%,Not enough data available,91%,0:06,85%,68%,94%,0.27,Plan not required to report measure,2.50%,Not enough data available,Not enough data available,56%,5%,No data available,No data available,2.50%,0:06,89%,4.5%,1.04%,100.00%,100%,101,0.27,11.7%,No data available,Not enough data available,0:06,97,100%
H4270,"UCARE HEALTH, INC.",UCare Minnesota,Local CCP,Not enough data available,83%,62%,Not enough data available,91%,77%,34%,93%,0:13,81%,76%,96%,0.15,Plan not required to report measure,0.00%,94%,91%,52%,2%,No data available,No data available,0.00%,0:13,91%,5.7%,2.42%,99.80%,100%,99,0.15,17.7%,15.63%,89%,0:19,97,89%
H4279,"UPMC FOR YOU, INC",University of Pittsburgh Medical Center,Local CCP,79%,80%,Not enough data available,Not enough data available,91%,No data available,26%,93%,0:17,Plan not required to report measure,69%,97%,1.79,Plan not required to report measure,0.00%,68%,93%,45%,4%,67%,100.00%,0.00%,0:17,Plan not required to report measure,8.6%,0.47%,99.70%,100%,99,1.79,6.8%,23.08%,84%,0:24,96,No data available
H4337,"COVENTRY HEALTH CARE OF VIRGINIA, INC.",Aetna Inc.,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4346,CAREMORE HEALTH PLAN OF NEVADA,"WellPoint, Inc.",Local CCP,55%,90%,62%,Not enough data available,95%,78%,48%,87%,0:32,83%,68%,96%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,0.38%,67%,85%,8%,1%,100%,No data available,0.51%,0:38,81%,6.4%,0.48%,99.80%,84%,98,CMS Found Issues with Plan's Data,12.5%,No data available,84%,0:03,99,98%
H4406,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",Local CCP,56%,76%,62%,82%,90%,60%,39%,89%,0:16,83%,58%,94%,6.26,Plan not required to report measure,2.66%,67%,82%,36%,3%,50%,No data available,2.66%,0:16,82%,8.1%,1.34%,99.80%,100%,100,6.26,1.0%,No data available,Not enough data available,0:16,98,98%
H4407,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,Local CCP,18%,82%,48%,Not enough data available,91%,71%,50%,92%,0:14,85%,70%,97%,4.04,CMS Found Issues with Plan’s Data,0.82%,67%,77%,34%,2%,100%,No data available,0.82%,0:14,76%,7.4%,1.27%,99.70%,100%,100,4.04,53.5%,No data available,Not enough data available,0:07,98,92%
H4408,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,60%,95%,64%,87%,93%,74%,39%,91%,0:20,87%,69%,97%,0.98,Plan not required to report measure,1.24%,68%,75%,34%,3%,100%,No data available,1.24%,0:20,92%,8.1%,1.21%,99.90%,100%,100,0.98,12.3%,31.58%,84%,0:10,97,96%
H4454,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,Local CCP,57%,82%,57%,90%,95%,81%,42%,92%,0:14,85%,77%,97%,2.70,CMS Found Issues with Plan’s Data,0.82%,70%,80%,30%,2%,100%,No data available,0.82%,0:14,72%,8.3%,1.29%,99.70%,100%,100,2.70,51.0%,27.74%,Not enough data available,0:07,98,95%
H4456,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",Local CCP,65%,76%,56%,87%,92%,75%,31%,91%,0:16,83%,68%,95%,3.16,Plan not required to report measure,2.66%,72%,76%,44%,5%,100%,75.00%,2.66%,0:16,82%,7.6%,1.46%,99.90%,100%,99,3.16,2.0%,20.25%,Not enough data available,0:16,98,97%
H4461,CARITEN HEALTH PLAN INC.,Humana Inc.,Local CCP,61%,95%,59%,90%,95%,75%,36%,92%,0:20,87%,80%,98%,CMS Found Issues with Plan’s Data,18.0%,1.15%,72%,80%,36%,2%,100%,100.00%,1.15%,0:20,92%,8.5%,1.20%,99.90%,100%,100,CMS Found Issues with Plan's Data,11.8%,36.96%,85%,0:11,98,96%
H4465,"INDEPENDENCE CARE SYSTEM, INC.",Paraprofessional Healthcare Institute,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4506,"SELECTCARE OF TEXAS, INC.",Universal American Corp.,Local CCP,58%,81%,64%,95%,95%,82%,34%,90%,0:06,90%,73%,95%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,69%,83%,27%,1%,100%,100.00%,0.00%,0:06,88%,8.7%,0.68%,99.90%,100%,98,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,31.43%,Not enough data available,0:20,98,98%
H4510,"HUMANA HEALTH PLAN OF TEXAS, INC.",Humana Inc.,Local CCP,49%,95%,51%,86%,95%,75%,30%,Not enough data available,0:20,87%,78%,95%,CMS Found Issues with Plan’s Data,16.5%,1.24%,66%,80%,42%,3%,100%,100.00%,1.24%,0:20,92%,6.1%,0.96%,99.90%,100%,100,CMS Found Issues with Plan's Data,9.0%,22.60%,Not enough data available,0:10,98,96%
H4513,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Local CCP,51%,82%,48%,89%,95%,78%,50%,89%,0:14,82%,73%,96%,4.39,CMS Found Issues with Plan’s Data,0.82%,70%,80%,31%,3%,100%,100.00%,0.82%,0:14,71%,8.0%,1.42%,99.30%,100%,99,4.39,43.8%,28.95%,Not enough data available,0:07,98,93%
H4514,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, LLC","UnitedHealth Group, Inc.",Local CCP,73%,76%,52%,86%,90%,62%,33%,Not enough data available,0:18,83%,58%,93%,5.75,35.6%,2.28%,64%,82%,34%,4%,100%,No data available,2.28%,0:18,82%,6.9%,1.33%,99.90%,100%,100,5.75,1.9%,30.00%,Not enough data available,0:16,99,97%
H4520,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,43%,95%,61%,85%,92%,80%,43%,91%,0:20,87%,70%,96%,1.37,Plan not required to report measure,1.24%,68%,71%,36%,2%,100%,No data available,1.24%,0:20,92%,7.5%,1.25%,99.80%,100%,100,1.37,8.6%,21.57%,Not enough data available,0:10,97,95%
H4522,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,57%,76%,46%,84%,91%,75%,26%,90%,0:17,83%,68%,91%,2.68,28.1%,2.45%,68%,81%,36%,2%,100%,No data available,2.45%,0:17,82%,7.0%,1.52%,99.80%,100%,100,2.68,1.5%,23.08%,Not enough data available,0:16,98,97%
H4523,"AETNA HEALTH, INC. (TX)",Aetna Inc.,Local CCP,54%,88%,67%,Not enough data available,94%,74%,39%,90%,0:19,89%,63%,95%,3.39,Plan not required to report measure,0.41%,65%,80%,57%,6%,100%,No data available,0.41%,0:19,85%,6.8%,0.51%,99.90%,100%,100,3.39,43.8%,43.75%,Not enough data available,0:10,98,98%
H4524,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,Local CCP,68%,88%,77%,94%,93%,83%,35%,90%,0:19,89%,77%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.41%,75%,78%,60%,1%,100%,No data available,0.41%,0:19,85%,8.1%,0.63%,99.90%,100%,100,CMS Found Issues with Plan's Data,47.1%,25.00%,Not enough data available,0:10,99,98%
H4525,"SHA, L.L.C",Covenant Health - Hendrick Medical Center,Local CCP,Not enough data available,90%,Not enough data available,Not enough data available,93%,70%,32%,92%,0:19,82%,65%,97%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,0.00%,71%,79%,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:19,74%,7.3%,1.09%,99.70%,100%,98,CMS Found Issues with Plan's Data,11.2%,15.38%,Not enough data available,0:27,89,87%
H4527,PHYSICIANS HEALTH CHOICE OF TEXAS LLC,"UnitedHealth Group, Inc.",Local CCP,51%,92%,45%,83%,95%,76%,41%,92%,0:05,83%,70%,96%,8.10,26.1%,0.50%,66%,83%,30%,2%,No data available,No data available,0.50%,0:05,82%,5.2%,1.11%,99.90%,100%,99,8.10,2.8%,17.07%,89%,0:16,98,97%
H4528,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Local CCP,43%,75%,56%,72%,93%,70%,34%,Not enough data available,0:14,82%,58%,93%,1.36,CMS Found Issues with Plan’s Data,0.82%,62%,74%,39%,0%,100%,No data available,0.82%,0:14,71%,6.0%,1.31%,99.70%,100%,99,1.36,36.6%,34.69%,Not enough data available,0:07,99,96%
H4529,"ARCADIAN HEALTH PLAN, INC.",Humana Inc.,Local CCP,27%,95%,53%,79%,93%,70%,26%,91%,0:20,87%,75%,91%,0.71,4.9%,1.24%,67%,79%,42%,2%,No data available,No data available,1.24%,0:20,92%,6.6%,0.89%,99.90%,96%,99,0.71,26.0%,27.27%,Not enough data available,0:10,98,97%
H4564,SCOTT AND WHITE HEALTH PLAN,Scott and White Healthcare,1876 Cost,81%,79%,67%,88%,92%,83%,39%,94%,Not enough data available,Not enough data available,84%,98%,CMS Found Issues with Plan’s Data,Plan not required to report measure,Not enough data available,72%,81%,50%,2%,100%,100.00%,No data available,No data available,No data available,6.6%,1.28%,99.50%,96%,99,CMS Found Issues with Plan's Data,9.8%,19.12%,90%,No data available,97,94%
H4590,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC.","UnitedHealth Group, Inc.",Local CCP,65%,76%,56%,84%,92%,76%,45%,88%,0:14,83%,76%,96%,4.61,7.8%,0.88%,72%,79%,13%,1%,100%,100.00%,0.88%,0:14,82%,6.8%,0.92%,99.90%,100%,99,4.61,2.1%,26.22%,Not enough data available,0:16,98,98%
H4604,"UNITEDHEALTHCARE OF UTAH, INC.","UnitedHealth Group, Inc.",Local CCP,62%,76%,63%,76%,86%,73%,35%,89%,0:15,83%,75%,94%,2.36,Plan not required to report measure,2.88%,72%,74%,38%,3%,100%,75.00%,2.88%,0:15,82%,8.2%,1.19%,99.80%,100%,99,2.36,1.7%,21.92%,86%,0:16,98,92%
H4605,REGENCE BLUECROSS BLUESHIELD OF UTAH,"Cambia Health Solutions, Inc.",Local CCP,60%,75%,62%,84%,89%,79%,34%,90%,0:04,91%,77%,97%,0.22,Plan not required to report measure,0.19%,70%,77%,44%,1%,100%,No data available,0.19%,0:04,92%,9.4%,1.64%,100.00%,92%,100,0.22,5.7%,16.67%,Not enough data available,0:02,97,96%
H4606,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,49%,95%,60%,78%,84%,68%,27%,90%,0:20,87%,67%,94%,1.04,Plan not required to report measure,1.32%,59%,71%,45%,6%,No data available,No data available,1.32%,0:20,92%,8.4%,1.17%,99.90%,100%,101,1.04,11.3%,25.71%,Not enough data available,0:10,97,91%
H4712,"BLUE CROSS OF IDAHO CARE PLUS, INC.","Blue Cross of Idaho Health Services, Inc.",Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4738,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",Local CCP,Not enough data available,90%,Not enough data available,Not enough data available,92%,No data available,Not enough data available,No data available,0:06,86%,No data available,94%,No data available,Plan not required to report measure,2.50%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,2.50%,0:06,87%,8.6%,0.00%,100.00%,100%,100,No Data Available,17.5%,No data available,No data available,0:06,98,100%
H4740,"CATHOLIC MANAGED LONG TERM CARE, INC.",Catholic Health Care System,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4754,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Health Plans,Local CCP,Not enough data available,71%,Not enough data available,Not enough data available,84%,No data available,Not enough data available,90%,0:30,84%,69%,94%,0.15,Plan not required to report measure,0.00%,63%,67%,52%,7%,100%,100.00%,0.00%,0:30,90%,6.4%,1.04%,99.50%,92%,99,0.15,11.4%,No data available,81%,0:14,92,93%
H4785,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,PFFS,Not enough data available,95%,Not enough data available,Not enough data available,94%,Plan too small to be measured,Not enough data available,No data available,0:20,87%,No data available,96%,No data available,Plan not required to report measure,1.24%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.24%,0:20,92%,9.1%,0.00%,98.60%,100%,99,No Data Available,14.5%,No data available,No data available,0:10,97,No data available
H4837,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",Local CCP,65%,86%,40%,Not enough data available,91%,52%,46%,92%,0:14,Plan not required to report measure,57%,95%,1.31,45.0%,0.83%,74%,81%,44%,6%,No data available,No data available,0.83%,0:14,Plan not required to report measure,6.5%,0.44%,100.00%,100%,100,1.31,1.2%,No data available,Not enough data available,0:16,99,No data available
H4866,CUATRO LLC,Cuatro LLC.,Local CCP,Not enough data available,94%,Not enough data available,Not enough data available,81%,59%,Not enough data available,Not enough data available,0:09,77%,37%,90%,1.90,Plan not required to report measure,0.83%,Not enough data available,Not enough data available,55%,3%,No data available,No data available,0.00%,0:05,77%,3.2%,0.00%,99.80%,100%,99,1.90,10.9%,No data available,Not enough data available,0:12,98,99%
H4871,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available
H4875,PRIORITY HEALTH,Spectrum Health System,Local CCP,Not enough data available,28%,74%,Not enough data available,93%,84%,29%,92%,2:16,83%,75%,97%,2.74,Plan not required to report measure,0.00%,Not enough data available,Not enough data available,35%,0%,No data available,No data available,0.00%,2:16,83%,6.8%,2.09%,99.20%,96%,101,2.74,6.7%,No data available,89%,0:27,99,98%
H4876,"CONSTELLATION HEALTH, LLC.","Constellation Health, LLC.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4909,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.","WellPoint, Inc.",Local CCP,44%,87%,54%,82%,93%,79%,36%,92%,0:28,88%,83%,96%,0.34,Plan not required to report measure,0.00%,76%,79%,44%,5%,No data available,No data available,0.00%,0:28,88%,6.1%,0.75%,99.60%,92%,98,0.34,13.1%,22.50%,85%,0:06,97,94%
H4910,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Not enough data available,88%,Not enough data available,Not enough data available,92%,75%,Not enough data available,No data available,0:19,89%,No data available,95%,No data available,Plan not required to report measure,0.38%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.38%,0:19,85%,3.5%,0.00%,99.80%,100%,99,No Data Available,No data available,No data available,No data available,0:10,99,97%
H4956,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,36%,95%,50%,91%,89%,63%,38%,89%,0:20,87%,65%,96%,1.00,Plan not required to report measure,1.24%,61%,72%,40%,4%,No data available,No data available,1.24%,0:20,92%,9.2%,0.95%,99.90%,100%,101,1.00,13.9%,No data available,Not enough data available,0:10,97,96%
H5005,"UNITEDHEALTHCARE OF WASHINGTON, INC.","UnitedHealth Group, Inc.",Local CCP,59%,76%,63%,84%,91%,78%,34%,91%,0:17,83%,77%,94%,3.97,Plan not required to report measure,1.31%,74%,80%,30%,2%,82%,100.00%,1.31%,0:17,82%,6.5%,0.89%,99.90%,100%,99,3.97,2.2%,20.26%,Not enough data available,0:17,97,95%
H5008,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,57%,76%,71%,Not enough data available,93%,68%,22%,Not enough data available,0:24,Plan not required to report measure,69%,96%,4.45,47.6%,1.47%,64%,77%,36%,2%,No data available,No data available,1.47%,0:24,Plan not required to report measure,7.5%,0.88%,99.80%,100%,100,4.45,1.2%,19.42%,Not enough data available,0:17,98,No data available
H5009,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",Local CCP,56%,75%,68%,89%,90%,86%,42%,91%,0:04,91%,78%,97%,0.31,Plan not required to report measure,0.20%,74%,82%,42%,1%,100%,No data available,0.20%,0:04,92%,7.4%,1.76%,99.20%,92%,99,0.31,3.6%,22.97%,89%,0:03,98,96%
H5010,ASURIS NORTHWEST HEALTH,"Cambia Health Solutions, Inc.",Local CCP,Not enough data available,75%,Not enough data available,Not enough data available,89%,81%,Not enough data available,90%,0:04,91%,70%,95%,0.16,Plan not required to report measure,0.20%,Not enough data available,Not enough data available,31%,0%,No data available,No data available,0.20%,0:04,92%,6.2%,3.03%,100.00%,92%,100,0.16,No data available,No data available,Not enough data available,0:03,97,97%
H5016,PROVIDENCE HEALTH PLANS,Providence Health & Services,Local CCP,Not enough data available,72%,Not enough data available,Not enough data available,95%,83%,Not enough data available,91%,0:37,83%,80%,97%,0.23,Plan not required to report measure,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:37,82%,4.6%,3.13%,100.00%,92%,106,0.23,30.4%,No data available,Not enough data available,0:15,96,98%
H5041,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,57%,95%,58%,88%,92%,66%,30%,90%,0:20,87%,70%,96%,CMS Found Issues with Plan’s Data,Plan not required to report measure,1.15%,72%,75%,43%,3%,100%,No data available,1.15%,0:20,92%,6.5%,0.57%,99.90%,100%,100,CMS Found Issues with Plan's Data,7.1%,16.67%,Not enough data available,0:11,97,95%
H5042,"CDPHP UNIVERSAL BENEFITS, INC.","Capital District Physicians' Health Plan, Inc.",Local CCP,Not enough data available,71%,55%,Not enough data available,92%,84%,43%,92%,0:27,88%,72%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,79%,79%,67%,10%,100%,No data available,1.67%,0:07,87%,8.2%,1.61%,99.90%,100%,106,CMS Found Issues with Plan's Data,13.4%,9.09%,84%,0:15,94,99%
H5048,"COVENTRY HEALTH CARE OF TEXAS, INC.",Aetna Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5050,GROUP HEALTH COOPERATIVE,Group Health Cooperative,Local CCP,77%,76%,70%,94%,94%,81%,40%,93%,0:08,85%,85%,96%,CMS Found Issues with Plan’s Data,No data available,0.00%,74%,86%,39%,3%,No data available,No data available,0.00%,0:08,89%,4.3%,1.05%,99.70%,100%,99,CMS Found Issues with Plan's Data,21.5%,24.42%,90%,0:03,85,97%
H5087,EASY CHOICE HEALTH PLAN INC.,"WellCare Health Plans, Inc.",Local CCP,27%,91%,46%,87%,89%,61%,5%,Not enough data available,0:06,84%,56%,95%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,0.50%,50%,80%,23%,2%,0%,100.00%,0.50%,0:06,74%,6.9%,0.20%,99.60%,100%,99,CMS Found Issues with Plan's Data,12.2%,No data available,Not enough data available,0:16,96,99%
H5096,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.","Universal Health Care Group, Inc.",Local CCP,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0:42,Not enough data available,No data available,No data available,No data available,Plan not required to report measure,0.00%,No data available,No data available,No data available,No data available,No data available,No data available,10.83%,0:31,No data available,5.3%,0.13%,99.50%,96%,103,No Data Available,No data available,No data available,No data available,No data available,98,79%
H5106,HM HEALTH INSURANCE COMPANY,Highmark,Local CCP,71%,69%,60%,89%,91%,69%,38%,91%,2:06,82%,74%,96%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,67%,66%,46%,3%,100%,100.00%,0.00%,2:06,89%,9.1%,0.96%,99.90%,100%,98,CMS Found Issues with Plan's Data,1.2%,25.00%,Not enough data available,0:09,98,96%
