CY2011 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,1/1/2009 - 12/31/2009,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,Patient Safety,,,Plan Finder,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,,,,,,,,,,
H5216,Humana Insurance Company,HUMANA INSURANCE COMPANY,88.89%,100.00%,88.12%,1.48%,6.69%,0.62%,68.24%,100.00%,20.28%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,45.43%,,,,,,,,,,
H5253,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC",57.14%,0.00%,90.77%,1.14%,6.24%,1.43%,65.49%,91.67%,6.08%,70.09%,85.29%,50.26%,84.31%,43.52%,,,,,,,,,,
H5256,Medical Associates Clinic Health Plan of Wisconsin,MEDICAL ASSOCIATES CLINIC HEALTH PLAN,,,,,,,,Not measured,1.71%,Not enough data available to calculate measure,59.66%,Benefit not offered by plan ,Benefit not offered by plan ,53.28%,,,,,,,,,,
H5262,"Gundersen Lutheran Health Plan, Inc.",GUNDERSEN LUTHERAN HEALTH PLAN,Not measured,Not measured,88.32%,0.00%,6.46%,1.47%,75.47%,100.00%,1.39%,Not enough data available to calculate measure,70.45%,53.57%,Not enough data available to calculate measure,67.88%,,,,,,,,,,
H5264,"Dean Health Plan, Inc.","DEAN HEALTH PLAN, INC.",,,,,,,,Not measured,1.45%,Not enough data available to calculate measure,74.12%,Not enough data available to calculate measure,Not enough data available to calculate measure,65.21%,,,,,,,,,,
H5291,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Not measured,Not measured,89.89%,1.62%,7.00%,3.52%,58.24%,100.00%,18.03%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,21.47%,,,,,,,,,,
H5294,Advantage by SuperiorHealthPlan,"SUPERIOR HEALTH PLAN, INC.",Not measured,Not measured,92.95%,2.50%,0.00%,2.70%,45.63%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5301,Universal American,PENNSYLVANIA LIFE INSURANCE COMPANY,,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5302,"Coventry Health Care, INC.","COVENTRY HEALTH CARE OF GEORGIA, INC.",100.00%,100.00%,89.22%,0.00%,8.13%,1.06%,54.56%,100.00%,21.54%,Not enough data available to calculate measure,96.76%,Not enough data available to calculate measure,Not enough data available to calculate measure,31.12%,,,,,,,,,,
H5304,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Not measured,Not measured,Not measured,Not measured,8.37%,0.78%,72.04%,100.00%,19.05%,Not enough data available to calculate measure,75.86%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,,,,,,,,,,
H5378,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,100.00%,100.00%,92.69%,0.44%,11.14%,0.70%,51.25%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5402,Quality Health Plans,"QUALITY HEALTH PLANS, INC.",60.00%,100.00%,Not measured,0.00%,8.65%,0.08%,55.49%,100.00%,26.23%,5.77%,Plan not required to report measure,64.00%,92.42%,55.72%,,,,,,,,,,
H5404,"Universal Health Care, Inc.","UNIVERSAL HEALTH CARE, INC.",66.67%,100.00%,40.95%,0.83%,7.55%,1.01%,58.54%,100.00%,32.67%,21.59%,84.17%,47.20%,80.65%,20.44%,,,,,,,,,,
H5407,"Citrus Health Care, Inc.","CITRUS HEALTH CARE, INC.",100.00%,100.00%,92.95%,0.83%,6.72%,1.60%,45.52%,100.00%,45.28%,32.24%,88.45%,38.81%,73.97%,19.71%,,,,,,,,,,
H5410,"HealthSpring of Florida, Inc.","HEALTHSPRING OF FLORIDA, INC.",100.00%,100.00%,99.49%,1.31%,8.16%,0.83%,51.31%,100.00%,6.74%,54.01%,95.84%,36.92%,89.27%,86.37%,,,,,,,,,,
H5414,Aetna Medicare,AETNA HEALTH INC.,100.00%,85.71%,Not measured,0.00%,5.50%,2.11%,56.60%,100.00%,28.51%,Not enough data available to calculate measure,72.28%,Not enough data available to calculate measure,Not enough data available to calculate measure,35.85%,,,,,,,,,,
H5415,"Humana Health Insurance Company of FL, Inc.","HUMANA HEALTH INSURANCE COMPANY OF FL, INC.",Not measured,Not measured,89.87%,1.54%,7.01%,0.00%,59.20%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5416,Spokane Community Care,"ARCADIAN HEALTH PLAN, INC.",Not measured,Not measured,93.42%,2.38%,6.12%,1.46%,60.28%,100.00%,28.74%,Not enough data available to calculate measure,79.33%,78.05%,Not enough data available to calculate measure,28.80%,,,,,,,,,,
H5417,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,82.09%,2.08%,7.73%,2.11%,53.65%,91.67%,35.99%,52.67%,85.29%,52.28%,80.51%,33.33%,,,,,,,,,,
H5419,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,100.00%,100.00%,85.00%,0.00%,7.13%,1.02%,62.78%,100.00%,35.69%,Not enough data available to calculate measure,75.86%,68.42%,Not enough data available to calculate measure,Plan not required to report measure,,,,,,,,,,
H5420,"Medica HealthCare Plans, Inc.","MEDICA HEALTHCARE PLANS, INC.",25.00%,50.00%,83.31%,0.83%,10.01%,1.04%,53.72%,100.00%,10.73%,77.00%,73.25%,43.66%,78.16%,15.82%,,,,,,,,,,
H5421,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,100.00%,100.00%,88.86%,0.00%,9.38%,1.94%,54.91%,100.00%,26.84%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5422,Blue Cross Blue Shield Healthcare Plan of Georgia,BLUE CROSS BLUE SHIELD OF GEORGIA,Not measured,Not measured,90.65%,0.83%,7.10%,0.80%,51.73%,100.00%,21.98%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,46.47%,,,,,,,,,,
H5424,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,94.02%,1.31%,4.42%,1.01%,56.03%,91.67%,9.78%,42.11%,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,14.35%,,,,,,,,,,
H5425,SCAN Health Plan,SCAN HEALTH PLAN,75.00%,100.00%,94.81%,0.00%,6.83%,1.35%,57.48%,100.00%,12.93%,36.90%,83.66%,52.25%,74.77%,51.58%,,,,,,,,,,
H5426,"Humana AdvantageCare Plan, Inc.","HUMANA ADVANTAGECARE PLAN, INC.",100.00%,100.00%,90.02%,1.54%,7.46%,1.40%,59.29%,100.00%,27.38%,Not enough data available to calculate measure,97.42%,57.14%,Not enough data available to calculate measure,26.03%,,,,,,,,,,
H5427,"Freedom Health, Inc.","FREEDOM HEALTH PLAN, INC.",50.00%,100.00%,91.89%,0.83%,6.91%,2.27%,57.86%,100.00%,28.86%,30.36%,76.81%,81.43%,78.74%,21.17%,,,,,,,,,,
H5428,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,Not measured,Not measured,98.10%,0.00%,8.10%,2.93%,61.08%,100.00%,2.53%,63.83%,74.40%,44.00%,Not enough data available to calculate measure,48.91%,,,,,,,,,,
H5429,"Universal Health Care, Inc.","UNIVERSAL HEALTH CARE, INC.",100.00%,100.00%,53.13%,0.83%,7.00%,0.00%,57.41%,100.00%,37.62%,Not enough data available to calculate measure,84.17%,Not enough data available to calculate measure,Not enough data available to calculate measure,21.17%,,,,,,,,,,
H5430,"ONECare by Care1st Health Plan Arizona, Inc.",CARE1ST HEALTH PLAN OF ARIZONA,Not measured,Not measured,86.65%,0.83%,7.07%,1.18%,48.07%,100.00%,18.15%,25.00%,91.11%,Not enough data available to calculate measure,Not enough data available to calculate measure,38.69%,,,,,,,,,,
H5431,"HealthSun Health Plans, Inc.","HEALTHSUN HEALTH PLANS, INC.",Not measured,Not measured,96.57%,4.17%,6.71%,0.47%,57.21%,100.00%,32.11%,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,37.50%,Not enough data available to calculate measure,0.00%,,,,,,,,,,
H5433,OneCare,ORANGE COUNTY HEALTH AUTHORITY,100.00%,100.00%,92.75%,2.50%,7.46%,0.00%,56.21%,100.00%,11.20%,42.86%,86.20%,36.11%,Not enough data available to calculate measure,42.13%,,,,,,,,,,
H5434,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",100.00%,100.00%,88.68%,0.83%,7.25%,1.83%,62.95%,100.00%,53.80%,76.09%,0 - Plan reported a Biased Rate,47.73%,Not enough data available to calculate measure,62.00%,,,,,,,,,,
H5435,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,71.43%,85.71%,92.00%,0.93%,7.30%,1.69%,59.85%,91.67%,23.13%,44.03%,85.29%,56.63%,69.00%,Plan not required to report measure,,,,,,,,,,
H5439,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,Not measured,Not measured,54.05%,2.50%,6.14%,1.39%,62.10%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5440,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,98.25%,3.33%,10.60%,2.72%,50.13%,91.67%,22.79%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,23.94%,,,,,,,,,,
H5470,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,100.00%,84.88%,1.54%,0.00%,0.00%,68.57%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5485,PrimeTime Health Plan,MCKINLEY LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,15.73%,0.00%,64.55%,100.00%,0.05%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5507,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0.00%,0.00%,88.35%,0.63%,7.79%,2.27%,62.40%,91.67%,14.46%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,13.89%,,,,,,,,,,
H5508,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",Not measured,Not measured,95.33%,4.17%,8.28%,0.30%,62.13%,100.00%,6.76%,Not enough data available to calculate measure,49.73%,Not enough data available to calculate measure,Not enough data available to calculate measure,4.02%,,,,,,,,,,
H5509,COVENTRY HEALTH CARE,COVENTRY HEALTH AND LIFE INS. COMPANY,100.00%,100.00%,87.25%,0.83%,7.93%,1.63%,59.57%,100.00%,24.88%,74.44%,72.22%,55.63%,77.39%,2.25%,,,,,,,,,,
H5516,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,100.00%,0.58%,5.67%,0.80%,59.68%,91.67%,16.15%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,21.53%,,,,,,,,,,
H5520,Health Net Medicare Advantage,HEALTH NET LIFE INSURANCE COMPANY,Not measured,Not measured,84.88%,0.00%,6.48%,1.67%,63.60%,100.00%,7.71%,71.88%,84.93%,60.42%,81.91%,1.25%,,,,,,,,,,
H5521,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,90.00%,87.50%,Not measured,0.00%,7.92%,1.23%,68.17%,100.00%,6.96%,69.47%,72.28%,56.72%,82.29%,28.30%,,,,,,,,,,
H5522,HealthAmerica,"HEALTHASSURANCE PENNSYLVANIA, INC.",50.00%,80.00%,92.18%,0.00%,7.06%,1.72%,65.64%,100.00%,28.02%,76.74%,73.35%,56.34%,73.33%,1.46%,,,,,,,,,,
H5525,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC.",100.00%,100.00%,80.66%,1.48%,9.35%,1.04%,67.26%,100.00%,29.49%,Not enough data available to calculate measure,97.42%,57.48%,67.35%,18.73%,,,,,,,,,,
H5526,BlueCross BlueShield of WNY and BlueShield of NENY,HEALTHNOW NEW YORK INC.,88.89%,100.00%,94.07%,0.00%,8.40%,0.97%,68.48%,100.00%,8.36%,73.81%,71.74%,48.24%,85.96%,48.42%,,,,,,,,,,
H5528,EmblemHealth Medicare PPO,GROUP HEALTH INCORPORATED,50.00%,100.00%,92.52%,0.00%,6.64%,1.20%,56.47%,100.00%,13.38%,65.56%,83.95%,48.84%,86.30%,32.25%,,,,,,,,,,
H5529,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,100.00%,100.00%,93.78%,0.00%,7.57%,0.82%,60.55%,100.00%,8.91%,56.25%,83.09%,35.42%,Not enough data available to calculate measure,50.69%,,,,,,,,,,
H5530,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Not measured,100.00%,91.54%,0.00%,6.62%,0.66%,54.13%,100.00%,19.20%,Not enough data available to calculate measure,83.09%,Not enough data available to calculate measure,Not enough data available to calculate measure,41.76%,,,,,,,,,,
H5532,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,95.24%,0.58%,7.87%,1.73%,57.29%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5533,UPMC Health Plan,UPMC HEALTH NETWORK,Not measured,Not measured,93.04%,2.50%,8.53%,0.47%,68.71%,100.00%,38.47%,Not enough data available to calculate measure,80.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,52.55%,,,,,,,,,,
H5549,VNSNY CHOICE Medicare,VNS CHOICE,100.00%,Not measured,96.61%,2.92%,7.49%,1.16%,52.68%,100.00%,26.14%,Not enough data available to calculate measure,91.31%,Not enough data available to calculate measure,Not enough data available to calculate measure,29.86%,,,,,,,,,,
H5575,Fidelis SecureCare of North Carolina,FIDELIS SECURECARE OF NORTH CAROLINA,Not measured,Not measured,100.00%,0.00%,9.87%,10.29%,73.70%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5576,"Vantage Health Plan, Inc.","VANTAGE  HEALTH PLAN, INC.",Not measured,Not measured,89.66%,0.00%,12.22%,2.31%,57.06%,100.00%,9.47%,Not enough data available to calculate measure,97.25%,Not enough data available to calculate measure,Not enough data available to calculate measure,23.16%,,,,,,,,,,
H5577,MCS Classicare,MCS ADVANTAGE INC.,0.00%,25.00%,78.16%,1.65%,6.03%,1.23%,36.96%,100.00%,19.50%,60.14%,81.63%,31.03%,71.34%,9.73%,,,,,,,,,,
H5578,Southeast Community Care,"ARCADIAN HEALTH PLAN OF GEORGIA, INC.",Not measured,Not measured,93.42%,1.67%,4.77%,1.89%,43.32%,100.00%,29.21%,Not enough data available to calculate measure,79.33%,Not enough data available to calculate measure,Not enough data available to calculate measure,15.38%,,,,,,,,,,
H5580,Mercy Care Advantage,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,91.67%,90.91%,97.71%,0.00%,9.06%,0.77%,53.02%,100.00%,7.31%,41.72%,79.35%,47.69%,88.10%,43.93%,,,,,,,,,,
H5587,Health Choice Generations,"HEALTH CHOICE ARIZONA, INC.",0.00%,100.00%,93.01%,0.00%,9.42%,0.57%,49.35%,100.00%,9.38%,37.40%,83.91%,Not enough data available to calculate measure,Not enough data available to calculate measure,43.27%,,,,,,,,,,
H5590,Advantage by Bridgeway Health Solutions,BRIDGEWAY HEALTH SOLUTIONS,Not measured,Not measured,95.79%,0.00%,7.87%,2.11%,62.81%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5591,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC",66.67%,100.00%,87.50%,0.00%,3.84%,1.24%,73.70%,100.00%,4.63%,Not enough data available to calculate measure,79.03%,Not enough data available to calculate measure,Not enough data available to calculate measure,71.11%,,,,,,,,,,
H5594,"Optimum HealthCare, Inc.","OPTIMUM HEALTHCARE, INC.",Not measured,Not measured,93.68%,0.83%,7.27%,1.43%,59.53%,100.00%,25.63%,Not enough data available to calculate measure,76.81%,Not enough data available to calculate measure,Not enough data available to calculate measure,27.98%,,,,,,,,,,
H5606,"Fresenius Medical Health Plan, Inc. - Pennsylvania",STERLING LIFE INSURANCE COMPANY,,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5608,Denver Health Medical Plan,"DENVER HEALTH MEDICAL PLAN, INC.",Not measured,Not measured,95.31%,1.68%,5.27%,1.12%,60.83%,100.00%,4.82%,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,56.92%,Not enough data available to calculate measure,95.38%,,,,,,,,,,
H5609,GEMCARE Health Plan,GEMCARE HEALTH PLAN INC.,Not measured,Not measured,94.14%,0.00%,9.17%,3.84%,54.01%,100.00%,3.00%,Not enough data available to calculate measure,85.90%,47.76%,Not enough data available to calculate measure,39.42%,,,,,,,,,,
H5619,Northeast Community Care,"ARCADIAN HEALTH PLAN, INC.",Not measured,Not measured,93.40%,1.67%,5.85%,1.49%,72.07%,100.00%,7.83%,Not enough data available to calculate measure,79.33%,87.10%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5628,Molina Healthcare of Utah,"MOLINA HEALTHCARE OF UTAH, INC.",Not measured,Not measured,88.01%,0.83%,10.29%,1.36%,60.91%,100.00%,6.51%,80.00%,84.20%,Not enough data available to calculate measure,Not enough data available to calculate measure,58.10%,,,,,,,,,,
H5640,IEHP Medicare DualChoice HMO,IEHP HEALTH ACCESS,Not measured,Not measured,99.22%,0.00%,7.17%,2.50%,44.69%,100.00%,18.13%,50.00%,79.32%,Not enough data available to calculate measure,Not enough data available to calculate measure,31.93%,,,,,,,,,,
H5649,Central Health Medicare Plan,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Not measured,Not measured,94.01%,0.84%,3.96%,2.17%,49.93%,100.00%,14.09%,Not enough data available to calculate measure,95.44%,Not enough data available to calculate measure,Not enough data available to calculate measure,27.00%,,,,,,,,,,
H5652,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,73.17%,Not measured,10.67%,0.00%,71.12%,100.00%,,,,,,,,,,,,,,,,
H5656,Universal American,"SELECTCARE HEALTH PLANS, INC.",100.00%,100.00%,90.82%,0.83%,5.07%,1.55%,47.89%,100.00%,33.57%,25.00%,81.61%,Not enough data available to calculate measure,Not enough data available to calculate measure,45.50%,,,,,,,,,,
H5657,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Not measured,Not measured,Not measured,Not measured,6.72%,1.20%,62.45%,100.00%,0.00%,Not enough data available to calculate measure,97.42%,44.12%,Not enough data available to calculate measure,Plan not required to report measure,,,,,,,,,,
H5665,Care Improvement Plus,"CARE IMPROVEMENT PLUS  OF MARYLAND, INC.",Not measured,Not measured,Not measured,0.00%,7.77%,1.48%,43.47%,100.00%,28.43%,Not enough data available to calculate measure,81.39%,Not enough data available to calculate measure,Not enough data available to calculate measure,23.60%,,,,,,,,,,
H5678,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,8.80%,0.00%,77.13%,100.00%,,,,,,,,,,,,,,,,
H5679,Anthem Blue Cross and Blue Shield,"HMO COLORADO, INC.",Not measured,Not measured,80.52%,0.83%,6.23%,0.00%,56.95%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5685,Midwest Advantage,"MIDWEST HEALTH PLAN, INC.",Not measured,Not measured,70.42%,1.67%,6.51%,0.31%,52.90%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5696,PUP,"PHYSICIANS UNITED PLAN, INC.",Not measured,Not measured,95.03%,1.67%,6.38%,1.77%,56.46%,100.00%,39.99%,32.20%,0 - Plan reported a Biased Rate,65.79%,70.00%,52.07%,,,,,,,,,,
H5697,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,93.44%,Not measured,9.96%,1.13%,72.22%,100.00%,,,,,,,,,,,,,,,,
H5698,Windsor Medicare Extra,"WINDSOR HEALTH PLAN, INC.",100.00%,85.71%,98.51%,0.00%,9.89%,0.58%,47.47%,100.00%,21.97%,43.01%,75.05%,47.24%,71.43%,26.76%,,,,,,,,,,
H5700,Arkansas Community Care,"ARKANSAS COMMUNITY CARE, INC.",Not measured,Not measured,90.12%,1.92%,9.28%,1.73%,54.25%,100.00%,18.41%,24.39%,79.33%,74.19%,90.63%,11.44%,,,,,,,,,,
H5703,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,Not measured,Not measured,Not measured,0.00%,7.25%,1.00%,78.77%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5732,"Triple-S Salud, INC.","TRIPLE-S SALUD, INC.",Not measured,Not measured,Not measured,0.83%,7.84%,0.00%,38.16%,100.00%,9.16%,Not enough data available to calculate measure,91.04%,Not enough data available to calculate measure,Not enough data available to calculate measure,1.46%,,,,,,,,,,
H5736,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,100.00%,81.82%,Not measured,0.00%,7.91%,1.74%,66.61%,100.00%,54.50%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5746,Amerigroup Community Care of New Mexico,"AMERIGROUP NEW MEXICO, INC.",Not measured,Not measured,97.31%,2.04%,5.75%,1.35%,52.20%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5749,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,91.58%,0.63%,5.33%,0.33%,60.54%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5750,Cornerstone Solutions,METROPOLITAN HEALTH PLAN,Not measured,Not measured,Not measured,1.25%,5.56%,0.00%,61.86%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5754,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,4.07%,0.00%,74.83%,100.00%,,,,,,,,,,,,,,,,
H5774,American Health Medicare,"AMERICAN HEALTH, INC.",50.00%,100.00%,95.58%,0.83%,6.59%,1.28%,36.57%,100.00%,25.43%,57.14%,94.67%,29.84%,72.60%,40.15%,,,,,,,,,,
H5782,Partnership HealthPlan of California,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,Not measured,Not measured,83.04%,0.83%,7.88%,1.23%,58.75%,100.00%,3.79%,Not enough data available to calculate measure,69.41%,Not enough data available to calculate measure,Not enough data available to calculate measure,43.98%,,,,,,,,,,
H5783,Southeast Community Care,"ARCADIAN HEALTH PLAN, INC.",Not measured,Not measured,94.68%,1.67%,5.70%,1.56%,51.15%,100.00%,23.89%,43.24%,79.33%,66.67%,Not enough data available to calculate measure,16.13%,,,,,,,,,,
H5793,Aetna Medicare,AETNA HEALTH INC.,100.00%,50.00%,Not measured,0.00%,5.23%,1.40%,67.02%,100.00%,27.15%,Not enough data available to calculate measure,72.28%,Not enough data available to calculate measure,Not enough data available to calculate measure,25.44%,,,,,,,,,,
H5810,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,Not measured,Not measured,82.91%,0.83%,4.26%,1.30%,42.54%,100.00%,28.75%,6.45%,83.48%,Not enough data available to calculate measure,Not enough data available to calculate measure,35.28%,,,,,,,,,,
H5811,SCAN Health Plan,SCAN HEALTH PLAN,Not measured,Not measured,96.39%,0.00%,6.25%,1.26%,56.61%,100.00%,7.05%,Not enough data available to calculate measure,93.72%,Not enough data available to calculate measure,Not enough data available to calculate measure,51.09%,,,,,,,,,,
H5812,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,100.00%,Not measured,84.85%,0.83%,7.31%,0.00%,64.60%,100.00%,14.83%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5813,Aetna Medicare,"AETNA HEALTH, INC",66.67%,66.67%,Not measured,0.00%,6.01%,1.55%,59.84%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5817,Amerigroup Community Care,"AMERIGROUP TEXAS, INC.",Not measured,Not measured,98.47%,1.85%,5.42%,2.15%,43.48%,100.00%,20.53%,58.33%,68.69%,46.38%,Not enough data available to calculate measure,2.15%,,,,,,,,,,
H5820,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.",UNIVERSAL HEALTH CARE INSURANCE COMPANY,100.00%,100.00%,43.32%,0.83%,7.02%,0.97%,49.87%,100.00%,41.54%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5821,MAPFRE LIFE INSURANCE COMPANY,MAPFRE LIFE INSURANCE COMPANY,50.00%,50.00%,61.95%,6.67%,5.86%,1.68%,26.10%,100.00%,33.47%,Not enough data available to calculate measure,84.05%,49.44%,84.31%,0 - Plan reported a Biased Rate,,,,,,,,,,
H5823,"Molina Healthcare of Washington, Inc.","MOLINA HEALTHCARE OF WASHINGTON, INC.",Not measured,Not measured,84.69%,0.00%,7.54%,0.87%,61.46%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5826,Community HealthFirst Medicare Advantage Plan,COMMUNITY HEALTH PLAN OF WASHINGTON,0.00%,Not measured,80.00%,0.00%,7.02%,1.96%,53.76%,100.00%,11.66%,Not enough data available to calculate measure,83.11%,Not enough data available to calculate measure,Not enough data available to calculate measure,53.28%,,,,,,,,,,
