CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Special Needs Plan (SNP) Care Management - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer used during Office Visits - DMC19,Computer use by Provider Helpful - DMC20,Computer use Made Talking to Provider Easier - DMC21,Breast Cancer Screening - DMC22,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Drug-Drug Interactions  - DMD03,Diabetes Medication Dosing - DMD04,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD05,MPF – Stability - DMD06,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD07,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD08,Getting Information from Drug Plan - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to fill prescriptions - DMD13,Reminders to take medications - DMD14,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07",Beneficiary Access and Performance Problems - DME08
H4213,ARKANSAS BLUE CROSS AND BLUE SHIELD,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,30%,88%,52%,88%,88%,70%,28%,90%,65%,95%,Plan not required to report measure,69%,64%,27%,2%,52%,35%,29%,74%,Not enough data available,45%,62%,0%,100.00%,8.1%,0.49%,100%,96,35.8%,27.03%,85%,97,No data available,No data available,16%,11%,97%,0.75,5,8,15,6,5,80
H4227,"Vista Health Plan, Inc.","VISTA HEALTH PLAN, INC.",Independence Blue Cross,Benefit not offered by plan ,Not enough data available,Not enough data available,Not enough data available,73%,No data available,Not enough data available,No data available,No data available,96%,Plan not required to report measure,Not enough data available,Not enough data available,Benefit not offered by plan ,Benefit not offered by plan ,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,100%,No data available,7.9%,0.00%,92%,99,Plan too small to be measured,No data available,No data available,99,No data available,0.0%,No data available,No data available,No data available,No Data Available,9,40,16,9,15,100
H4268,America's 1st Choice Insurance Company of NC,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",Not enough data available,89%,Not enough data available,Not enough data available,92%,70%,39%,93%,65%,93%,Plan not required to report measure,Not enough data available,Not enough data available,45%,0%,54%,46%,48%,86%,Not enough data available,56%,66%,No data available,No data available,6.4%,1.40%,96%,101,32.1%,No data available,No data available,97,No data available,0.0%,46%,27%,No data available,0.27,9,15,50,10,7,100
H4270,UCare,"UCARE HEALTH, INC.",UCare Minnesota,Not enough data available,83%,63%,Not enough data available,91%,79%,36%,92%,79%,96%,Plan not required to report measure,76%,97%,53%,6%,55%,37%,33%,93%,94%,55%,79%,No data available,No data available,4.2%,1.26%,92%,99,15.3%,18.52%,85%,98,0.0%,0.0%,15%,6%,97%,CMS Found Issues with Plan's Data,13,12,38,9,9,80
H4279,UPMC for You,"UPMC FOR YOU, INC",UPMC Health System,75%,73%,42%,100%,92%,68%,34%,92%,68%,97%,27.7%,77%,88%,32%,5%,59%,52%,52%,83%,Not enough data available,53%,65%,100%,100.00%,8.5%,0.95%,100%,98,2.6%,16.55%,83%,98,0.0%,13.3%,40%,30%,No data available,1.41,6,9,7,4,6,100
H4346,CareMore Health Plan of Nevada,CAREMORE HEALTH PLAN OF NEVADA,"WellPoint, Inc.",45%,87%,54%,Not enough data available,95%,79%,37%,86%,69%,97%,99.4%,74%,83%,7%,1%,61%,44%,28%,82%,Not enough data available,53%,72%,67%,100.00%,5.1%,0.73%,100%,97,16.0%,No data available,83%,99,No data available,0.0%,33%,16%,97%,1.36,16,35,22,9,11,80
H4406,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",64%,86%,43%,75%,92%,67%,34%,No data available,59%,95%,Plan not required to report measure,70%,67%,32%,4%,62%,54%,35%,72%,Not enough data available,49%,60%,100%,No data available,6.8%,1.40%,96%,99,20.7%,14.29%,No data available,97,0.0%,0.0%,53%,29%,98%,6.14,21,40,20,7,9,80
H4407,Cigna-HealthSpring,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,31%,83%,78%,92%,92%,81%,43%,92%,69%,98%,60.7%,67%,80%,35%,3%,64%,50%,49%,91%,94%,64%,79%,100%,No data available,6.8%,1.07%,92%,98,31.1%,No data available,81%,99,0.0%,0.0%,49%,31%,96%,1.96,20,39,31,11,14,80
H4408,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,58%,97%,56%,91%,94%,77%,40%,91%,64%,97%,Plan not required to report measure,74%,80%,27%,2%,55%,41%,43%,77%,Not enough data available,55%,67%,100%,No data available,7.7%,0.99%,100%,98,21.1%,11.54%,82%,98,0.0%,0.0%,45%,22%,99%,1.00,16,24,26,5,8,80
H4454,Cigna-HealthSpring,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,60%,83%,73%,95%,95%,80%,39%,91%,78%,97%,53.9%,73%,81%,25%,1%,61%,47%,39%,75%,Not enough data available,51%,79%,100%,100.00%,6.9%,0.88%,92%,99,30.2%,20.90%,No data available,99,No data available,No data available,51%,31%,97%,1.74,17,22,27,8,14,80
H4456,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",60%,86%,51%,90%,92%,75%,31%,89%,70%,96%,Plan not required to report measure,72%,73%,33%,2%,58%,48%,35%,82%,Not enough data available,49%,67%,100%,100.00%,6.1%,1.20%,96%,98,19.1%,20.51%,No data available,98,0.0%,0.0%,39%,18%,98%,3.37,11,39,17,5,5,80
H4461,Cariten Health Plan Inc.,CARITEN HEALTH PLAN INC.,Humana Inc.,55%,97%,56%,92%,95%,83%,33%,92%,80%,98%,30.6%,73%,80%,31%,1%,62%,45%,42%,85%,91%,51%,76%,100%,100.00%,7.2%,0.93%,100%,98,19.9%,25.91%,83%,98,0.0%,0.0%,49%,24%,97%,CMS Found Issues with Plan's Data,19,12,38,12,20,80
H4465,ICS Community Care Plus FIDA MMP,"INDEPENDENCE CARE SYSTEM, INC.",Paraprofessional Healthcare Institute,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4506,Universal American Corp.,"SELECTCARE OF TEXAS, INC.",Universal American Corp.,47%,82%,55%,91%,95%,83%,31%,No data available,80%,95%,Plan not required to report measure,72%,86%,19%,1%,67%,57%,51%,84%,Not enough data available,51%,72%,100%,60.00%,7.4%,0.45%,100%,98,35.6%,25.20%,No data available,98,0.0%,0.0%,49%,30%,98%,CMS Found Issues with Plan's Data,29,35,8,10,15,80
H4510,"HUMANA HEALTH PLAN OF TEXAS, INC.","HUMANA HEALTH PLAN OF TEXAS, INC.",Humana Inc.,44%,97%,44%,86%,95%,76%,28%,No data available,70%,95%,42.8%,70%,82%,37%,2%,63%,45%,40%,68%,Not enough data available,51%,70%,100%,100.00%,5.2%,0.86%,100%,98,14.5%,28.49%,No data available,98,0.0%,0.0%,42%,24%,98%,1.24,21,34,16,10,13,60
H4513,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,52%,83%,73%,94%,96%,77%,46%,92%,71%,97%,51.8%,69%,82%,34%,2%,64%,60%,47%,80%,Not enough data available,58%,67%,100%,No data available,6.5%,1.11%,92%,99,31.0%,26.25%,87%,99,No data available,No data available,42%,23%,95%,2.61,22,43,13,19,16,80
H4514,UnitedHealthcare,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, LLC","UnitedHealth Group, Inc.",66%,86%,44%,87%,92%,71%,32%,No data available,54%,94%,32.4%,67%,78%,29%,2%,60%,51%,40%,77%,Not enough data available,58%,58%,100%,No data available,6.5%,1.35%,96%,98,15.9%,31.58%,91%,98,0.0%,6.7%,48%,27%,99%,5.96,13,51,16,11,9,80
H4520,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,49%,97%,56%,84%,93%,83%,36%,No data available,77%,96%,Plan not required to report measure,74%,83%,38%,3%,59%,44%,39%,76%,Not enough data available,54%,66%,100%,No data available,6.4%,1.02%,100%,98,18.2%,28.36%,86%,98,0.0%,0.0%,46%,20%,95%,1.13,5,15,27,7,9,80
H4522,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",52%,86%,36%,87%,92%,77%,32%,No data available,69%,92%,32.6%,72%,82%,34%,5%,59%,45%,33%,79%,Not enough data available,59%,62%,100%,No data available,6.6%,1.26%,96%,98,10.9%,28.21%,No data available,98,0.0%,0.0%,43%,20%,98%,2.80,20,22,27,12,15,80
H4523,Aetna Medicare,"AETNA HEALTH, INC. (TX)",Aetna Inc.,56%,89%,52%,82%,94%,77%,34%,90%,65%,96%,Plan not required to report measure,71%,83%,54%,5%,67%,57%,40%,80%,Not enough data available,54%,70%,100%,No data available,5.8%,0.45%,100%,97,34.5%,42.11%,82%,99,0.0%,0.0%,41%,20%,98%,2.15,18,27,36,17,14,80
H4524,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,51%,89%,68%,95%,93%,87%,35%,92%,70%,97%,Plan not required to report measure,74%,73%,60%,5%,61%,43%,42%,75%,Not enough data available,53%,75%,100%,No data available,7.5%,0.50%,100%,97,34.6%,24.53%,No data available,99,No data available,0.0%,No data available,23%,98%,0.35,20,19,43,20,12,80
H4525,FirstCare Advantage,"SHA, L.L.C",Covenant Health - Hendrick Medical Center,Not enough data available,86%,58%,Not enough data available,92%,70%,42%,No data available,63%,96%,77.8%,44%,68%,Not enough data available,Not enough data available,52%,41%,37%,81%,Not enough data available,51%,66%,No data available,No data available,5.5%,1.28%,100%,97,11.9%,23.53%,No data available,91,0.0%,0.0%,27%,24%,73%,0.49,9,11,23,9,8,100
H4527,PHYSICIANS HEALTH CHOICE,PHYSICIANS HEALTH CHOICE OF TEXAS LLC,"UnitedHealth Group, Inc.",57%,88%,36%,85%,96%,73%,47%,No data available,74%,97%,45.7%,68%,79%,25%,2%,66%,55%,38%,87%,Not enough data available,53%,79%,100%,No data available,4.5%,1.22%,96%,98,18.6%,25.00%,82%,98,0.0%,0.0%,45%,24%,94%,CMS Found Issues with Plan's Data,8,24,15,8,8,80
H4528,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,43%,83%,85%,75%,94%,69%,34%,No data available,56%,93%,5.8%,66%,76%,35%,3%,55%,46%,44%,80%,Not enough data available,55%,70%,No data available,No data available,4.3%,1.09%,92%,98,27.0%,26.32%,76%,99,26.7%,6.7%,40%,30%,97%,3.40,19,29,26,12,10,80
H4564,Scott and White Health Plan SeniorCare,SCOTT AND WHITE HEALTH PLAN,Baylor Scott & White Holdings,71%,84%,58%,93%,93%,82%,42%,92%,83%,98%,Plan not required to report measure,73%,73%,32%,3%,64%,36%,28%,93%,95%,61%,80%,100%,100.00%,5.7%,1.78%,100%,99,8.4%,20.05%,84%,97,0.0%,0.0%,17%,14%,95%,CMS Found Issues with Plan's Data,15,26,21,3,8,80
H4590,UnitedHealthcare,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC.","UnitedHealth Group, Inc.",61%,86%,47%,87%,95%,76%,46%,89%,78%,96%,32.5%,71%,77%,20%,2%,66%,50%,42%,85%,Not enough data available,47%,71%,100%,100.00%,5.5%,1.06%,96%,98,18.9%,24.37%,No data available,98,0.0%,13.3%,52%,23%,97%,4.53,15,26,16,7,9,60
H4604,UnitedHealthcare,"UNITEDHEALTHCARE OF UTAH, INC.","UnitedHealth Group, Inc.",51%,86%,56%,83%,87%,77%,38%,89%,76%,96%,Plan not required to report measure,76%,79%,29%,3%,58%,42%,39%,88%,95%,56%,63%,100%,100.00%,7.0%,1.16%,96%,98,14.3%,20.43%,No data available,97,0.0%,0.0%,43%,17%,92%,2.95,6,11,47,4,5,80
H4605,Regence BlueCross BlueShield of Utah,REGENCE BLUECROSS BLUESHIELD OF UTAH,"Cambia Health Solutions, Inc.",74%,83%,58%,71%,89%,81%,43%,89%,81%,97%,Plan not required to report measure,68%,81%,30%,1%,62%,40%,38%,91%,Not enough data available,56%,71%,100%,50.00%,8.4%,1.49%,100%,No data available,24.1%,9.09%,89%,97,No data available,No data available,26%,15%,83%,0.41,5,2,52,8,5,100
H4606,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,97%,52%,Not enough data available,83%,69%,31%,91%,74%,92%,Plan not required to report measure,74%,80%,40%,3%,52%,34%,35%,87%,Not enough data available,59%,59%,100%,100.00%,7.8%,0.83%,100%,98,20.7%,17.65%,No data available,97,No data available,0.0%,38%,19%,90%,1.03,8,41,31,10,7,60
H4738,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",Not enough data available,89%,Not enough data available,Not enough data available,87%,Not enough data available,Not enough data available,No data available,No data available,96%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,65%,No data available,No data available,7.2%,2.34%,96%,103,36.6%,No data available,No data available,97,No data available,0.0%,No data available,No data available,100%,No Data Available,11,15,44,10,7,100
H4740,ArchCare Community Advantage,"CATHOLIC MANAGED LONG TERM CARE, INC.",Catholic Health Care System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4754,PacificSource Medicare,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Health Plans,67%,88%,60%,87%,88%,72%,Not enough data available,90%,73%,95%,Plan not required to report measure,80%,76%,50%,2%,50%,29%,28%,77%,Not enough data available,47%,83%,50%,50.00%,6.1%,0.38%,100%,98,CMS Found Issues with Plan's Data,7.69%,84%,96,6.7%,0.0%,18%,14%,93%,0.33,4,5,49,5,2,80
H4837,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",65%,90%,50%,Not enough data available,92%,53%,38%,93%,62%,96%,40.3%,81%,85%,59%,13%,69%,65%,59%,91%,Not enough data available,62%,70%,100%,No data available,6.6%,0.54%,96%,99,12.4%,No data available,No data available,99,No data available,6.7%,62%,37%,No data available,0.51,No data available,No data available,No data available,No data available,No data available,80
H4866,Access Medicare,CUATRO LLC,Cuatro LLC.,Not enough data available,89%,78%,Not enough data available,89%,66%,Not enough data available,91%,41%,90%,Plan not required to report measure,Not enough data available,Not enough data available,33%,2%,58%,54%,42%,87%,96%,67%,51%,No data available,No data available,4.7%,0.00%,100%,99,11.3%,No data available,No data available,98,No data available,0.0%,45%,48%,97%,1.86,21,34,17,13,16,80
H4871,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Not enough data available,83%,Not enough data available,Not enough data available,82%,No data available,Not enough data available,No data available,No data available,98%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,92%,No data available,Plan too small to be measured,No data available,No data available,98,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available,80
H4875,Priority Health Medicare,PRIORITY HEALTH,Spectrum Health System,Not enough data available,31%,55%,Not enough data available,93%,89%,50%,No data available,75%,97%,Plan not required to report measure,Not enough data available,Not enough data available,45%,13%,No data available,No data available,No data available,No data available,No data available,No data available,83%,No data available,100.00%,4.7%,1.25%,100%,99,16.6%,No data available,89%,97,0.0%,6.7%,No data available,No data available,92%,3.12,9,12,35,3,4,80
H4876,Constellation Health,"CONSTELLATION HEALTH, LLC.","Constellation Health, LLC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H4909,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.","WellPoint, Inc.",Not enough data available,78%,60%,Not enough data available,95%,86%,36%,93%,79%,98%,Plan not required to report measure,Not enough data available,Not enough data available,44%,4%,63%,50%,50%,81%,Not enough data available,48%,78%,100%,No data available,5.5%,0.30%,100%,98,11.5%,No data available,84%,97,No data available,No data available,46%,13%,No data available,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available,100
H4910,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Not enough data available,89%,Not enough data available,Not enough data available,92%,75%,Not enough data available,88%,59%,94%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,57%,55%,41%,76%,96%,58%,66%,No data available,No data available,7.2%,0.65%,100%,97,44.4%,No data available,77%,99,No data available,0.0%,46%,22%,96%,2.26,23,24,40,20,14,80
H4922,AgeWell New York,"AGEWELL NEW YORK, LLC","AgeWell New York, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4931,University Care Advantage,"UNIVERSITY CARE ADVANTAGE, INC.","The University of AZ Health Network, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4956,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,33%,97%,47%,84%,89%,66%,32%,92%,68%,97%,Plan not required to report measure,64%,73%,33%,1%,56%,37%,39%,76%,Not enough data available,55%,66%,No data available,No data available,7.6%,0.85%,100%,98,21.5%,No data available,No data available,98,0.0%,0.0%,49%,25%,93%,0.86,11,19,25,10,6,80
H5005,UnitedHealthcare,"UNITEDHEALTHCARE OF WASHINGTON, INC.","UnitedHealth Group, Inc.",43%,86%,59%,89%,91%,77%,34%,89%,77%,95%,Plan not required to report measure,75%,78%,37%,3%,58%,45%,37%,85%,Not enough data available,53%,68%,100%,No data available,4.8%,0.98%,96%,99,17.6%,16.11%,No data available,97,0.0%,26.7%,39%,14%,94%,4.56,17,21,25,5,13,80
H5008,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",14%,86%,67%,Not enough data available,92%,69%,22%,No data available,73%,97%,47.8%,76%,87%,33%,2%,66%,47%,47%,90%,Not enough data available,57%,52%,No data available,No data available,9.1%,0.82%,96%,98,10.8%,19.50%,No data available,98,0.0%,6.7%,43%,29%,No data available,3.40,18,20,20,18,13,80
H5009,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",65%,83%,61%,85%,91%,85%,43%,90%,75%,97%,Plan not required to report measure,76%,87%,39%,2%,64%,36%,42%,87%,Not enough data available,44%,78%,83%,83.33%,6.7%,1.53%,100%,No data available,23.2%,15.87%,No data available,98,No data available,No data available,18%,8%,58%,0.54,4,31,27,5,3,100
H5010,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,"Cambia Health Solutions, Inc.",Not enough data available,83%,49%,Not enough data available,91%,81%,47%,91%,76%,96%,Plan not required to report measure,Not enough data available,Not enough data available,38%,0%,64%,39%,39%,90%,Not enough data available,43%,74%,No data available,No data available,5.9%,3.75%,100%,No data available,24.2%,33.33%,91%,98,No data available,0.0%,19%,10%,78%,0.33,4,10,43,4,2,100
H5041,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,51%,97%,55%,96%,92%,64%,27%,91%,71%,96%,Plan not required to report measure,74%,75%,41%,4%,57%,44%,32%,83%,Not enough data available,62%,62%,100%,100.00%,5.8%,0.61%,100%,98,14.0%,22.86%,81%,98,0.0%,0.0%,42%,23%,97%,0.87,12,24,21,4,5,80
H5042,CDPHP Medicare Choices,"CDPHP UNIVERSAL BENEFITS, INC.","Capital District Physicians' Health Plan, Inc.",Not enough data available,80%,62%,Not enough data available,93%,89%,43%,91%,78%,98%,Plan not required to report measure,90%,82%,43%,10%,62%,47%,43%,87%,91%,40%,80%,No data available,No data available,5.5%,0.43%,100%,97,17.5%,13.04%,85%,98,No data available,6.7%,39%,11%,99%,CMS Found Issues with Plan's Data,5,11,43,3,4,100
H5048,Coventry Health Care,"COVENTRY HEALTH CARE OF TEXAS, INC.",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,97%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H5050,Group Health Cooperative,GROUP HEALTH COOPERATIVE,Group Health Cooperative,77%,82%,61%,93%,93%,83%,42%,92%,88%,96%,Plan not required to report measure,76%,89%,32%,3%,74%,51%,54%,96%,97%,55%,85%,100%,100.00%,4.0%,1.13%,100%,97,30.4%,20.61%,No data available,86,0.0%,0.0%,11%,12%,98%,CMS Found Issues with Plan's Data,8,13,52,3,5,100
H5087,Easy Choice Health Plan,EASY CHOICE HEALTH PLAN INC.,"WellCare Health Plans, Inc.",26%,97%,48%,86%,90%,60%,11%,88%,56%,94%,6.9%,58%,80%,20%,2%,52%,48%,39%,75%,94%,68%,60%,20%,No data available,6.2%,0.15%,100%,99,10.8%,21.88%,75%,98,No data available,No data available,40%,38%,98%,CMS Found Issues with Plan's Data,9,32,14,8,7,100
H5106,Highmark Health Insurance Company,HM HEALTH INSURANCE COMPANY,Highmark Health,82%,58%,56%,Not enough data available,92%,72%,33%,90%,74%,96%,Plan not required to report measure,72%,64%,40%,2%,59%,41%,36%,83%,Not enough data available,45%,66%,100%,No data available,7.4%,1.15%,100%,99,20.2%,24.29%,No data available,98,No data available,0.0%,30%,17%,96%,CMS Found Issues with Plan's Data,7,8,36,4,2,80
